seed,num_v,solution,termination,time
1,4,-10.521636687811343,LOCALLY_SOLVED,1498.6924381256104
1,5,NaN,TIME_LIMIT,1800.0
1,6,NaN,TIME_LIMIT,1800.0
1,7,-10.960865972886827,LOCALLY_SOLVED,3.0857369899749756
1,8,NaN,TIME_LIMIT,1800.0
2,4,-12.460513777303607,LOCALLY_SOLVED,260.4533648490906
2,5,-14.229565892877288,LOCALLY_SOLVED,3.0176258087158203
2,6,NaN,TIME_LIMIT,1800.0
2,7,NaN,TIME_LIMIT,1800.0
2,8,NaN,TIME_LIMIT,1800.0
3,4,NaN,TIME_LIMIT,1800.0
3,5,-9.561959899036868,LOCALLY_SOLVED,3.0150949954986572
3,6,NaN,TIME_LIMIT,1800.0
3,7,NaN,TIME_LIMIT,1800.0
3,8,NaN,TIME_LIMIT,1800.0
