seed,dimension,solution,termination,time
1,20,NaN,TIME_LIMIT,1800.0
1,25,NaN,TIME_LIMIT,1800.0
1,30,NaN,TIME_LIMIT,1800.0
1,35,NaN,TIME_LIMIT,1800.0
1,40,NaN,TIME_LIMIT,1800.0
1,45,NaN,TIME_LIMIT,1800.0
1,50,NaN,TIME_LIMIT,1800.0
1,55,NaN,TIME_LIMIT,1800.0
1,60,NaN,TIME_LIMIT,1800.0
1,65,NaN,TIME_LIMIT,1800.0
1,70,NaN,TIME_LIMIT,1800.0
1,75,NaN,TIME_LIMIT,1800.0
1,80,NaN,TIME_LIMIT,1800.0
1,85,NaN,TIME_LIMIT,1800.0
1,90,NaN,TIME_LIMIT,1800.0
1,95,NaN,TIME_LIMIT,1800.0
1,100,NaN,TIME_LIMIT,1800.0
1,105,NaN,TIME_LIMIT,1800.0
1,110,NaN,TIME_LIMIT,1800.0
1,115,NaN,TIME_LIMIT,1800.0
1,120,NaN,TIME_LIMIT,1800.0
2,20,NaN,TIME_LIMIT,1800.0
2,25,NaN,TIME_LIMIT,1800.0
2,30,NaN,TIME_LIMIT,1800.0
2,35,NaN,TIME_LIMIT,1800.0
2,40,NaN,TIME_LIMIT,1800.0
2,45,NaN,TIME_LIMIT,1800.0
2,50,NaN,TIME_LIMIT,1800.0
2,55,NaN,TIME_LIMIT,1800.0
2,60,NaN,TIME_LIMIT,1800.0
2,65,NaN,TIME_LIMIT,1800.0
2,70,NaN,TIME_LIMIT,1800.0
2,75,NaN,TIME_LIMIT,1800.0
2,80,NaN,TIME_LIMIT,1800.0
2,85,NaN,TIME_LIMIT,1800.0
2,90,NaN,TIME_LIMIT,1800.0
2,95,NaN,TIME_LIMIT,1800.0
2,100,NaN,TIME_LIMIT,1800.0
2,105,NaN,TIME_LIMIT,1800.0
2,110,NaN,TIME_LIMIT,1800.0
2,115,NaN,TIME_LIMIT,1800.0
2,120,NaN,TIME_LIMIT,1800.0
3,20,4.20407077799835,LOCALLY_SOLVED,133.80880999565125
3,25,NaN,TIME_LIMIT,1800.0
3,30,NaN,TIME_LIMIT,1800.0
3,35,NaN,TIME_LIMIT,1800.0
3,40,NaN,TIME_LIMIT,1800.0
3,45,NaN,TIME_LIMIT,1800.0
3,50,NaN,TIME_LIMIT,1800.0
3,55,NaN,TIME_LIMIT,1800.0
3,60,NaN,TIME_LIMIT,1800.0
3,65,NaN,TIME_LIMIT,1800.0
3,70,NaN,TIME_LIMIT,1800.0
3,75,NaN,TIME_LIMIT,1800.0
3,80,NaN,TIME_LIMIT,1800.0
3,85,NaN,TIME_LIMIT,1800.0
3,90,NaN,TIME_LIMIT,1800.0
3,95,NaN,TIME_LIMIT,1800.0
3,100,NaN,TIME_LIMIT,1800.0
3,105,NaN,TIME_LIMIT,1800.0
3,110,NaN,TIME_LIMIT,1800.0
3,115,NaN,TIME_LIMIT,1800.0
3,120,NaN,TIME_LIMIT,1800.0
4,20,NaN,TIME_LIMIT,1800.0
4,25,3.9673796980592613,LOCALLY_SOLVED,638.529345035553
4,30,NaN,TIME_LIMIT,1800.0
4,35,NaN,TIME_LIMIT,1800.0
4,40,NaN,TIME_LIMIT,1800.0
4,45,NaN,TIME_LIMIT,1800.0
4,50,NaN,TIME_LIMIT,1800.0
4,55,NaN,TIME_LIMIT,1800.0
4,60,NaN,TIME_LIMIT,1800.0
4,65,NaN,TIME_LIMIT,1800.0
4,70,NaN,TIME_LIMIT,1800.0
4,75,NaN,TIME_LIMIT,1800.0
4,80,NaN,TIME_LIMIT,1800.0
4,85,NaN,TIME_LIMIT,1800.0
4,90,NaN,TIME_LIMIT,1800.0
