seed,dimension,p,k,time,solution,termination,ncalls
1,1,5,1.0,36.148,0.5660230100021771,OPTIMAL,20027
1,1,5,1.0,8.031,0.9998093268871527,OPTIMAL,10031
1,1,5,1.0,8.079,0.9998093268871527,OPTIMAL,10031
1,1,5,1.0,8.047,0.9998093268871527,OPTIMAL,10031
1,1,5,1.0,36.265,0.5660230100021771,OPTIMAL,20027
1,15,75,3.0,609.207,2.8156085839248965,OPTIMAL,159533
2,15,75,3.0,1049.88,2.510955015317064,OPTIMAL,269566
3,15,75,3.0,1024.444,4.977486303591386,OPTIMAL,278694
4,15,75,3.0,1837.714,3.570152937436937,Time limit reached,391249
5,15,75,3.0,1818.886,3.0960683648881093,Time limit reached,420556
6,15,75,3.0,106.664,3.274959746910336,OPTIMAL,19921
7,15,75,3.0,1381.7,4.4719289037401655,OPTIMAL,325338
8,15,75,3.0,1824.63,2.287455683965412,Time limit reached,380754
9,15,75,3.0,72.948,4.3133398005811046,OPTIMAL,10003
10,15,75,3.0,236.686,2.391722770462672,OPTIMAL,40189
1,16,80,4.0,1812.302,2.6633825943920137,Time limit reached,359966
2,16,80,4.0,1806.232,2.346449784313559,Time limit reached,373637
3,16,80,4.0,1809.18,5.091732867438444,Time limit reached,309712
4,16,80,4.0,1851.31,3.5972405325105408,Time limit reached,399294
5,16,80,4.0,1807.671,3.63769637900974,Time limit reached,396896
6,16,80,4.0,50.209,3.452723946379324,OPTIMAL,10235
7,16,80,4.0,1816.848,4.703793852904876,Time limit reached,399918
8,16,80,4.0,1805.547,2.133833155360607,Time limit reached,402744
9,16,80,4.0,61.194,4.506263132840163,OPTIMAL,10315
10,16,80,4.0,945.287,1.9988265865273447,OPTIMAL,171946
1,17,85,4.0,668.458,2.3474422755205793,OPTIMAL,140116
2,17,85,4.0,1844.358,2.510257899045362,Time limit reached,427299
3,17,85,4.0,1427.879,5.014570729546344,OPTIMAL,301959
4,17,85,4.0,1807.415,3.9150015695258875,Time limit reached,389954
5,17,85,4.0,1802.436,3.8998167893942313,Time limit reached,395276
6,17,85,4.0,90.698,3.193775533784988,OPTIMAL,20114
7,17,85,4.0,1258.805,4.518599214707445,OPTIMAL,271220
8,17,85,4.0,1803.56,1.939435753753353,Time limit reached,385442
9,17,85,4.0,23.053,4.771345768384261,OPTIMAL,424
10,17,85,4.0,1827.241,2.2440767386834564,Time limit reached,389874
1,18,90,4.0,1835.059,2.5444467333794374,Time limit reached,363241
2,18,90,4.0,1805.289,2.6345054709356903,Time limit reached,398647
3,18,90,4.0,1810.102,5.04847551003505,Time limit reached,344768
4,18,90,4.0,1806.8,4.028020637083428,Time limit reached,425950
5,18,90,4.0,1816.034,3.991629504656097,Time limit reached,392782
6,18,90,4.0,395.484,3.655307345648596,OPTIMAL,90069
7,18,90,4.0,1694.528,4.62556213200753,OPTIMAL,371708
8,18,90,4.0,1807.181,2.051629925235364,Time limit reached,387725
9,18,90,4.0,36.176,4.705116246234705,OPTIMAL,187
10,18,90,4.0,1818.686,2.1813146857106016,Time limit reached,381940
1,19,95,4.0,1801.594,2.722326936292461,Time limit reached,352533
2,19,95,4.0,1816.462,2.8056349490336143,Time limit reached,439254
3,19,95,4.0,1829.756,5.181127574970973,Time limit reached,383946
4,19,95,4.0,1832.436,3.9361600595812054,Time limit reached,426498
5,19,95,4.0,1831.425,4.178160862783165,Time limit reached,435806
6,19,95,4.0,465.357,3.5875915636396223,OPTIMAL,109589
7,19,95,4.0,1826.52,5.093563664756703,Time limit reached,414331
8,19,95,4.0,1809.219,2.1470014564255084,Time limit reached,394994
9,19,95,4.0,307.068,5.310003417992356,OPTIMAL,70149
10,19,95,4.0,940.448,2.1517612804867037,OPTIMAL,208350
1,20,100,4.0,1852.574,2.654499422520585,Time limit reached,169667
2,20,100,4.0,1874.828,3.1191382473600155,Time limit reached,195812
3,20,100,4.0,1807.26,5.18800102635046,Time limit reached,181175
4,20,100,4.0,1901.797,4.272130248376802,Time limit reached,187517
5,20,100,4.0,1846.244,4.1681319312766,Time limit reached,208360
6,20,100,4.0,428.143,3.7097736428286248,OPTIMAL,49441
7,20,100,4.0,1811.44,5.183353910013434,Time limit reached,206840
8,20,100,4.0,1868.472,2.4692161713401406,Time limit reached,168601
9,20,100,4.0,147.499,5.098485980297229,OPTIMAL,10157
10,20,100,4.0,1836.317,2.2411762901230188,Time limit reached,189890
1,21,105,5.0,1856.331,2.8240260478591983,Time limit reached,180052
2,21,105,5.0,1898.333,3.0547449239361724,Time limit reached,179849
3,21,105,5.0,1842.996,5.948405825742578,Time limit reached,165439
4,21,105,5.0,1868.053,4.540224918882382,Time limit reached,178775
5,21,105,5.0,1885.172,4.308923171740781,Time limit reached,183487
6,21,105,5.0,509.812,3.4372800733085014,OPTIMAL,47184
7,21,105,5.0,1844.404,5.125226080112155,Time limit reached,196623
8,21,105,5.0,1816.928,2.188246824237847,Time limit reached,161830
9,21,105,5.0,267.101,4.948293389150535,OPTIMAL,28331
10,21,105,5.0,1847.422,1.86223669515536,Time limit reached,170406
1,22,110,5.0,1806.838,2.833149522892048,Time limit reached,168950
2,22,110,5.0,1838.263,3.2455791672423677,Time limit reached,127063
3,22,110,5.0,1881.281,5.874743204154452,Time limit reached,130348
4,22,110,5.0,1818.79,4.397493315195604,Time limit reached,148314
5,22,110,5.0,1839.988,4.405324213700711,Time limit reached,192455
6,22,110,5.0,1853.042,3.585870472421875,Time limit reached,160278
7,22,110,5.0,1858.632,5.328576129934933,Time limit reached,163640
8,22,110,5.0,1809.277,2.361419136915381,Time limit reached,175550
9,22,110,5.0,1154.389,5.3574506821002155,OPTIMAL,81858
10,22,110,5.0,1810.859,2.0931169374023684,Time limit reached,160363
1,23,115,5.0,1814.234,3.009254643542085,Time limit reached,150853
2,23,115,5.0,1848.927,3.3639564519681846,Time limit reached,166027
3,23,115,5.0,1808.678,6.230746732095174,Time limit reached,158279
4,23,115,5.0,1808.723,4.661260549183038,Time limit reached,173574
5,23,115,5.0,1823.489,4.281361988989801,Time limit reached,167492
6,23,115,5.0,1872.254,3.6780389906691457,Time limit reached,156810
7,23,115,5.0,1885.115,5.131105838383593,Time limit reached,167367
8,23,115,5.0,1840.752,2.390833456618258,Time limit reached,158537
9,23,115,5.0,989.032,5.301264060442235,OPTIMAL,43140
10,23,115,5.0,1864.244,2.175036125906605,Time limit reached,131107
1,24,120,5.0,1851.521,2.7933726237952254,Time limit reached,159677
2,24,120,5.0,1817.882,3.491259403446918,Time limit reached,129409
3,24,120,5.0,1861.896,5.824768462631013,Time limit reached,123799
4,24,120,5.0,1813.262,4.512027803014818,Time limit reached,150767
5,24,120,5.0,1886.132,4.640780049506439,Time limit reached,181906
6,24,120,5.0,1809.202,3.896540232509097,Time limit reached,149947
7,24,120,5.0,1833.079,5.441829021885716,Time limit reached,149313
8,24,120,5.0,1902.159,2.3994522443402495,Time limit reached,149637
9,24,120,5.0,1837.472,5.580355562138196,Time limit reached,133138
10,24,120,5.0,1859.233,2.104806905280289,Time limit reached,159580
1,25,125,5.0,1866.568,3.2556069749362564,Time limit reached,159694
2,25,125,5.0,1850.831,3.65929746449191,Time limit reached,147233
3,25,125,5.0,1891.82,5.945514641916456,Time limit reached,157557
4,25,125,5.0,1867.264,4.884672325565907,Time limit reached,177420
5,25,125,5.0,1802.572,5.005622255771315,Time limit reached,139888
6,25,125,5.0,1651.205,3.78635467547559,OPTIMAL,130648
7,25,125,5.0,1819.742,5.2684497144889635,Time limit reached,157497
8,25,125,5.0,1838.388,2.495810639742636,Time limit reached,122375
9,25,125,5.0,1812.911,5.610723655358916,Time limit reached,139373
10,25,125,5.0,1899.416,2.129746512550934,Time limit reached,149601
1,26,130,6.0,1838.596,3.045689806193267,Time limit reached,131897
2,26,130,6.0,1841.64,3.716862626132732,Time limit reached,140495
3,26,130,6.0,1856.67,5.998170344082331,Time limit reached,131977
4,26,130,6.0,1893.953,5.05862694602325,Time limit reached,141973
5,26,130,6.0,1874.343,5.0683177878812025,Time limit reached,140928
6,26,130,6.0,1881.213,4.088982700717821,Time limit reached,117899
7,26,130,6.0,1832.739,5.62198900384305,Time limit reached,135965
8,26,130,6.0,1840.278,2.527760044295595,Time limit reached,152182
9,26,130,6.0,1941.025,5.767390891505263,Time limit reached,132449
10,26,130,6.0,1813.784,2.0748848439646315,Time limit reached,99809
1,27,135,6.0,1910.985,3.10866462066773,Time limit reached,148539
2,27,135,6.0,1882.31,3.6279050218682984,Time limit reached,109623
3,27,135,6.0,1830.336,6.393914915089752,Time limit reached,148556
4,27,135,6.0,1853.951,4.844777875096383,Time limit reached,130188
5,27,135,6.0,1880.309,5.039404086473805,Time limit reached,154053
6,27,135,6.0,1812.646,3.8093869889692282,Time limit reached,97758
7,27,135,6.0,1890.908,5.734069052956908,Time limit reached,139846
8,27,135,6.0,1813.168,2.247865447872372,Time limit reached,143733
9,27,135,6.0,1891.001,5.795033269275499,Time limit reached,130208
10,27,135,6.0,1842.34,2.082768560879276,Time limit reached,148171
1,28,140,6.0,1841.783,3.043767659795596,Time limit reached,131647
2,28,140,6.0,1898.753,3.7959262974493706,Time limit reached,143185
3,28,140,6.0,1817.336,6.510164855217853,Time limit reached,121064
4,28,140,6.0,1888.859,4.748390704898506,Time limit reached,161871
5,28,140,6.0,1826.121,5.257983711356609,Time limit reached,136566
6,28,140,6.0,1823.895,3.954622037877673,Time limit reached,121288
7,28,140,6.0,1836.536,5.9893630476262505,Time limit reached,121702
8,28,140,6.0,1809.849,2.6434670526576873,Time limit reached,128907
9,28,140,6.0,1825.599,6.060032596950799,Time limit reached,100355
10,28,140,6.0,1949.385,2.0969974513279928,Time limit reached,128593
1,29,145,6.0,1812.102,3.255397068719602,Time limit reached,115198
2,29,145,6.0,1828.965,3.784462810142961,Time limit reached,133590
3,29,145,6.0,1840.542,6.64443690674548,Time limit reached,117654
4,29,145,6.0,1885.991,5.137408866410208,Time limit reached,116010
5,29,145,6.0,1848.999,5.462868606245268,Time limit reached,106879
6,29,145,6.0,1800.191,4.116280950667715,Time limit reached,101391
7,29,145,6.0,1864.88,6.063087911808492,Time limit reached,135706
8,29,145,6.0,1812.798,2.6044552826534115,Time limit reached,117990
9,29,145,6.0,1904.549,5.734539698611755,Time limit reached,94870
10,29,145,6.0,1809.956,2.4212908999815044,Time limit reached,121916
1,30,150,6.0,1879.178,3.645149755932812,Time limit reached,98648
2,30,150,6.0,1891.205,4.223732022390482,Time limit reached,122956
3,30,150,6.0,1832.626,6.556530235473057,Time limit reached,136798
4,30,150,6.0,1812.901,5.074876332181087,Time limit reached,128446
5,30,150,6.0,1810.078,5.338817507001473,Time limit reached,102811
6,30,150,6.0,1874.019,4.334812917701235,Time limit reached,106433
7,30,150,6.0,1889.949,5.955014138676084,Time limit reached,136678
8,30,150,6.0,1803.435,2.901134566586346,Time limit reached,90804
9,30,150,6.0,1815.966,5.908317519582886,Time limit reached,87689
10,30,150,6.0,1872.688,2.5028163119480626,Time limit reached,103809
