seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
4,30,401.0,-12.477687672069136,-11.171549574293953,OPTIMAL,52,2,10,10
4,30,1207.0,-12.477687672069136,-11.509578571652932,OPTIMAL,113,3,10,7
4,30,2600.0,-12.415853057509414,-11.800318809746352,OPTIMAL,198,4,12,8
4,30,3494.0,-12.415853057509414,-11.800318809746352,OPTIMAL,254,5,10,0
4,30,4414.0,-12.412830630976375,-11.800318809746352,OPTIMAL,316,6,7,0
4,30,5225.0,-12.412830630976375,-11.800318809746352,OPTIMAL,369,7,2,0
4,30,6682.0,-12.412830630976375,-11.800318809746352,OPTIMAL,429,8,2,0
4,30,7811.0,-12.412830630976375,-11.800318809746352,OPTIMAL,487,9,9,0
4,30,8891.0,-12.354268290970868,-11.800318809746352,OPTIMAL,553,10,11,0
4,30,10190.0,-12.354268290970868,-11.800318809746352,OPTIMAL,610,11,2,0
4,30,11048.0,-12.347429470300337,-11.800318809746352,OPTIMAL,672,12,8,0
4,30,11990.0,-12.347429470300337,-11.800318809746352,OPTIMAL,724,13,6,0
4,30,13317.0,-12.330281517711141,-11.800318809746352,OPTIMAL,803,14,5,0
4,30,14413.0,-12.330281517711141,-11.800318809746352,OPTIMAL,870,15,5,0
4,30,14869.0,-12.278278609956075,-11.800318809746352,OPTIMAL,932,16,6,0
4,30,16695.0,-12.278278609956075,-11.800318809746352,OPTIMAL,984,17,4,0
4,30,18803.0,-12.265161091319591,-11.800318809746352,OPTIMAL,1044,18,8,0
4,30,20103.0,-12.265161091319591,-11.800318809746352,OPTIMAL,1100,19,6,0
4,30,21067.0,-12.249077593660234,-11.800318809746352,OPTIMAL,1168,20,5,0
4,30,22482.0,-12.249077593660234,-11.800318809746352,OPTIMAL,1227,21,2,0
4,30,24156.0,-12.247728423820586,-11.800318809746352,OPTIMAL,1306,22,9,0
4,30,24862.0,-12.247728423820586,-11.800318809746352,OPTIMAL,1366,23,6,0
4,30,25748.0,-12.226711861039181,-11.800318809746352,OPTIMAL,1412,24,9,0
4,30,26729.0,-12.226711861039181,-11.800318809746352,OPTIMAL,1478,25,6,0
