seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
3,50,741.0,-3.434802805304086,3.8309818791294137,OPTIMAL,79,2,7,7
3,50,1385.0,-3.434802805304086,3.8309818791294137,OPTIMAL,116,3,1,0
3,50,1928.0,-2.866939429524747,3.8309818791294137,OPTIMAL,216,4,7,0
3,50,2367.0,-2.866939429524747,3.8309818791294137,OPTIMAL,241,5,0,0
3,50,3083.0,-2.7328626913596463,3.4362127268012794,OPTIMAL,327,6,5,3
3,50,3318.0,-2.7328626913596463,3.4362127268012794,OPTIMAL,337,7,6,0
3,50,4048.0,-2.6309342732886143,3.4362127268012794,OPTIMAL,438,8,4,0
3,50,4649.0,-2.6309342732886143,3.4362127268012794,OPTIMAL,451,9,4,0
3,50,5460.0,-2.6075415006086606,3.4362127268012794,OPTIMAL,570,10,6,0
3,50,5733.0,-2.6075415006086606,2.585593895089941,OPTIMAL,593,11,5,6
3,50,6265.0,-2.5962705680118767,2.585593895089941,OPTIMAL,687,12,5,0
3,50,6837.0,-2.5962705680118767,2.585593895089941,OPTIMAL,698,13,3,0
3,50,7545.0,-2.45244147998679,2.585593895089941,OPTIMAL,782,14,6,0
3,50,8148.0,-2.45244147998679,2.585593895089941,OPTIMAL,802,15,3,0
3,50,8905.0,-2.1432226976768973,2.585593895089941,OPTIMAL,911,16,5,0
3,50,9524.0,-2.1432226976768973,2.585593895089941,OPTIMAL,933,17,4,0
3,50,9981.0,-2.0935599894035466,2.585593895089941,OPTIMAL,1021,18,7,0
3,50,10181.0,-2.0935599894035466,2.4836155653202905,OPTIMAL,1031,19,7,1
3,50,10714.0,-2.0903876564420445,2.4836155653202905,OPTIMAL,1138,20,6,0
3,50,11028.0,-2.0903876564420445,2.4836155653202905,OPTIMAL,1154,21,2,0
3,50,11628.0,-2.0463925260830984,2.4836155653202905,OPTIMAL,1262,22,7,0
3,50,12070.0,-2.0463925260830984,1.3211872168595422,OPTIMAL,1280,23,4,5
3,50,12622.0,-1.7460132342514916,1.3211872168595422,OPTIMAL,1375,24,6,0
3,50,13192.0,-1.7460132342514916,1.3211872168595422,OPTIMAL,1403,25,3,0
3,50,13956.0,-1.6975271221709538,1.3211872168595422,OPTIMAL,1510,26,7,0
3,50,14649.0,-1.6975271221709538,1.3211872168595422,OPTIMAL,1552,27,7,0
3,50,15395.0,-1.538704255691898,1.3211872168595422,OPTIMAL,1658,28,10,0
3,50,15621.0,-1.538704255691898,1.3211872168595422,OPTIMAL,1668,29,7,0
3,50,16360.0,-1.4999566900415466,1.3211872168595422,OPTIMAL,1759,30,8,0
3,50,16995.0,-1.4999566900415466,1.3211872168595422,OPTIMAL,1775,31,7,0
3,50,17738.0,-1.4994340463480729,1.3211872168595422,OPTIMAL,1888,32,7,0
3,50,17874.0,-1.4994340463480729,1.3211872168595422,OPTIMAL,1899,33,10,0
3,50,18395.0,-1.4633876115548854,1.3211872168595422,OPTIMAL,2002,34,8,0
3,50,19019.0,-1.4633876115548854,1.3211872168595422,OPTIMAL,2018,35,4,0
3,50,19673.0,-1.4543239122321454,1.3211872168595422,OPTIMAL,2109,36,4,0
3,50,20283.0,-1.4543239122321454,1.3211872168595422,OPTIMAL,2121,37,7,0
3,50,21098.0,-1.446196810479451,1.3211872168595422,OPTIMAL,2264,38,7,0
3,50,21550.0,-1.446196810479451,0.30775152952924123,OPTIMAL,2288,39,5,5
3,50,21955.0,-1.3751156414584664,0.30775152952924123,OPTIMAL,2362,40,10,0
3,50,22273.0,-1.3751156414584664,0.30775152952924123,OPTIMAL,2388,41,9,0
3,50,22979.0,-1.3343499262813774,0.30775152952924123,OPTIMAL,2496,42,10,0
3,50,23167.0,-1.3343499262813774,0.30775152952924123,OPTIMAL,2507,43,13,0
3,50,23571.0,-1.277225655902761,0.30775152952924123,OPTIMAL,2597,44,10,0
3,50,23791.0,-1.277225655902761,0.30775152952924123,OPTIMAL,2611,45,10,0
3,50,24582.0,-1.1209600800684487,0.30775152952924123,OPTIMAL,2709,46,7,0
3,50,25260.0,-1.1209600800684487,-0.2287106561826222,OPTIMAL,2740,45,2,3
3,50,25479.0,-1.0727470039006892,-0.2287106561826222,OPTIMAL,2799,44,7,0
3,50,26127.0,-1.0727470039006892,-0.2287106561826222,OPTIMAL,2817,45,7,0
3,50,26615.0,-1.0456971874651968,-0.2287106561826222,OPTIMAL,2918,46,9,0
3,50,26932.0,-1.0456971874651968,-0.2287106561826222,OPTIMAL,2938,45,3,0
3,50,27444.0,-1.035856268533665,-0.2287106561826222,OPTIMAL,3021,44,6,0
3,50,28089.0,-1.035856268533665,-0.2287106561826222,OPTIMAL,3039,45,5,0
3,50,28829.0,-1.0222020212852723,-0.2287106561826222,OPTIMAL,3127,46,5,0
3,50,29505.0,-1.0222020212852723,-0.2287106561826222,OPTIMAL,3148,47,4,0
3,50,30312.0,-0.96519988022265,-0.2287106561826222,OPTIMAL,3273,48,6,0
3,50,30662.0,-0.96519988022265,-0.2287106561826222,OPTIMAL,3283,49,5,0
3,50,31150.0,-0.965084127716894,-0.2287106561826222,OPTIMAL,3372,48,5,0
3,50,31188.0,-0.965084127716894,-0.2287106561826222,OPTIMAL,3378,47,6,0
3,50,31980.0,-0.9360601981259137,-0.2287106561826222,OPTIMAL,3472,48,6,0
3,50,32487.0,-0.9360601981259137,-0.2676342693119762,OPTIMAL,3487,49,2,0
3,50,32693.0,-0.8834795970168123,-0.2676342693119762,OPTIMAL,3553,48,8,0
3,50,32873.0,-0.8834795970168123,-0.2676342693119762,OPTIMAL,3568,47,1,0
3,50,33169.0,-0.8496715773849918,-0.2676342693119762,OPTIMAL,3648,46,2,0
3,50,33677.0,-0.8496715773849918,-0.5079590227489168,OPTIMAL,3666,31,1,2
3,50,33874.0,-0.8061947990046177,-0.5079590227489168,OPTIMAL,3734,30,8,0
3,50,34082.0,-0.8061947990046177,-0.5079590227489168,OPTIMAL,3746,29,4,0
3,50,34389.0,-0.7855681679401231,-0.5079590227489168,OPTIMAL,3830,28,4,0
3,50,34970.0,-0.7855681679401231,-0.5105096302875788,OPTIMAL,3854,29,1,0
3,50,35145.0,-0.7799571215850478,-0.5105096302875788,OPTIMAL,3912,28,3,0
3,50,35281.0,-0.7799571215850478,-0.5105096302875788,OPTIMAL,3930,27,6,0
3,50,35592.0,-0.765876670515004,-0.5105096302875788,OPTIMAL,4005,26,7,0
