seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
2,18,1432.0,1.4609454091671368,1.9152023466838473,OPTIMAL,25,0,0,7,1
2,18,2524.0,1.4609454091671368,1.9152023466838473,OPTIMAL,42,0,0,10,1
2,18,2598.0,1.5156804924688958,1.9152023466838473,OPTIMAL,58,0,0,13,0
2,18,2674.0,1.5156804924688958,1.9152023466838473,OPTIMAL,75,0,0,12,1
2,18,2755.0,1.5259837321315906,1.9152023466838473,OPTIMAL,93,0,0,13,1
2,18,2846.0,1.5259837321315906,1.9152023466838473,OPTIMAL,108,0,0,10,1
2,18,2948.0,1.5461215925909055,1.9152023466838473,OPTIMAL,130,0,0,13,2
2,18,3019.0,1.5461215925909055,1.9152023466838473,OPTIMAL,144,0,0,14,1
2,18,3109.0,1.5518927378574277,1.9152023466838473,OPTIMAL,162,0,0,15,0
2,18,3180.0,1.5518927378574277,1.9152023466838473,OPTIMAL,176,0,0,16,1
2,18,3250.0,1.5648730517161051,1.9152023466838473,OPTIMAL,190,0,0,16,0
2,18,3345.0,1.5648730517161051,1.9152023466838473,OPTIMAL,208,0,0,19,2
2,18,3453.0,1.5758359409670573,1.9152023466838473,OPTIMAL,226,0,0,14,0
2,18,3529.0,1.5758359409670573,1.9152023466838473,OPTIMAL,241,0,0,17,2
2,18,3640.0,1.5850172153159132,1.9152023466838473,OPTIMAL,264,0,0,12,3
2,18,3724.0,1.5850172153159132,1.9152023466838473,OPTIMAL,280,0,0,18,3
2,18,3851.0,1.5893758331027148,1.9152023466838473,OPTIMAL,306,0,0,19,1
2,18,3929.0,1.5893758331027148,1.9152023466838473,OPTIMAL,320,0,0,17,5
2,18,4025.0,1.6021509548611204,1.9152023466838473,OPTIMAL,339,0,0,15,1
2,18,4109.0,1.6021509548611204,1.9152023466838473,OPTIMAL,355,0,0,18,6
2,18,4221.0,1.603907579865134,1.9152023466838473,OPTIMAL,378,0,0,15,2
2,18,4303.0,1.603907579865134,1.9152023466838473,OPTIMAL,394,0,0,17,3
2,18,4405.0,1.6079933849684687,1.9152023466838473,OPTIMAL,415,0,0,16,3
2,18,4471.0,1.6079933849684687,1.9152023466838473,OPTIMAL,427,0,0,14,2
2,18,4579.0,1.6207834653855815,1.9152023466838473,OPTIMAL,450,0,0,14,0
2,18,4656.0,1.6207834653855815,1.9152023466838473,OPTIMAL,465,0,0,17,6
2,18,4770.0,1.6212782684718137,1.9152023466838473,OPTIMAL,490,0,0,20,1
2,18,4857.0,1.6212782684718137,1.9152023466838473,OPTIMAL,508,0,0,16,4
2,18,4974.0,1.6246045135484593,1.9152023466838473,OPTIMAL,532,0,0,18,2
2,18,5036.0,1.6246045135484593,1.9152023466838473,OPTIMAL,545,0,0,14,2
2,18,5126.0,1.6292697871134476,1.9152023466838473,OPTIMAL,565,0,0,13,0
2,18,5177.0,1.6292697871134476,1.9152023466838473,OPTIMAL,575,0,0,13,2
2,18,5295.0,1.632789419309133,1.9152023466838473,OPTIMAL,596,0,0,14,1
2,18,5364.0,1.632789419309133,1.9152023466838473,OPTIMAL,609,0,0,19,6
2,18,5480.0,1.6394024739663968,1.9152023466838473,OPTIMAL,633,0,0,17,4
2,18,5562.0,1.6394024739663968,1.9152023466838473,OPTIMAL,650,0,0,16,1
2,18,5652.0,1.6408885292902073,1.9152023466838473,OPTIMAL,670,0,0,17,1
2,18,5759.0,1.6408885292902073,1.9152023466838473,OPTIMAL,692,0,0,22,6
2,18,5861.0,1.644043967972474,1.9152023466838473,OPTIMAL,714,0,0,15,2
2,18,5949.0,1.644043967972474,1.9152023466838473,OPTIMAL,732,0,0,23,5
2,18,6066.0,1.6452047035768027,1.9152023466838473,OPTIMAL,757,0,0,17,1
2,18,6134.0,1.6452047035768027,1.9152023466838473,OPTIMAL,771,0,0,17,2
2,18,6245.0,1.6488636380960984,1.9152023466838473,OPTIMAL,791,0,0,15,1
2,18,6297.0,1.6488636380960984,1.9152023466838473,OPTIMAL,802,0,0,17,1
2,18,6417.0,1.651110982920447,1.9152023466838473,OPTIMAL,823,0,0,13,1
2,18,6495.0,1.651110982920447,1.9152023466838473,OPTIMAL,840,0,0,17,1
2,18,6584.0,1.6547207923348346,1.9152023466838473,OPTIMAL,859,0,0,12,0
2,18,6652.0,1.6547207923348346,1.9152023466838473,OPTIMAL,873,0,0,19,1
2,18,6754.0,1.6560518758297977,1.9152023466838473,OPTIMAL,895,0,0,18,2
2,18,6801.0,1.6560518758297977,1.9152023466838473,OPTIMAL,904,0,0,17,4
2,18,6915.0,1.6562180587271509,1.9152023466838473,OPTIMAL,924,0,0,14,1
2,18,7007.0,1.6562180587271509,1.9152023466838473,OPTIMAL,942,0,0,27,3
2,18,7112.0,1.661171743040108,1.9152023466838473,OPTIMAL,964,0,0,13,3
2,18,7163.0,1.661171743040108,1.9152023466838473,OPTIMAL,974,0,0,19,0
2,18,7280.0,1.6618847723294792,1.9152023466838473,OPTIMAL,995,0,0,14,2
2,18,7379.0,1.6618847723294792,1.9152023466838473,OPTIMAL,1015,0,0,21,11
2,18,7485.0,1.6640069582957258,1.9152023466838473,OPTIMAL,1040,0,0,17,1
2,18,7559.0,1.6640069582957258,1.9152023466838473,OPTIMAL,1054,0,0,17,2
2,18,7653.0,1.6651748107984075,1.9152023466838473,OPTIMAL,1075,0,0,14,1
2,18,7717.0,1.6651748107984075,1.9152023466838473,OPTIMAL,1087,0,0,19,2
2,18,7844.0,1.668226989337131,1.9152023466838473,OPTIMAL,1110,0,0,14,1
2,18,7933.0,1.668226989337131,1.9152023466838473,OPTIMAL,1128,0,0,28,5
2,18,8041.0,1.671204562432139,1.9152023466838473,OPTIMAL,1152,0,0,14,4
2,18,8087.0,1.671204562432139,1.9152023466838473,OPTIMAL,1161,0,0,21,1
2,18,8220.0,1.6748002276802794,1.9152023466838473,OPTIMAL,1185,0,0,15,1
2,18,8272.0,1.6748002276802794,1.9152023466838473,OPTIMAL,1195,0,0,19,4
2,18,8371.0,1.675057104059781,1.9152023466838473,OPTIMAL,1213,0,0,13,3
2,18,8449.0,1.675057104059781,1.9152023466838473,OPTIMAL,1230,0,0,22,2
2,18,8550.0,1.6769772444932212,1.9152023466838473,OPTIMAL,1251,0,0,13,2
2,18,8618.0,1.6769772444932212,1.9152023466838473,OPTIMAL,1266,0,0,18,4
2,18,8691.0,1.6783389362203502,1.9152023466838473,OPTIMAL,1283,0,0,10,2
2,18,8758.0,1.6783389362203502,1.9152023466838473,OPTIMAL,1298,0,0,18,3
2,18,8895.0,1.6790027833426238,1.9152023466838473,OPTIMAL,1324,0,0,17,1
2,18,8957.0,1.6790027833426238,1.9152023466838473,OPTIMAL,1338,0,0,15,1
2,18,9050.0,1.6791875709259803,1.9152023466838473,OPTIMAL,1359,0,0,14,0
2,18,9120.0,1.6791875709259803,1.9152023466838473,OPTIMAL,1374,0,0,20,12
