seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
7,24,6332.0,3.128414618879832,3.701330501424796,OPTIMAL,27,0,0,15,1
7,24,7704.0,3.128414618879832,3.701330501424796,OPTIMAL,40,0,0,16,2
7,24,7981.0,3.133766866180847,3.701330501424796,OPTIMAL,61,0,0,14,0
7,24,8228.0,3.133766866180847,3.701330501424796,OPTIMAL,71,0,0,20,1
7,24,8537.0,3.1357604571234043,3.701330501424796,OPTIMAL,97,0,0,18,3
7,24,8793.0,3.1357604571234043,3.701330501424796,OPTIMAL,105,0,0,16,1
7,24,9109.0,3.1377336696120492,3.701330501424796,OPTIMAL,134,0,0,20,1
7,24,9360.0,3.1377336696120492,3.701330501424796,OPTIMAL,148,0,0,21,2
7,24,9641.0,3.1434077696630633,3.701330501424796,OPTIMAL,171,0,0,20,1
7,24,9882.0,3.1434077696630633,3.701330501424796,OPTIMAL,179,0,0,20,2
7,24,10166.0,3.1435674642547666,3.701330501424796,OPTIMAL,205,0,0,15,1
7,24,10286.0,3.1435674642547666,3.701330501424796,OPTIMAL,224,0,0,20,1
7,24,10422.0,3.149323966787053,3.701330501424796,OPTIMAL,247,0,0,9,1
7,24,10558.0,3.149323966787053,3.701330501424796,OPTIMAL,269,0,0,19,2
7,24,10691.0,3.209790425938168,3.701330501424796,OPTIMAL,291,0,0,9,4
7,24,10835.0,3.209790425938168,3.701330501424796,OPTIMAL,313,0,0,10,6
7,24,10985.0,3.215348578724525,3.701330501424796,OPTIMAL,337,0,0,16,2
7,24,11117.0,3.215348578724525,3.701330501424796,OPTIMAL,359,0,0,9,4
7,24,11215.0,3.2605830197375734,3.701330501424796,OPTIMAL,375,0,0,11,2
7,24,11361.0,3.2605830197375734,3.701330501424796,OPTIMAL,398,0,0,20,7
7,24,11495.0,3.273813749496969,3.701330501424796,OPTIMAL,419,0,0,16,3
7,24,11628.0,3.273813749496969,3.701330501424796,OPTIMAL,441,0,0,18,4
