seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,1947.944,-509.54049528040696,3.224616364775443,0.006328479079961826,3,Time limit reached,45
2,4,1999.167,-515.739636574552,3.926211663010804,0.007612778589382776,3,Time limit reached,30
3,4,2050.082,-501.92173269262923,4.066982282003323,0.00810282164947397,3,Time limit reached,19
1,5,1962.443,-533.8402162469384,5.778669253620933,0.010824716980385559,3,Time limit reached,28
2,5,1990.447,-494.5615636709404,4.814957770658964,0.00973581071468511,3,Time limit reached,41
3,5,1954.794,-524.4202367748397,4.260272784267613,0.008123776478322221,3,Time limit reached,36
1,6,2065.366,-456.2683205544086,6.502351564091214,0.014251157205458073,3,Time limit reached,33
2,6,2006.107,-485.6468322050175,7.574907298290896,0.015597563488467525,3,Time limit reached,37
3,6,2197.085,-501.0997021737321,6.99029646930245,0.013949911442731017,3,Time limit reached,25
1,7,1987.757,-441.01625140396783,10.612088499870481,0.024062805998842616,3,Time limit reached,29
2,7,2009.658,-482.35453909684384,8.501041534165267,0.01762405211337399,3,Time limit reached,22
3,7,1934.474,-446.3102938566458,6.733426438696199,0.01508687236521362,3,Time limit reached,35
1,8,1929.712,-470.9548981221826,8.471007637138314,0.017986876600953473,3,Time limit reached,35
2,8,2010.116,-423.2829992397216,14.354506187488198,0.03391231448763829,3,Time limit reached,24
3,8,1931.113,-464.0837800490594,10.717016599321823,0.0230928488778231,3,Time limit reached,33
