seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,341.0,-316.67873476091336,-286.5136285395649,Time limit reached,11
1,4,574.0,-316.67873476091336,-286.5136285395649,Time limit reached,19
1,4,687.0,-310.43841779292956,-286.5136285395649,Time limit reached,23
1,4,939.0,-310.43841779292956,-286.5136285395649,Time limit reached,32
1,4,1257.0,-310.43841779292956,-286.5557607473006,Time limit reached,43
1,4,1624.0,-310.43841779292956,-289.5916000482705,Time limit reached,56
1,4,2018.0,-310.43841779292956,-289.5916000482705,Time limit reached,69
1,4,2349.0,-310.43841779292956,-289.5916000482705,Time limit reached,81
1,4,2656.0,-310.43841779292956,-289.5916000482705,Time limit reached,92
1,4,2855.0,-310.43841779292956,-289.5916000482705,Time limit reached,99
1,4,3016.0,-310.43841779292956,-289.5916000482705,Time limit reached,105
1,4,3296.0,-310.43841779292956,-289.5916000482705,Time limit reached,115
1,4,3657.0,-310.43841779292956,-289.5916000482705,Time limit reached,127
1,4,3988.0,-310.43841779292956,-289.5916000482705,Time limit reached,139
1,4,4388.0,-310.43841779292956,-289.5916000482705,Time limit reached,152
1,4,4832.0,-310.43841779292956,-289.5916000482705,Time limit reached,167
1,4,5217.0,-310.43841779292956,-289.5916000482705,Time limit reached,180
1,4,5539.0,-310.43841779292956,-289.5916000482705,Time limit reached,191
1,4,5986.0,-310.43841779292956,-289.5916000482705,Time limit reached,205
1,4,6213.0,-310.43841779292956,-289.5916000482705,Time limit reached,213
1,4,6559.0,-310.43841779292956,-289.5916000482705,Time limit reached,225
1,4,6931.0,-310.43841779292956,-289.5916000482705,Time limit reached,238
1,4,7294.0,-310.43841779292956,-289.5916000482705,Time limit reached,250
1,4,7521.0,-310.43841779292956,-289.5916000482705,Time limit reached,258
1,4,7912.0,-310.43841779292956,-289.5916000482705,Time limit reached,271
1,4,8618.0,-310.43841779292956,-289.5916000482705,Time limit reached,292
1,4,8987.0,-310.43841779292956,-289.5916000482705,Time limit reached,305
1,4,9380.0,-310.43841779292956,-289.5916000482705,Time limit reached,318
1,4,9715.0,-310.43841779292956,-289.5916000482705,Time limit reached,329
1,4,10259.0,-310.43841779292956,-289.5916000482705,Time limit reached,348
1,4,10672.0,-310.43841779292956,-289.5916000482705,Time limit reached,361
1,4,11024.0,-310.43841779292956,-289.5916000482705,Time limit reached,373
1,4,11395.0,-310.43841779292956,-289.5916000482705,Time limit reached,386
