seed,dimension,var_A,p,k,M,time,solution,termination,ncalls
1,10,5,50,10.0,0.1,26.878,0.10447247263399045,primal>=tree.incumbent,4278
1,5,5,25,5.0,0.1,6.601,0.28694865548636705,OPTIMAL,1400
1,5,10,25,5.0,0.1,14.4,0.143665275439876,OPTIMAL,2938
1,5,5,25,5.0,1.0,444.905,0.286735150639178,OPTIMAL,80446
1,5,10,25,5.0,1.0,563.53,0.14366527543975882,OPTIMAL,96840
1,5,5,25,5.0,5.0,1800.364,0.2867351506391781,Time limit reached,348868
1,5,10,25,5.0,5.0,1689.021,0.14366527543975988,OPTIMAL,295246
1,10,5,50,10.0,0.1,22.746,0.10447247263399045,primal>=tree.incumbent,4278
1,10,10,50,10.0,0.1,1258.002,0.03503819076200064,OPTIMAL,180346
1,10,5,50,10.0,1.0,1800.779,0.0882842911727788,Time limit reached,178931
1,10,10,50,10.0,1.0,1800.87,0.039184603738350636,Time limit reached,145271
1,10,5,50,10.0,5.0,1800.751,0.10286720670195834,Time limit reached,152239
1,10,10,50,10.0,5.0,1801.602,0.04835968226488658,Time limit reached,153511
