seed,dimension,p,k,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,15,75,3.0,1.663,2.8156085839248965,0.025855870907991463,0.009268158710751932,OPTIMAL,340
1,15,75,3.0,1.546,2.8156085839248965,0.025855870907991463,0.009268158710751932,OPTIMAL,340
2,15,75,3.0,3.136,2.510955015317064,0.02317843693090449,0.009316928671279848,OPTIMAL,623
3,15,75,3.0,3.52,4.977486303591386,0.044018539291659664,0.008922433751405653,OPTIMAL,848
4,15,75,3.0,13.658,3.570152937436937,0.035317649814142094,0.00999131414632151,OPTIMAL,3322
5,15,75,3.0,7.819,3.0960683648881093,0.030631134511220015,0.009992419419873092,OPTIMAL,1948
6,15,75,3.0,0.249,3.274959746910336,0.026711402044313104,0.008223325068888733,OPTIMAL,55
7,15,75,3.0,2.884,4.4719289037401655,0.04170583513939885,0.009413935707885504,OPTIMAL,728
8,15,75,3.0,42.538,2.287455683965412,0.022629600737534172,0.009991760914940537,OPTIMAL,8908
9,15,75,3.0,0.176,4.3133398005811046,0.03937026984845282,0.009211640271498121,OPTIMAL,37
10,15,75,3.0,0.64,2.391722770462672,0.014534158879838,0.0061140116560463136,OPTIMAL,150
1,16,80,4.0,12.818,2.6633825943920137,0.025546912752383744,0.009684800660708424,OPTIMAL,3029
2,16,80,4.0,7.111,2.346449784313559,0.022920839385606406,0.009864667034013268,OPTIMAL,1549
3,16,80,4.0,15.343,5.091732867438444,0.049647722531150684,0.009846664842876931,OPTIMAL,3404
4,16,80,4.0,13.204,3.5972405325105408,0.03521379258552848,0.009885886647293894,OPTIMAL,2475
5,16,80,4.0,70.549,3.63769637900974,0.036009676070860586,0.00999800344696213,OPTIMAL,12446
6,16,80,4.0,0.881,3.452723946379324,0.0232165890065672,0.006769657151093776,OPTIMAL,104
7,16,80,4.0,19.836,4.703793852904876,0.04594187837750763,0.009863318677526102,OPTIMAL,2592
8,16,80,4.0,1392.223,2.133833155360607,0.0211261300415444,0.009999554973010947,OPTIMAL,213671
9,16,80,4.0,0.381,4.506263132840163,0.044250479052156066,0.009917156782285188,OPTIMAL,78
10,16,80,4.0,5.065,1.9988265865273447,0.01904764616427279,0.00962109747504418,OPTIMAL,1099
1,17,85,4.0,2.547,2.3474422755205793,0.02030474911365099,0.008725203767824272,OPTIMAL,561
2,17,85,4.0,22.295,2.510257899045362,0.02480114408317302,0.009978505573938388,OPTIMAL,4836
3,17,85,4.0,7.47,5.014570729546344,0.049510300398128315,0.009971741755139542,OPTIMAL,1582
4,17,85,4.0,17.861,3.9150015695258875,0.03765047255715226,0.009710359370495731,OPTIMAL,3710
5,17,85,4.0,35.079,3.8998167893942313,0.03846301650825801,0.009961018536644151,OPTIMAL,7436
6,17,85,4.0,0.331,3.193775533784988,0.029045675619364886,0.00917793205774621,OPTIMAL,66
7,17,85,4.0,5.361,4.518599214707445,0.04328592488806837,0.00967215524029054,OPTIMAL,1129
8,17,85,4.0,1800.744,1.9114825258867625,0.11066689362208271,0.061453761084309125,Time limit reached,238198
9,17,85,4.0,0.257,4.771345768384261,0.033946377241275805,0.007165614388506436,OPTIMAL,52
10,17,85,4.0,14.513,2.2440767386834564,0.021312643431558698,0.009588351493118487,OPTIMAL,3103
1,18,90,4.0,10.042,2.5444467333794374,0.024994676549658035,0.009920679570743163,OPTIMAL,2229
2,18,90,4.0,34.635,2.6345054709356903,0.026033649611258092,0.009980422022745754,OPTIMAL,7124
3,18,90,4.0,7.937,5.04847551003505,0.04790579873392087,0.00958006817216352,OPTIMAL,1675
4,18,90,4.0,71.658,4.028020637083428,0.03977494526693626,0.009973042871594078,OPTIMAL,14459
5,18,90,4.0,75.819,3.991629504656097,0.039302500511181115,0.009944141886530007,OPTIMAL,16376
6,18,90,4.0,1.18,3.655307345648596,0.034688121018279006,0.009580715028606973,OPTIMAL,247
7,18,90,4.0,6.889,4.62556213200753,0.04324985181221486,0.009438433953779203,OPTIMAL,1458
8,18,90,4.0,773.43,2.0434252666920547,0.020218348736690483,0.009993218467799119,OPTIMAL,91280
9,18,90,4.0,0.196,4.705116246234705,0.03279834761290168,0.007019716621289024,OPTIMAL,40
10,18,90,4.0,11.237,2.1813146857106016,0.020961409125891617,0.009702769150344423,OPTIMAL,2403
1,19,95,4.0,7.952,2.722326936292461,0.026827688471798616,0.009952771640908104,OPTIMAL,1722
2,19,95,4.0,7.778,2.8056349490336143,0.025981549155863704,0.009347046346500026,OPTIMAL,1619
3,19,95,4.0,9.69,5.181127574970973,0.049213036536994714,0.009589605627379027,OPTIMAL,1991
4,19,95,4.0,10.308,3.9361600595812054,0.03875017144588888,0.00994254455089623,OPTIMAL,2064
5,19,95,4.0,136.776,4.178160862783165,0.041172252542576615,0.009952227676107192,OPTIMAL,28210
6,19,95,4.0,1.161,3.5875915636396223,0.03421448158704932,0.009628722422919907,OPTIMAL,248
7,19,95,4.0,18.146,5.093563664756703,0.04991546933660018,0.009896699254703382,OPTIMAL,3570
8,19,95,4.0,627.411,2.1470014564255115,0.021246626052185746,0.00999486194203045,OPTIMAL,83365
9,19,95,4.0,0.945,5.310003417992356,0.049603700583831234,0.00942964475107757,OPTIMAL,193
10,19,95,4.0,2.789,2.1517612804867037,0.01997299891238935,0.009369128766220347,OPTIMAL,557
1,20,100,4.0,14.272,2.654499422520585,0.025355854287757662,0.009644149750559472,OPTIMAL,1185
2,20,100,4.0,159.089,3.1191382473600155,0.030760963138614983,0.009960234876669227,OPTIMAL,8950
3,20,100,4.0,33.478,5.18800102635046,0.05047523453712088,0.00982481384668731,OPTIMAL,2761
4,20,100,4.0,203.761,4.252012558500874,0.04207315518296717,0.00999376740430249,OPTIMAL,15492
5,20,100,4.0,84.395,4.1681319312766,0.040543401591697226,0.00982253955308677,OPTIMAL,5760
6,20,100,4.0,1.849,3.7097736428286248,0.02960853514440087,0.008045436625269322,OPTIMAL,99
7,20,100,4.0,63.06,5.183353910013434,0.051183279081039146,0.009973027547554542,OPTIMAL,5254
8,20,100,4.0,1800.33,2.4692161713401415,0.09366074447610373,0.03942688241113572,Time limit reached,84777
9,20,100,4.0,0.665,5.098485980297229,0.0454712274002631,0.008998831316333243,OPTIMAL,60
10,20,100,4.0,29.987,2.2411762901230188,0.02191217627354769,0.009873622583631772,OPTIMAL,1599
1,21,105,5.0,100.345,2.8240260478591983,0.027618776034306514,0.009876521318113628,OPTIMAL,5058
2,21,105,5.0,72.111,3.0547449239361724,0.030008743497099477,0.009921111034795566,OPTIMAL,2179
3,21,105,5.0,374.666,5.917432857407691,0.05858640675069271,0.009999648777981365,OPTIMAL,17537
4,21,105,5.0,152.011,4.4040904004188,0.04302527534377898,0.009865772262008776,OPTIMAL,6226
5,21,105,5.0,725.458,4.268244857783212,0.04224704870472351,0.009996940512833775,OPTIMAL,42370
6,21,105,5.0,2.592,3.4372800733085014,0.023290078112347068,0.0068219526551392,OPTIMAL,185
7,21,105,5.0,35.741,5.125226080112155,0.05041812613076058,0.009934982089559763,OPTIMAL,1940
8,21,105,5.0,1802.453,2.161884741888665,0.2643993423679458,0.1393419640724138,Time limit reached,78620
9,21,105,5.0,2.385,4.948293389150535,0.04601744314464451,0.009386954886155895,OPTIMAL,108
10,21,105,5.0,42.786,1.86223669515536,0.01716300817458971,0.009302071942001841,OPTIMAL,2780
1,22,110,5.0,54.13,2.833149522892048,0.02768485121329256,0.009868187431754856,OPTIMAL,3511
2,22,110,5.0,441.629,3.2455791672423677,0.0319379659678547,0.009938248848436556,OPTIMAL,22263
3,22,110,5.0,166.533,5.872043837599708,0.05694191966487416,0.00979207595472315,OPTIMAL,8756
4,22,110,5.0,170.037,4.397493315195604,0.043140797881485504,0.009907511555379514,OPTIMAL,9037
5,22,110,5.0,1037.654,4.387951913543736,0.04336938221342734,0.009982404960816262,OPTIMAL,51979
6,22,110,5.0,8.087,3.585870472421875,0.034589648549205876,0.009740048806246161,OPTIMAL,564
7,22,110,5.0,93.176,5.328576129934933,0.05256844696007246,0.009963679001019176,OPTIMAL,3948
8,22,110,5.0,1801.457,2.361419136915378,0.34778922885036545,0.17271755224601912,Time limit reached,58200
9,22,110,5.0,17.651,5.3574506821002155,0.0523815752430572,0.009873872363952901,OPTIMAL,518
10,22,110,5.0,140.864,2.0931169374023684,0.020584436412841356,0.009932021043343519,OPTIMAL,7299
1,23,115,5.0,44.424,3.009254643542085,0.02952875120027354,0.009909888448519824,OPTIMAL,2560
2,23,115,5.0,315.523,3.3639564519681846,0.03288239011307503,0.009871407690876284,OPTIMAL,16067
3,23,115,5.0,264.842,6.150088467900773,0.0604391832489517,0.009924903787362747,OPTIMAL,13714
4,23,115,5.0,526.864,4.6313633071927915,0.045828824170915716,0.009994216451887727,OPTIMAL,24958
5,23,115,5.0,711.417,4.260633793294362,0.042061501638466225,0.009970553715924594,OPTIMAL,36372
6,23,115,5.0,12.537,3.6780389906691457,0.0356057991725911,0.009775278584577652,OPTIMAL,805
7,23,115,5.0,58.46,5.131105838383593,0.048520826394450545,0.009546485947602719,OPTIMAL,2964
8,23,115,5.0,1800.855,2.390833456618253,0.393646417930299,0.19710042690288224,Time limit reached,72118
9,23,115,5.0,9.202,5.301264060442235,0.05053778154761801,0.009624912605091504,OPTIMAL,341
10,23,115,5.0,468.315,2.175036125906605,0.021389075276013525,0.009931560173590545,OPTIMAL,25591
1,24,120,5.0,28.094,2.7933726237952254,0.026716027170239354,0.009656430509962798,OPTIMAL,1375
2,24,120,5.0,713.693,3.482510049977039,0.0344600458308455,0.009994067890375186,OPTIMAL,31022
3,24,120,5.0,140.085,5.824768462631013,0.05702497662941397,0.009886878077677077,OPTIMAL,6094
4,24,120,5.0,231.098,4.512027803014818,0.043622068858856444,0.009762333918205893,OPTIMAL,10716
5,24,120,5.0,1790.29,4.586682765248187,0.04540903192425105,0.00999918405953794,OPTIMAL,80810
6,24,120,5.0,19.927,3.896540232509097,0.037944860280890946,0.00983385315651252,OPTIMAL,918
