seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
4,26,6334.0,4.353716712633936,4.860201559916642,OPTIMAL,23,108,108,13,0
4,26,7628.0,4.353716712633936,4.860201559916642,OPTIMAL,32,0,0,13,0
4,26,7891.0,4.353716712633936,4.860201559916642,OPTIMAL,55,5,0,10,2
4,26,8123.0,4.353716712633936,4.860201559916642,OPTIMAL,66,0,0,15,0
4,26,8329.0,4.3563726625489645,4.860201559916642,OPTIMAL,87,6,0,7,1
4,26,8558.0,4.3563726625489645,4.860201559916642,OPTIMAL,96,0,0,16,0
4,26,8802.0,4.3584037870070915,4.860201559916642,OPTIMAL,122,4,0,12,1
4,26,9020.0,4.3584037870070915,4.860201559916642,OPTIMAL,131,0,0,17,0
4,26,9230.0,4.3594097893897645,4.860201559916642,OPTIMAL,155,4,0,10,1
4,26,9427.0,4.3594097893897645,4.860201559916642,OPTIMAL,163,0,0,11,1
4,26,9644.0,4.360194360822955,4.860201559916642,OPTIMAL,187,3,0,8,2
4,26,9860.0,4.360194360822955,4.860201559916642,OPTIMAL,204,0,0,12,1
4,26,10056.0,4.383808282884083,4.860201559916642,OPTIMAL,221,1,0,11,3
4,26,10265.0,4.383808282884083,4.860201559916642,OPTIMAL,236,0,0,14,2
4,26,10489.0,4.3982713993395315,4.860201559916642,OPTIMAL,258,1,0,11,2
4,26,10659.0,4.3982713993395315,4.860201559916642,OPTIMAL,267,0,0,11,3
4,26,10886.0,4.399062587392756,4.860201559916642,OPTIMAL,292,1,0,12,1
4,26,11050.0,4.399062587392756,4.860201559916642,OPTIMAL,306,0,0,13,4
4,26,11249.0,4.40067773324069,4.860201559916642,OPTIMAL,329,1,0,11,3
4,26,11402.0,4.40067773324069,4.860201559916642,OPTIMAL,340,0,0,11,3
4,26,11594.0,4.401772650576315,4.860201559916642,OPTIMAL,364,0,0,11,1
4,26,11760.0,4.401772650576315,4.860201559916642,OPTIMAL,379,0,0,12,2
4,26,11930.0,4.406494836006683,4.860201559916642,OPTIMAL,398,0,0,13,4
4,26,12092.0,4.406494836006683,4.860201559916642,OPTIMAL,415,0,0,6,6
4,26,12261.0,4.4173096989662515,4.860201559916642,OPTIMAL,436,0,0,9,3
4,26,12400.0,4.4173096989662515,4.860201559916642,OPTIMAL,452,0,0,10,3
4,26,12554.0,4.441592969963072,4.860201559916642,OPTIMAL,471,0,0,5,2
4,26,12681.0,4.441592969963072,4.860201559916642,OPTIMAL,484,0,0,5,2
4,26,12850.0,4.460296665342695,4.860201559916642,OPTIMAL,507,0,0,8,3
4,26,12977.0,4.460296665342695,4.860201559916642,OPTIMAL,524,0,0,3,1
