seed,dimension,var_A,M,time,solution,termination,ncalls
1,10,1,0.1,0.862,0.5458764634955543,OPTIMAL,21
1,10,5,0.1,0.713,0.1640762275010369,OPTIMAL,29
1,10,1,1.0,1.087,0.5458764634955339,OPTIMAL,56
1,10,5,1.0,1.279,0.16407622750102574,OPTIMAL,75
2,10,1,0.1,0.595,0.5887953632346015,OPTIMAL,24
2,10,5,0.1,0.707,0.20137971596839993,OPTIMAL,33
2,10,1,1.0,1.063,0.5887953632345966,OPTIMAL,52
2,10,5,1.0,1.216,0.20137971596839438,OPTIMAL,65
3,10,1,0.1,0.599,0.6513300399641544,OPTIMAL,30
3,10,5,0.1,1.143,0.34839901635782466,OPTIMAL,41
3,10,1,1.0,1.107,0.6513300399641482,OPTIMAL,61
3,10,5,1.0,1.311,0.3483990163578228,OPTIMAL,73
1,15,1,0.1,1.611,0.5959987750261749,OPTIMAL,34
1,15,5,0.1,0.997,0.21761206610458295,OPTIMAL,48
1,15,1,1.0,1.698,0.5959987750261742,OPTIMAL,65
1,15,5,1.0,1.926,0.2176120661045811,OPTIMAL,86
2,15,1,0.1,0.718,0.6145464161921952,OPTIMAL,29
2,15,5,0.1,0.905,0.24076834257869012,OPTIMAL,46
2,15,1,1.0,1.637,0.6145464161922002,OPTIMAL,67
2,15,5,1.0,1.897,0.24076834257868943,OPTIMAL,85
3,15,1,0.1,0.515,0.296075621284319,OPTIMAL,18
3,15,5,0.1,0.964,0.033556461718551124,OPTIMAL,24
3,15,1,1.0,1.821,0.23502509075531874,OPTIMAL,50
3,15,5,1.0,1.845,0.03319014250628094,OPTIMAL,62
1,20,1,0.1,1.908,0.5403238609703611,OPTIMAL,36
1,20,5,0.1,2.209,0.1556449877659754,OPTIMAL,46
1,20,1,1.0,2.447,0.5403238609703487,OPTIMAL,72
1,20,5,1.0,2.939,0.1556449877659575,OPTIMAL,95
2,20,1,0.1,1.856,0.6207281102912604,OPTIMAL,37
2,20,5,0.1,2.139,0.26204200212131046,OPTIMAL,48
2,20,1,1.0,2.356,0.6207281102912527,OPTIMAL,67
2,20,5,1.0,2.862,0.2620420021213034,OPTIMAL,96
3,20,1,0.1,1.917,0.605511751891615,OPTIMAL,37
3,20,5,0.1,2.002,0.2301483109358765,OPTIMAL,40
3,20,1,1.0,2.423,0.6055117518916238,OPTIMAL,71
3,20,5,1.0,3.194,0.23014831093586638,OPTIMAL,101
