seed,dimension,time_boscia,solution_boscia,termination_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,20,14.344,1.2658745372323663,OPTIMAL,2.126435,1.2658745372323663,OPTIMAL,382.0
1,20,11.099,1.2658745372323663,OPTIMAL,2.016262,1.2658745372323663,OPTIMAL,382.0
2,20,63.18,-4.930225190397363,OPTIMAL,12.953033,-4.930225190397363,OPTIMAL,1528.0
2,20,31.464,-4.930225190397363,OPTIMAL,12.967352,-4.930225190397363,OPTIMAL,1528.0
3,20,38.257,1.4037574423466936,OPTIMAL,10.024444,1.4037574423466936,OPTIMAL,1299.0
3,20,30.254,1.4037574423466936,OPTIMAL,10.024935,1.4037574423466936,OPTIMAL,1299.0
4,20,52.984,0.5686080969010998,OPTIMAL,8.138829,0.5686080969010998,OPTIMAL,1437.0
4,20,48.847,0.5686080969010998,OPTIMAL,8.138547,0.5686080969010998,OPTIMAL,1437.0
5,20,175.014,-2.3615473444687503,OPTIMAL,80.620044,-2.3615473444687503,OPTIMAL,1905.0
5,20,93.225,-2.3615473444687503,OPTIMAL,80.434556,-2.3615473444687503,OPTIMAL,1905.0
6,20,5.778,-8.917010648707457,Optimal (tree empty),4.220587,-8.917010648707457,OPTIMAL,416.0
6,20,3.643,-8.917010648707457,OPTIMAL,4.20979,-8.917010648707457,OPTIMAL,416.0
7,20,12.972,2.4385252917781446,OPTIMAL,1.935972,2.4385252917781446,OPTIMAL,334.0
7,20,12.77,2.4385252917781446,OPTIMAL,1.91563,2.4385252917781446,OPTIMAL,334.0
1,25,47.875,3.064385575894592,OPTIMAL,18.021526,3.064385575894592,OPTIMAL,1246.0
1,25,48.086,3.064385575894592,OPTIMAL,17.987277,3.064385575894592,OPTIMAL,1246.0
2,25,32.605,3.577052275587004,OPTIMAL,17.718954,3.577052275587004,OPTIMAL,774.0
2,25,32.858,3.577052275587004,OPTIMAL,17.745692,3.577052275587004,OPTIMAL,774.0
3,25,96.073,2.2152637314483545,OPTIMAL,42.188888,2.2152637314483545,OPTIMAL,1556.0
3,25,96.632,2.2152637314483545,OPTIMAL,42.340421,2.2152637314483545,OPTIMAL,1556.0
4,25,37.919,7.003511052171426,OPTIMAL,32.489166,7.003511052171426,OPTIMAL,1530.0
4,25,38.153,7.003511052171426,OPTIMAL,32.353374,7.003511052171426,OPTIMAL,1530.0
5,25,354.067,-6.582704719193822,Optimal (tree empty),1057.897701,-6.582704719193822,OPTIMAL,3701.0
5,25,193.961,-6.582704719193822,OPTIMAL,910.884308,-6.582704719193822,OPTIMAL,3701.0
6,25,32.687,5.274775664864363,OPTIMAL,39.532935,5.274775664864363,OPTIMAL,1307.0
6,25,32.786,5.274775664864363,OPTIMAL,39.564834,5.274775664864363,OPTIMAL,1307.0
7,25,22.963,3.910201133873616,OPTIMAL,19.322669,3.910201133873616,OPTIMAL,792.0
7,25,23.566,3.910201133873616,OPTIMAL,19.290844,3.910201133873616,OPTIMAL,792.0
1,30,72.796,5.523682232067458,OPTIMAL,140.156178,5.523682232067458,OPTIMAL,1990.0
1,30,69.583,5.523682232067458,OPTIMAL,139.686255,5.523682232067458,OPTIMAL,1990.0
2,30,21.28,7.035181744964532,OPTIMAL,464.311361,7.035181744964532,OPTIMAL,5285.0
2,30,21.934,7.035181744964532,OPTIMAL,475.975931,7.035181744964532,OPTIMAL,5285.0
3,30,88.689,1.323910728602376,OPTIMAL,318.279918,1.323910728602376,OPTIMAL,2784.0
3,30,83.047,1.323910728602376,OPTIMAL,321.507784,1.323910728602376,OPTIMAL,2784.0
4,30,31.047,5.641999694466306,OPTIMAL,19.337384,5.641999694466306,OPTIMAL,1027.0
4,30,31.833,5.641999694466306,OPTIMAL,21.044827,5.641999694466306,OPTIMAL,1027.0
5,30,73.461,5.946586837571959,OPTIMAL,183.939012,5.946586837571959,OPTIMAL,2191.0
5,30,56.893,5.946586837571959,OPTIMAL,147.015285,5.946586837571959,OPTIMAL,2191.0
6,30,95.778,6.3330059909113245,OPTIMAL,634.023601,6.3330059909113245,OPTIMAL,2948.0
6,30,119.953,6.3330059909113245,OPTIMAL,629.391291,6.3330059909113245,OPTIMAL,2948.0
7,30,1800.696,-2.7587951827514683,Time limit reached,1800.001005,-6.126918271453915,TIME_LIMIT,7374.0
7,30,1800.32,-3.515373826480621,Time limit reached,1800.001114,-6.126918271453915,TIME_LIMIT,7343.0
1,35,56.653,6.514563951553402,OPTIMAL,1800.001071,8.19421411068256,TIME_LIMIT,2960.0
1,35,54.562,6.514563951553402,OPTIMAL,1800.003102,8.19421411068256,TIME_LIMIT,2953.0
2,35,228.343,2.1412733647313287,OPTIMAL,1800.001788,2.1412733647313287,TIME_LIMIT,5926.0
2,35,230.519,2.1412733647313287,OPTIMAL,1800.006541,2.1412733647313287,TIME_LIMIT,5927.0
3,35,78.376,6.913338934161181,OPTIMAL,308.320006,6.913338934161181,OPTIMAL,2159.0
3,35,76.209,6.913338934161181,OPTIMAL,307.391395,6.913338934161181,OPTIMAL,2159.0
4,35,140.216,3.056180406502043,OPTIMAL,1800.001948,3.056180406502043,TIME_LIMIT,6050.0
4,35,143.521,3.056180406502043,OPTIMAL,1800.004939,3.056180406502043,TIME_LIMIT,5896.0
5,35,477.198,1.2883581448262902,OPTIMAL,1800.020234,1.2883581448262902,TIME_LIMIT,8148.0
5,35,478.907,1.2883581448262902,OPTIMAL,1800.014508,1.2883581448262902,TIME_LIMIT,8341.0
6,35,560.0,-0.5540655212899406,OPTIMAL,1800.015286,0.10988218116134085,TIME_LIMIT,9210.0
6,35,300.828,-0.5540655212899406,OPTIMAL,1800.012493,0.10988218116134085,TIME_LIMIT,9144.0
7,35,642.833,0.848113097447935,OPTIMAL,1800.080181,0.8761823768905894,TIME_LIMIT,8633.0
7,35,669.029,0.848113097447935,OPTIMAL,1800.007503,0.8761823768905894,TIME_LIMIT,8685.0
1,40,52.619,6.668905686660359,OPTIMAL,1800.000392,6.668905686660359,TIME_LIMIT,4426.0
1,40,52.496,6.668905686660359,OPTIMAL,1800.041117,6.668905686660359,TIME_LIMIT,4353.0
2,40,259.735,10.366094011721161,OPTIMAL,1800.002278,10.366094011721161,TIME_LIMIT,3357.0
2,40,264.099,10.366094011721161,OPTIMAL,1800.000457,10.366094011721161,TIME_LIMIT,3480.0
3,40,229.881,6.981144660277266,OPTIMAL,1800.014243,7.337148815920526,TIME_LIMIT,4822.0
3,40,237.941,6.981144660277266,OPTIMAL,1800.002547,7.337148815920526,TIME_LIMIT,4865.0
4,40,60.095,9.881754761554713,OPTIMAL,1800.027796,9.881754761554713,TIME_LIMIT,4357.0
4,40,60.266,9.881754761554713,OPTIMAL,1800.000289,9.881754761554713,TIME_LIMIT,4355.0
5,40,69.476,6.165277011653874,OPTIMAL,1231.707586,6.165277011653874,OPTIMAL,3485.0
5,40,69.648,6.165277011653874,OPTIMAL,1221.903942,6.165277011653874,OPTIMAL,3485.0
6,40,1800.785,0.7325766126645119,Time limit reached,1800.016802,2.039868534386679,TIME_LIMIT,1872.0
6,40,1800.657,0.7325766126645119,Time limit reached,1800.003279,2.039868534386679,TIME_LIMIT,1868.0
7,40,171.886,6.817786289214361,OPTIMAL,1800.000672,6.865202311928591,TIME_LIMIT,4169.0
7,40,182.657,6.817786289214361,OPTIMAL,1800.007076,6.865202311928591,TIME_LIMIT,4145.0
1,45,1800.798,3.2623219447755982,Time limit reached,1800.001295,3.2623219447755982,TIME_LIMIT,2555.0
1,45,1800.833,3.2623219447755982,Time limit reached,1800.00226,3.2623219447755982,TIME_LIMIT,2555.0
2,45,1800.177,-0.9426863763276785,Time limit reached,1800.018494,-3.417842784876033,TIME_LIMIT,4890.0
2,45,1800.192,-0.9426863763276785,Time limit reached,1800.015683,-3.417842784876033,TIME_LIMIT,4889.0
3,45,1800.003,1.1186445151371023,Time limit reached,1800.017107,1.3452924711561873,TIME_LIMIT,7338.0
3,45,1800.473,1.1186445151371023,Time limit reached,1800.00074,1.3452924711561873,TIME_LIMIT,7359.0
4,45,79.083,10.701337940556193,OPTIMAL,1800.000339,10.701337940556193,TIME_LIMIT,3463.0
4,45,79.353,10.701337940556193,OPTIMAL,1800.015742,10.701337940556193,TIME_LIMIT,3464.0
5,45,1800.471,3.6037121380656183,Time limit reached,1800.001999,6.082696844970004,TIME_LIMIT,2166.0
5,45,1800.851,3.6037121380656183,Time limit reached,1800.002304,6.082696844970004,TIME_LIMIT,2168.0
6,45,107.402,5.495402245983364,OPTIMAL,1800.001201,10.097301812511077,TIME_LIMIT,5643.0
6,45,106.507,5.495402245983364,OPTIMAL,1800.078744,10.097301812511077,TIME_LIMIT,5639.0
7,45,216.679,12.62718452571226,OPTIMAL,1800.002644,15.355622808789729,TIME_LIMIT,1188.0
7,45,209.509,12.62718452571226,OPTIMAL,1800.003407,15.355622808789729,TIME_LIMIT,1185.0
1,50,1800.762,1.7912657405623136,Time limit reached,1800.002384,3.155833912042099,TIME_LIMIT,1782.0
1,50,1800.498,1.7912657405623136,Time limit reached,1800.006978,3.155833912042099,TIME_LIMIT,1867.0
2,50,486.227,4.622262909488774,OPTIMAL,1800.001203,6.68967782782946,TIME_LIMIT,2495.0
2,50,494.098,4.622262909488774,OPTIMAL,1800.00108,6.68967782782946,TIME_LIMIT,2488.0
3,50,1800.942,-2.465812918774023,Time limit reached,1800.000821,-16.86717793391694,TIME_LIMIT,5679.0
3,50,1801.005,-2.465812918774023,Time limit reached,1800.073997,-16.86717793391694,TIME_LIMIT,5682.0
4,50,1137.005,5.985565030656842,OPTIMAL,1800.000866,8.640212735151,TIME_LIMIT,3123.0
4,50,1083.836,5.985565030656842,OPTIMAL,1800.001372,8.640212735151,TIME_LIMIT,3125.0
5,50,175.898,9.980080860931746,OPTIMAL,1800.002102,21.58148390749403,TIME_LIMIT,2221.0
5,50,179.063,9.980080860931746,OPTIMAL,1800.006138,21.58148390749403,TIME_LIMIT,2228.0
6,50,196.932,-64.31377564381795,Optimal (tree empty),1800.008054,-64.4461940373269,TIME_LIMIT,4112.0
6,50,196.932,-64.31377564381795,OPTIMAL,1800.000344,-64.4461940373269,TIME_LIMIT,4190.0
7,50,397.682,4.82154724578178,OPTIMAL,1800.073735,-0.43654653008012384,TIME_LIMIT,19931.0
7,50,379.887,4.82154724578178,OPTIMAL,1800.181704,-0.43654653008012384,TIME_LIMIT,19931.0
8,20,26.297,2.815393615589904,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
