seed,dimension,time_boscia,solution_boscia,termination_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,20,8.735,-0.2490732818114336,Optimal (tree empty),1.569341,-0.24907318911053752,OPTIMAL,1401.0
1,20,5.829,-0.2490732818114336,Optimal (tree empty),1.48636,-0.24907318911053752,OPTIMAL,1401.0
2,20,14.186,-5.1345392563138885,OPTIMAL,4.307326,-5.134538934581188,OPTIMAL,2800.0
2,20,13.576,-5.1345392563138885,OPTIMAL,4.333903,-5.134538934581188,OPTIMAL,2800.0
3,20,10.964,-0.7394277769829833,Optimal (tree empty),6.033256,-0.7394274099661895,OPTIMAL,1941.0
3,20,11.481,-0.7394277769829833,Optimal (tree empty),5.976269,-0.7394274099661895,OPTIMAL,1941.0
4,20,15.947,-0.48809006533465626,OPTIMAL,1.753329,-0.4880898843132947,OPTIMAL,1396.0
4,20,17.538,-0.48809006533464444,OPTIMAL,1.7619150000000001,-0.4880898843132947,OPTIMAL,1396.0
1,25,6.272,-0.24654794806360103,OPTIMAL,6.434759,-0.24654761700338446,OPTIMAL,3179.0
1,25,6.06,-0.24654794806410493,OPTIMAL,6.414739,-0.24654761700338446,OPTIMAL,3179.0
2,25,5.909,-0.20379936365496193,Optimal (tree empty),3.311093,-0.20379892037605285,OPTIMAL,2125.0
2,25,5.901,-0.20379936365496193,Optimal (tree empty),3.328016,-0.20379892037605285,OPTIMAL,2125.0
3,25,19.134,-0.5449211081101935,OPTIMAL,10.6158,-0.5449206758639398,OPTIMAL,3848.0
3,25,11.281,-0.5449211081110489,OPTIMAL,10.618972,-0.5449206758639398,OPTIMAL,3848.0
4,25,6.331,0.1188950171802699,Optimal (tree empty),19.407306,0.11889529709431351,OPTIMAL,4829.0
4,25,6.337,0.1188950171802699,Optimal (tree empty),19.401699,0.11889529709431351,OPTIMAL,4829.0
1,30,10.63,-0.12340037127994019,Optimal (tree empty),67.369096,-0.12340004550969613,OPTIMAL,7699.0
1,30,10.784,-0.12340037127994019,Optimal (tree empty),68.035853,-0.12340004550969613,OPTIMAL,7699.0
2,30,9.142,-0.20913012724279623,OPTIMAL,58.78977,-0.2091297822675373,OPTIMAL,9570.0
2,30,9.226,-0.20913012724279573,OPTIMAL,58.187805,-0.2091297822675373,OPTIMAL,9570.0
3,30,27.584,-0.5067664386115898,OPTIMAL,52.225376,-0.506766056185435,OPTIMAL,5625.0
3,30,18.133,-0.5067664386111307,OPTIMAL,52.69683,-0.506766056185435,OPTIMAL,5625.0
4,30,5.15,-0.13981841043466248,OPTIMAL,6.564624,-0.1398181686481335,OPTIMAL,2870.0
4,30,5.277,-0.13981841043466248,OPTIMAL,6.454417,-0.1398181686481335,OPTIMAL,2870.0
1,35,8.43,-0.05744557203278261,Optimal (tree empty),285.498016,-0.0574451938516658,OPTIMAL,12159.0
1,35,8.504,-0.05744557203278261,Optimal (tree empty),285.034224,-0.0574451938516658,OPTIMAL,12159.0
2,35,34.684,-0.6323473403445433,OPTIMAL,329.629715,-0.6323469995522583,OPTIMAL,16999.0
2,35,24.389,-0.6323473403427076,OPTIMAL,331.213251,-0.6323469995522583,OPTIMAL,16999.0
3,35,14.089,-0.2857008302696909,OPTIMAL,44.964794,-0.2857005943934086,OPTIMAL,6721.0
3,35,14.403,-0.28570083026968973,OPTIMAL,44.953226,-0.2857005943934086,OPTIMAL,6721.0
4,35,21.468,-0.3520517124354489,OPTIMAL,146.464547,-0.35205130666696227,OPTIMAL,8448.0
4,35,21.391,-0.3520517124339023,OPTIMAL,145.571901,-0.35205130666696227,OPTIMAL,8448.0
1,40,11.681,-0.0821231392873164,OPTIMAL,311.623659,-0.08212280065006261,OPTIMAL,12514.0
1,40,11.628,-0.0821231392873164,OPTIMAL,309.460016,-0.08212280065006261,OPTIMAL,12514.0
2,40,20.131,-0.11049633047779811,OPTIMAL,998.36145,-0.11049589299155926,OPTIMAL,17581.0
2,40,17.723,-0.1104963304777975,OPTIMAL,997.907784,-0.11049589299155926,OPTIMAL,17581.0
3,40,26.786,-0.2826411164781734,OPTIMAL,1800.322319,-0.2826408280017282,TIME_LIMIT,19135.0
3,40,26.761,-0.2826411164781734,OPTIMAL,1800.101685,-0.2826408280017282,TIME_LIMIT,19135.0
4,40,12.78,-0.20697891790824424,OPTIMAL,132.979564,-0.2069786723762087,OPTIMAL,9469.0
4,40,12.749,-0.20697891790824424,OPTIMAL,133.211341,-0.2069786723762087,OPTIMAL,9469.0
1,45,70.411,-0.7906363479889623,OPTIMAL,1800.224732,7.522323610701946,TIME_LIMIT,16883.0
1,45,70.151,-0.7906363479835339,OPTIMAL,1800.003305,7.522323610701946,TIME_LIMIT,16881.0
2,45,330.66,-10.592133325078636,OPTIMAL,1800.000362,-9.50780624383465,TIME_LIMIT,28181.0
2,45,331.432,-10.592133325078636,OPTIMAL,1800.014444,-9.50780624383465,TIME_LIMIT,28178.0
3,45,280.92,-1.4002230063427374,OPTIMAL,1800.007787,-1.4002227206125184,TIME_LIMIT,15938.0
3,45,264.282,-1.4002230063427374,OPTIMAL,1800.002679,-1.4002227206125184,TIME_LIMIT,15901.0
4,45,15.132,0.08275738927625365,OPTIMAL,1800.00665,10.202943041591851,TIME_LIMIT,28254.0
4,45,15.001,0.08275738927625365,OPTIMAL,1800.008199,10.202943041591851,TIME_LIMIT,28254.0
1,50,380.98,-0.7056653869965827,OPTIMAL,1800.020605,3.5880521245440953,TIME_LIMIT,19891.0
1,50,386.236,-0.7056653870357437,OPTIMAL,1800.003392,3.5880521245440953,TIME_LIMIT,19984.0
2,50,37.495,-0.23052390148148494,OPTIMAL,1800.000393,25.87038466152737,TIME_LIMIT,16371.0
2,50,37.344,-0.23052390148148494,OPTIMAL,1800.077087,25.87038466152737,TIME_LIMIT,16378.0
3,50,215.931,-19.334158975171935,OPTIMAL,1800.000807,-18.220188282267266,TIME_LIMIT,13454.0
3,50,264.554,-19.334158975171935,OPTIMAL,1800.02064,-18.220188282267266,TIME_LIMIT,13466.0
4,50,52.606,-0.46051749584413465,OPTIMAL,1800.000812,5.270528602852764,TIME_LIMIT,23373.0
4,50,58.641,-0.460517495847116,OPTIMAL,1800.044548,5.270528602852764,TIME_LIMIT,23381.0
1,55,43.254,-0.3715022880780567,OPTIMAL,1800.030905,42.24757926649417,TIME_LIMIT,17609.0
1,55,43.297,-0.37150228807900265,OPTIMAL,1800.349558,42.24757926649417,TIME_LIMIT,17611.0
2,55,37.104,-0.43654689606332886,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
2,55,42.773,-0.43654689606332886,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
3,55,497.234,-9.774816314881376,OPTIMAL,1800.04375,-8.063494397633157,TIME_LIMIT,20405.0
3,55,499.056,-9.774816314881376,OPTIMAL,1800.029515,-8.063494397633157,TIME_LIMIT,20406.0
4,55,128.46,-0.4993110117680744,OPTIMAL,1800.081885,9.47561635637456,TIME_LIMIT,14509.0
4,55,135.77,-0.4993110117617145,OPTIMAL,1800.141813,9.47561635637456,TIME_LIMIT,14511.0
1,60,45.335,-0.20061002656754745,OPTIMAL,1800.362116,171.04537749829436,TIME_LIMIT,25517.0
1,60,42.249,-0.20061002656754517,OPTIMAL,1800.005555,171.04537749829436,TIME_LIMIT,25535.0
2,60,106.04,-0.5574431322215666,OPTIMAL,1800.005407,29.955346059427924,TIME_LIMIT,14749.0
2,60,127.44,-0.5574431322308219,OPTIMAL,1800.000648,29.955346059427924,TIME_LIMIT,14751.0
3,60,98.729,-0.5420020382282313,Optimal (tree empty),1800.000494,51.79964952970771,TIME_LIMIT,22103.0
3,60,74.995,-0.5420020382365006,OPTIMAL,1800.115238,51.79964952970771,TIME_LIMIT,22102.0
4,60,1421.608,-11.86391049706554,OPTIMAL,1800.007284,0.392472136202592,TIME_LIMIT,23133.0
4,60,1461.879,-11.86391049706554,OPTIMAL,1800.016663,0.392472136202592,TIME_LIMIT,23136.0
1,65,39.317,-0.11508688561115282,OPTIMAL,1800.000483,173.2073710518599,TIME_LIMIT,18790.0
1,65,39.172,-0.11508688561115366,OPTIMAL,1800.000247,173.2073710518599,TIME_LIMIT,18790.0
2,65,52.944,-0.2101867919784023,OPTIMAL,1800.00046,138.16907717565155,TIME_LIMIT,14135.0
2,65,53.009,-0.2101867919784023,OPTIMAL,1800.000973,138.16907717565155,TIME_LIMIT,14135.0
3,65,37.424,-0.24032260066225136,OPTIMAL,1800.009405,258.36175606192336,TIME_LIMIT,21265.0
3,65,38.716,-0.24032260066225136,OPTIMAL,1800.002064,258.36175606192336,TIME_LIMIT,21270.0
4,65,165.366,-0.9459281354583706,OPTIMAL,1800.103063,23.908683453366773,TIME_LIMIT,18043.0
4,65,175.715,-0.9459281354583706,OPTIMAL,1800.031867,23.908683453366773,TIME_LIMIT,18043.0
1,70,71.046,-0.39602870133830026,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
1,70,73.859,-0.39602870133830026,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
2,70,74.855,-0.35135117169039787,OPTIMAL,1800.002321,207.3905468237361,TIME_LIMIT,24842.0
2,70,69.187,-0.351351171693374,OPTIMAL,1800.000279,207.3905468237361,TIME_LIMIT,24842.0
3,70,74.803,-0.11200773758584887,OPTIMAL,1800.040811,193.0365153797678,TIME_LIMIT,13019.0
3,70,69.509,-0.11200773758585181,OPTIMAL,1800.023045,193.0365153797678,TIME_LIMIT,12976.0
4,70,1801.949,-21.125594863785047,Time limit reached,1800.450806,-32.14187013741517,TIME_LIMIT,27780.0
4,70,1800.895,-21.125594863785047,Time limit reached,1800.00551,-32.14187013741517,TIME_LIMIT,27780.0
1,75,58.215,-0.12878649855016755,Optimal (tree empty),1800.081533,622.6700507517196,TIME_LIMIT,10180.0
1,75,54.795,-0.12878649855016755,Optimal (tree empty),1800.000513,622.6700507517196,TIME_LIMIT,10180.0
2,75,92.602,-0.5117624813208834,OPTIMAL,1800.245552,166.97226550108022,TIME_LIMIT,15162.0
2,75,92.629,-0.5117624813208834,OPTIMAL,1800.074542,166.97226550108022,TIME_LIMIT,15164.0
3,75,51.007,-0.23408754811975058,OPTIMAL,1800.000593,246.2307269069001,TIME_LIMIT,21469.0
3,75,50.998,-0.23408754811975058,OPTIMAL,1800.00407,246.2307269069001,TIME_LIMIT,21569.0
4,75,99.124,-0.5670767814696087,OPTIMAL,1800.235182,104.28488352791047,TIME_LIMIT,18077.0
4,75,93.802,-0.5670767814646066,OPTIMAL,1800.177988,104.28488352791047,TIME_LIMIT,18077.0
1,80,60.627,-0.10688443798515285,OPTIMAL,1800.000096,459.3216393558907,TIME_LIMIT,15357.0
1,80,63.228,-0.1068844379851479,OPTIMAL,1800.06038,459.3216393558907,TIME_LIMIT,15355.0
2,80,96.772,-0.5815153883830572,OPTIMAL,1800.002949,659.4803296895424,TIME_LIMIT,13215.0
2,80,99.357,-0.5815153882482166,OPTIMAL,1800.001364,659.4803296895424,TIME_LIMIT,13219.0
3,80,1801.165,-3.827981842166352,Time limit reached,1800.037134,3.8846402074335344,TIME_LIMIT,9830.0
3,80,1801.6,-3.9196518326391407,Time limit reached,1800.019142,3.8846402074335344,TIME_LIMIT,9954.0
4,80,111.913,-0.3745359494666351,OPTIMAL,1800.000145,927.3648014336754,TIME_LIMIT,12197.0
4,80,111.989,-0.3745359494633091,OPTIMAL,1800.228523,927.3648014336754,TIME_LIMIT,12194.0
1,70,76.669,-0.39602870133830026,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
1,70,75.387,-0.3960287004804513,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
2,55,38.001,-0.43654689606332886,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
2,55,37.146,-0.4365468934287439,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
8,20,11.653,-0.35481276076104895,Optimal (tree empty),-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
8,20,8.551,-0.35481276076104895,Optimal (tree empty),-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
1,20,5.566,-0.2490732818114336,Optimal (tree empty),1.488173,-0.24907318911053752,OPTIMAL,1401.0
2,20,11.717,-5.1345392563138885,OPTIMAL,4.408767,-5.134538934581188,OPTIMAL,2800.0
3,20,11.004,-0.7394277769829833,Optimal (tree empty),6.122524,-0.7394274099661895,OPTIMAL,1941.0
4,20,14.692,-0.48809006533465626,OPTIMAL,1.793644,-0.4880898843132947,OPTIMAL,1396.0
5,20,14.816,-3.59695484018234,OPTIMAL,10.330394,-3.5969545880600995,OPTIMAL,2963.0
6,20,4.23,-9.087962251160674,OPTIMAL,1.845158,-9.08796184216764,OPTIMAL,1134.0
7,20,4.267,-0.18350406861912533,Optimal (tree empty),3.6029489999999997,-0.1835039174712637,OPTIMAL,3262.0
8,20,2.773,-0.04223830682344698,Optimal (tree empty),1.710917,-0.04223812652870129,OPTIMAL,1392.0
9,20,5.749,-0.11979333714649526,Optimal (tree empty),8.742958999999999,-0.11979305136397883,OPTIMAL,3112.0
10,20,34.025,-4.058747840179187,OPTIMAL,15.256065,-4.058747690928412,OPTIMAL,2243.0
1,25,5.751,-0.24654794806410493,OPTIMAL,6.520511,-0.24654761700338446,OPTIMAL,3179.0
2,25,5.662,-0.20379936365496193,Optimal (tree empty),3.369092,-0.20379892037605285,OPTIMAL,2125.0
3,25,12.094,-0.5449211081095298,OPTIMAL,10.767806,-0.5449206758639398,OPTIMAL,3848.0
4,25,6.119,0.1188950171802699,Optimal (tree empty),19.71031,0.11889529709431351,OPTIMAL,4829.0
5,25,29.858,-8.05438510361158,OPTIMAL,24.863313,-8.061134057138773,OPTIMAL,3368.0
6,25,6.159,-0.23104045112807392,Optimal (tree empty),17.230138,-0.2310402532649833,OPTIMAL,4567.0
