seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
4,115,5154.0,-68.64900873391545,40.60526209232692,OPTIMAL,96,37,37,67,15
4,115,6803.0,-68.64900873391545,40.60526209232692,OPTIMAL,125,32,0,70,34
4,115,9207.0,-8.209246429033481,40.60526209232692,OPTIMAL,223,46,0,69,18
4,115,9668.0,-8.209246429033481,40.60526209232692,OPTIMAL,237,20,0,64,39
4,115,11782.0,-8.209246429033481,40.60526209232692,OPTIMAL,342,45,0,73,11
4,115,12591.0,-8.209246429033481,38.84524534249383,OPTIMAL,378,25,29,66,49
4,115,13221.0,-2.9281242619975734,38.84524534249383,OPTIMAL,488,45,0,59,22
4,115,13715.0,-2.9281242619975734,32.55709720621315,OPTIMAL,511,13,37,64,62
4,115,16009.0,-2.862200667371865,32.55709720621315,OPTIMAL,634,51,0,84,24
4,115,16505.0,-2.862200667371865,32.55709720621315,OPTIMAL,659,3,0,68,78
4,115,18590.0,-2.83062191265138,32.55709720621315,OPTIMAL,770,50,0,85,8
4,115,19102.0,-2.83062191265138,32.55709720621315,OPTIMAL,803,4,0,66,94
4,115,19738.0,-2.83062191265138,32.55709720621315,OPTIMAL,896,36,0,51,24
4,115,20217.0,-2.83062191265138,32.55709720621315,OPTIMAL,941,44,0,62,24
4,115,21165.0,-1.2589061366878158,32.55709720621315,OPTIMAL,1067,35,0,59,30
4,115,21721.0,-1.2589061366878158,32.55709720621315,OPTIMAL,1106,6,0,68,117
4,115,23261.0,-1.2589061366878158,32.55709720621315,OPTIMAL,1214,63,0,66,18
4,115,23604.0,-1.2589061366878158,32.55709720621315,OPTIMAL,1246,6,0,66,119
4,115,25395.0,-0.8457435424435825,32.55709720621315,OPTIMAL,1385,52,0,91,13
4,115,25807.0,-0.8457435424435825,32.55709720621315,OPTIMAL,1425,4,0,70,138
4,115,27524.0,-0.7148421442103907,32.55709720621315,OPTIMAL,1536,53,0,80,11
4,115,27862.0,-0.7148421442103907,32.55709720621315,OPTIMAL,1567,5,0,71,160
4,115,29691.0,-0.5168444806868928,32.55709720621315,OPTIMAL,1696,51,0,80,10
4,115,30036.0,-0.5168444806868928,32.55709720621315,OPTIMAL,1741,2,0,69,176
4,115,31826.0,-0.27098995123705805,32.55709720621315,OPTIMAL,1861,54,0,79,5
4,115,32177.0,-0.27098995123705805,32.55709720621315,OPTIMAL,1891,1,0,67,187
4,115,33603.0,-0.23959450568895185,32.55709720621315,OPTIMAL,1983,55,0,57,10
4,115,33916.0,-0.23959450568895185,32.55709720621315,OPTIMAL,2013,3,0,64,197
4,115,35480.0,-0.21014090681910086,32.55709720621315,OPTIMAL,2123,56,0,66,16
4,115,35594.0,-0.21014090681910086,32.55709720621315,OPTIMAL,2142,4,0,64,194
4,115,36836.0,-0.18102271207046328,32.55709720621315,OPTIMAL,2245,57,0,25,12
4,115,36973.0,-0.18102271207046328,32.55709720621315,OPTIMAL,2262,5,0,66,192
4,115,38204.0,-0.16283181305734268,32.55709720621315,OPTIMAL,2366,56,0,63,6
4,115,38304.0,-0.16283181305734268,32.55709720621315,OPTIMAL,2384,4,0,66,196
4,115,39754.0,-0.1401028460582881,32.55709720621315,OPTIMAL,2529,56,0,92,12
4,115,39881.0,-0.1401028460582881,32.55709720621315,OPTIMAL,2548,4,0,63,195
4,115,40504.0,-0.11047283659225993,32.55709720621315,OPTIMAL,2643,58,0,60,0
4,115,40576.0,-0.11047283659225993,32.55709720621315,OPTIMAL,2656,4,0,66,189
4,115,41715.0,-0.0868716365008168,32.55709720621315,OPTIMAL,2773,55,0,56,4
4,115,41774.0,-0.0868716365008168,32.55709720621315,OPTIMAL,2784,5,0,64,184
4,115,42403.0,-0.06435091332647097,32.55709720621315,OPTIMAL,2881,59,0,37,1
4,115,42497.0,-0.06435091332647097,32.55709720621315,OPTIMAL,2900,4,0,68,169
4,115,43070.0,-0.03383934861742355,32.55709720621315,OPTIMAL,2967,56,0,22,6
4,115,43126.0,-0.03383934861742355,32.55709720621315,OPTIMAL,2980,5,0,67,166
4,115,44166.0,-0.002487748557652769,32.55709720621315,OPTIMAL,3089,55,0,71,6
4,115,44239.0,-0.002487748557652769,32.55709720621315,OPTIMAL,3102,5,0,64,161
4,115,44998.0,0.01698463425237584,32.55709720621315,OPTIMAL,3221,54,0,66,12
4,115,45085.0,0.01698463425237584,32.55709720621315,OPTIMAL,3238,4,0,67,161
4,115,45610.0,0.04282906427254263,32.55709720621315,OPTIMAL,3301,56,0,47,11
4,115,45670.0,0.04282906427254263,32.55709720621315,OPTIMAL,3311,4,0,66,155
