seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
10,50,1447.0,-0.8755212046201585,1.7944566707324607,OPTIMAL,63,10,10,31,16
10,50,2491.0,-0.8755212046201585,0.967711341822915,OPTIMAL,85,8,0,32,25
10,50,2524.0,-0.7850678714728656,0.967711341822915,OPTIMAL,135,10,0,32,11
10,50,2655.0,-0.7850678714728656,0.967711341822915,OPTIMAL,161,5,0,31,37
10,50,2697.0,-0.4152349565038016,0.967711341822915,OPTIMAL,213,11,0,29,15
10,50,2786.0,-0.4152349565038016,0.967711341822915,OPTIMAL,233,4,0,30,37
10,50,2819.0,-0.33051036842490567,0.967711341822915,OPTIMAL,278,8,0,27,12
10,50,2891.0,-0.33051036842490567,0.967711341822915,OPTIMAL,307,0,0,33,48
10,50,2914.0,-0.26405362722611136,0.967711341822915,OPTIMAL,344,10,0,29,2
10,50,2943.0,-0.26405362722611136,0.967711341822915,OPTIMAL,358,0,0,30,51
10,50,2971.0,-0.24591683398940056,0.967711341822915,OPTIMAL,397,10,0,30,2
10,50,2998.0,-0.24591683398940056,0.967711341822915,OPTIMAL,410,1,0,30,47
10,50,3018.0,-0.2203402979249849,0.967711341822915,OPTIMAL,440,7,0,21,2
10,50,3053.0,-0.2203402979249849,0.967711341822915,OPTIMAL,461,1,0,33,52
10,50,3067.0,-0.19232038052447875,0.967711341822915,OPTIMAL,493,8,0,22,2
10,50,3083.0,-0.19232038052447875,0.967711341822915,OPTIMAL,504,1,0,31,51
10,50,3108.0,-0.17332340681815367,0.967711341822915,OPTIMAL,549,5,0,37,2
10,50,3129.0,-0.17332340681815367,0.967711341822915,OPTIMAL,563,0,0,31,51
10,50,3141.0,-0.142459535039006,0.967711341822915,OPTIMAL,588,8,0,18,1
10,50,3163.0,-0.142459535039006,0.967711341822915,OPTIMAL,603,0,0,34,47
10,50,3180.0,-0.11051835582012126,0.967711341822915,OPTIMAL,636,6,0,21,7
10,50,3197.0,-0.11051835582012126,0.967711341822915,OPTIMAL,646,3,0,30,41
10,50,3212.0,-0.09330365665494761,0.967711341822915,OPTIMAL,673,5,0,20,6
10,50,3224.0,-0.09330365665494761,0.967711341822915,OPTIMAL,682,1,0,31,40
10,50,3236.0,-0.07919516074016891,0.967711341822915,OPTIMAL,712,6,0,22,3
10,50,3251.0,-0.07919516074016891,0.967711341822915,OPTIMAL,723,0,0,30,39
10,50,3264.0,-0.06127855918916919,0.967711341822915,OPTIMAL,747,3,0,16,1
10,50,3279.0,-0.06127855918916919,0.967711341822915,OPTIMAL,757,1,0,29,39
10,50,3293.0,-0.035600854822960215,0.967711341822915,OPTIMAL,785,5,0,22,1
10,50,3322.0,-0.035600854822960215,0.967711341822915,OPTIMAL,796,0,0,30,38
10,50,3335.0,-0.014115409795022293,0.967711341822915,OPTIMAL,824,3,0,20,0
10,50,3345.0,-0.014115409795022293,0.967711341822915,OPTIMAL,831,0,0,28,37
10,50,3353.0,-0.006226689160503118,0.967711341822915,OPTIMAL,853,6,0,15,1
10,50,3363.0,-0.006226689160503118,0.967711341822915,OPTIMAL,861,0,0,28,37
10,50,3376.0,0.0019510205825024052,0.967711341822915,OPTIMAL,884,2,0,15,3
10,50,3386.0,0.0019510205825024052,0.967711341822915,OPTIMAL,892,0,0,27,36
10,50,3393.0,0.00642641339173089,0.967711341822915,OPTIMAL,909,3,0,10,1
10,50,3401.0,0.00642641339173089,0.967711341822915,OPTIMAL,916,0,0,25,36
10,50,3408.0,0.009548676519632093,0.967711341822915,OPTIMAL,935,5,0,12,1
10,50,3418.0,0.009548676519632093,0.967711341822915,OPTIMAL,944,0,0,24,36
10,50,3425.0,0.012336429495340584,0.967711341822915,OPTIMAL,965,1,0,15,1
10,50,3434.0,0.012336429495340584,0.967711341822915,OPTIMAL,973,0,0,23,35
10,50,3442.0,0.014687118955420464,0.967711341822915,OPTIMAL,997,0,0,17,0
10,50,3450.0,0.014687118955420464,0.015598868620550432,OPTIMAL,1005,0,0,23,35
10,50,3458.0,0.014687118955420464,0.015598868620550432,OPTIMAL,1026,1,0,14,1
