seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,sizeActiveSet,sizeDiscardedSet
1,7,135.0,-12.798531044980612,-11.690896291367242,Optimal (tolerance reached),23,8,8,8,0
1,7,269.0,-12.798531044980612,-11.690896291367242,Optimal (tolerance reached),44,2,0,5,3
1,7,397.0,-12.642149024795993,-11.690896291367242,Optimal (tolerance reached),64,2,0,12,0
1,7,511.0,-12.642149024795993,-11.690896291367242,Optimal (tolerance reached),82,4,0,11,1
1,7,662.0,-12.641283941244426,-11.690896291367242,Optimal (tolerance reached),100,2,0,8,4
1,7,787.0,-12.641283941244426,-11.690896291367242,Optimal (tolerance reached),119,4,0,9,1
1,7,908.0,-12.486869394296916,-11.690896291367242,Optimal (tolerance reached),139,2,0,2,1
1,7,1006.0,-12.486869394296916,-11.690896291367242,Optimal (tolerance reached),155,6,0,11,3
1,7,1117.0,-12.4847309154677,-11.690896291367242,Optimal (tolerance reached),173,7,0,13,0
1,7,1245.0,-12.4847309154677,-11.690896291367242,Optimal (tolerance reached),192,6,0,2,0
1,7,1384.0,-12.482746451777826,-11.690896291367242,Optimal (tolerance reached),214,7,0,12,4
1,7,1506.0,-12.482746451777826,-11.690896291367242,Optimal (tolerance reached),233,4,0,8,2
1,7,1597.0,-12.48150257290498,-11.690896291367242,Optimal (tolerance reached),248,5,0,8,2
1,7,1714.0,-12.48150257290498,-11.690896291367242,Optimal (tolerance reached),267,4,0,11,0
1,7,1817.0,-12.357029582146259,-11.690896291367242,Optimal (tolerance reached),284,5,0,12,0
1,7,1926.0,-12.357029582146259,-11.690896291367242,Optimal (tolerance reached),301,1,0,11,2
1,7,2036.0,-12.354240654808912,-11.690896291367242,Optimal (tolerance reached),319,2,0,7,1
1,7,2139.0,-12.354240654808912,-11.690896291367242,Optimal (tolerance reached),336,1,0,5,3
1,7,2238.0,-12.353984498762756,-11.690896291367242,Optimal (tolerance reached),352,2,0,10,4
1,7,2348.0,-12.353984498762756,-11.690896291367242,Optimal (tolerance reached),371,1,0,1,0
1,7,2431.0,-12.350139409421399,-11.690896291367242,Optimal (tolerance reached),385,2,0,8,1
1,7,2529.0,-12.350139409421399,-11.690896291367242,Optimal (tolerance reached),400,1,0,12,0
1,7,2641.0,-12.298542170334482,-11.690896291367242,Optimal (tolerance reached),418,2,0,9,0
1,7,2737.0,-12.298542170334482,-11.690896291367242,Optimal (tolerance reached),433,1,0,11,0
1,7,2865.0,-12.296689494580695,-11.690896291367242,Optimal (tolerance reached),455,2,0,3,1
1,7,2983.0,-12.296689494580695,-11.690896291367242,Optimal (tolerance reached),474,1,0,2,2
1,7,3111.0,-12.294403595196814,-11.690896291367242,Optimal (tolerance reached),494,2,0,11,1
1,7,3210.0,-12.294403595196814,-11.690896291367242,Optimal (tolerance reached),510,1,0,14,3
1,7,3318.0,-12.292356651164146,-11.690896291367242,Optimal (tolerance reached),528,2,0,12,0
1,7,3418.0,-12.292356651164146,-11.690896291367242,Optimal (tolerance reached),544,1,0,8,4
1,7,3545.0,-12.237488557768842,-11.690896291367242,Optimal (tolerance reached),563,2,0,5,3
1,7,3641.0,-12.237488557768842,-11.690896291367242,Optimal (tolerance reached),578,1,0,3,0
1,7,3755.0,-12.235232590624166,-11.690896291367242,Optimal (tolerance reached),595,5,0,9,2
1,7,3885.0,-12.235232590624166,-11.690896291367242,Optimal (tolerance reached),618,1,0,13,0
1,7,3971.0,-12.234125750621004,-11.690896291367242,Optimal (tolerance reached),632,5,0,7,2
1,7,4070.0,-12.234125750621004,-11.690896291367242,Optimal (tolerance reached),649,1,0,9,1
1,7,4182.0,-12.23072777133158,-11.690896291367242,Optimal (tolerance reached),667,5,0,7,3
1,7,4282.0,-12.23072777133158,-11.690896291367242,Optimal (tolerance reached),683,2,0,9,1
1,7,4406.0,-12.179584769150152,-11.690896291367242,Optimal (tolerance reached),702,5,0,6,0
1,7,4501.0,-12.179584769150152,-11.690896291367242,Optimal (tolerance reached),717,4,0,7,2
1,7,4614.0,-12.177077773767422,-11.690896291367242,Optimal (tolerance reached),736,5,0,7,2
1,7,4716.0,-12.177077773767422,-11.690896291367242,Optimal (tolerance reached),753,4,0,3,4
1,7,4820.0,-12.17651425050472,-11.690896291367242,Optimal (tolerance reached),771,6,0,5,2
1,7,4929.0,-12.17651425050472,-11.690896291367242,Optimal (tolerance reached),789,4,0,9,1
1,7,5057.0,-12.174093809783576,-11.690896291367242,Optimal (tolerance reached),809,6,0,3,8
1,7,5169.0,-12.174093809783576,-11.690896291367242,Optimal (tolerance reached),827,4,0,4,4
1,7,5301.0,-12.155483720495868,-11.690896291367242,Optimal (tolerance reached),849,7,0,9,1
1,7,5397.0,-12.155483720495868,-11.690896291367242,Optimal (tolerance reached),865,4,0,5,0
1,7,5516.0,-12.153603975786726,-11.690896291367242,Optimal (tolerance reached),885,8,0,5,2
1,7,5627.0,-12.153603975786726,-11.690896291367242,Optimal (tolerance reached),902,4,0,9,1
1,7,5719.0,-12.152674248880684,-11.690896291367242,Optimal (tolerance reached),917,8,0,8,4
1,7,5825.0,-12.152674248880684,-11.690896291367242,Optimal (tolerance reached),934,4,0,3,5
1,7,5949.0,-12.149947378603617,-11.690896291367242,Optimal (tolerance reached),955,8,0,7,1
1,7,6059.0,-12.149947378603617,-11.690896291367242,Optimal (tolerance reached),973,4,0,5,2
1,7,6171.0,-12.120996611142191,-11.690896291367242,Optimal (tolerance reached),991,8,0,3,2
1,7,6310.0,-12.120996611142191,-11.690896291367242,Optimal (tolerance reached),1015,11,0,5,2
1,7,6400.0,-12.11728984680076,-11.690896291367242,Optimal (tolerance reached),1029,4,0,10,6
1,7,6537.0,-12.11728984680076,-11.690896291367242,Optimal (tolerance reached),1051,11,0,9,5
1,7,6654.0,-12.116601021655589,-11.690896291367242,Optimal (tolerance reached),1071,4,0,10,0
1,7,6769.0,-12.116601021655589,-11.690896291367242,Optimal (tolerance reached),1090,11,0,6,2
1,7,6861.0,-12.11340367958474,-11.690896291367242,Optimal (tolerance reached),1104,4,0,9,1
1,7,6962.0,-12.11340367958474,-11.690896291367242,Optimal (tolerance reached),1121,10,0,4,1
1,7,7054.0,-12.096269479257137,-11.690896291367242,Optimal (tolerance reached),1136,3,0,4,0
1,7,7150.0,-12.096269479257137,-11.690896291367242,Optimal (tolerance reached),1153,4,0,7,1
1,7,7249.0,-12.094667102841306,-11.690896291367242,Optimal (tolerance reached),1169,8,0,8,4
1,7,7356.0,-12.094667102841306,-11.690896291367242,Optimal (tolerance reached),1187,4,0,6,0
1,7,7485.0,-12.093539560630207,-11.690896291367242,Optimal (tolerance reached),1208,8,0,3,3
1,7,7578.0,-12.093539560630207,-11.690896291367242,Optimal (tolerance reached),1223,4,0,8,2
1,7,7695.0,-12.090811473037476,-11.690896291367242,Optimal (tolerance reached),1243,9,0,6,0
1,7,7805.0,-12.090811473037476,-11.690896291367242,Optimal (tolerance reached),1262,4,0,11,1
1,7,7926.0,-12.06300313988956,-11.690896291367242,Optimal (tolerance reached),1282,9,0,7,5
1,7,8054.0,-12.06300313988956,-11.690896291367242,Optimal (tolerance reached),1302,7,0,2,2
