seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,144.0,0.24952645180565444,0.6931471805599453,Time limit reached,33,0,0
7,15,5,75,15.0,1.0,296.0,0.24952645180565444,0.6931471805599453,Time limit reached,62,0,0
7,15,5,75,15.0,1.0,495.0,0.24996981774621432,0.6931471805599453,Time limit reached,98,0,0
7,15,5,75,15.0,1.0,681.0,0.24996981774621432,0.6931471805599453,Time limit reached,133,0,0
7,15,5,75,15.0,1.0,887.0,0.2514510638065002,0.6931471805599453,Time limit reached,173,0,0
7,15,5,75,15.0,1.0,1076.0,0.2514510638065002,0.6931471805599453,Time limit reached,208,0,0
7,15,5,75,15.0,1.0,1278.0,0.2514510638065002,0.6931471805599453,Time limit reached,248,0,0
7,15,5,75,15.0,1.0,1464.0,0.2514510638065002,0.6931471805599453,Time limit reached,288,0,0
7,15,5,75,15.0,1.0,1672.0,0.2526988648720219,0.6931471805599453,Time limit reached,334,0,0
7,15,5,75,15.0,1.0,1847.0,0.2526988648720219,0.6931471805599453,Time limit reached,371,0,0
7,15,5,75,15.0,1.0,2032.0,0.2530411793186972,0.6931471805599453,Time limit reached,412,0,0
7,15,5,75,15.0,1.0,2236.0,0.2530411793186972,0.6931471805599453,Time limit reached,454,0,0
7,15,5,75,15.0,1.0,2446.0,0.2530411793186972,0.6931471805599453,Time limit reached,500,0,0
7,15,5,75,15.0,1.0,2665.0,0.2530411793186972,0.6931471805599453,Time limit reached,544,0,0
7,15,5,75,15.0,1.0,2903.0,0.2537286420806518,0.6931471805599453,Time limit reached,596,0,0
7,15,5,75,15.0,1.0,3149.0,0.2537286420806518,0.6931471805599453,Time limit reached,648,0,0
7,15,5,75,15.0,1.0,3386.0,0.2537805692659395,0.6931471805599453,Time limit reached,701,0,0
7,15,5,75,15.0,1.0,3626.0,0.2537805692659395,0.6931471805599453,Time limit reached,753,0,0
7,15,5,75,15.0,1.0,3909.0,0.25426092630400854,0.6931471805599453,Time limit reached,816,0,0
7,15,5,75,15.0,1.0,4097.0,0.25426092630400854,0.6931471805599453,Time limit reached,857,0,0
7,15,5,75,15.0,1.0,4295.0,0.2542659787442026,0.6931471805599453,Time limit reached,902,0,0
7,15,5,75,15.0,1.0,4523.0,0.2542659787442026,0.6931471805599453,Time limit reached,948,0,0
7,15,5,75,15.0,1.0,4784.0,0.2542873496593942,0.6931471805599453,Time limit reached,1007,0,0
7,15,5,75,15.0,1.0,4970.0,0.2542873496593942,0.6931471805599453,Time limit reached,1047,0,0
7,15,5,75,15.0,1.0,5172.0,0.2543400337184978,0.6931471805599453,Time limit reached,1092,0,0
7,15,5,75,15.0,1.0,5451.0,0.2543400337184978,0.6931471805599453,Time limit reached,1148,0,0
7,15,5,75,15.0,1.0,5796.0,0.2544069921939791,0.6931471805599453,Time limit reached,1219,0,0
7,15,5,75,15.0,1.0,5978.0,0.2544069921939791,0.6931471805599453,Time limit reached,1257,0,0
7,15,5,75,15.0,1.0,6179.0,0.2545079226655044,0.6931471805599453,Time limit reached,1299,0,0
7,15,5,75,15.0,1.0,6466.0,0.2545079226655044,0.6931471805599453,Time limit reached,1358,0,0
7,15,5,75,15.0,1.0,6820.0,0.2545079226655044,0.6931471805599453,Time limit reached,1429,0,0
7,15,5,75,15.0,1.0,7189.0,0.2545079226655044,0.6931471805599453,Time limit reached,1498,0,0
7,15,5,75,15.0,1.0,7602.0,0.2545585187947028,0.6931471805599453,Time limit reached,1576,0,0
7,15,5,75,15.0,1.0,7947.0,0.2545585187947028,0.6931471805599453,Time limit reached,1641,0,0
7,15,5,75,15.0,1.0,8424.0,0.2547526957083613,0.6931471805599453,Time limit reached,1729,0,0
7,15,5,75,15.0,1.0,8760.0,0.2547526957083613,0.6931471805599453,Time limit reached,1790,0,0
7,15,5,75,15.0,1.0,9246.0,0.25476638300482574,0.6931471805599453,Time limit reached,1881,0,0
7,15,5,75,15.0,1.0,9620.0,0.25476638300482574,0.6931471805599453,Time limit reached,1948,0,0
7,15,5,75,15.0,1.0,10199.0,0.2547775078860719,0.6931471805599453,Time limit reached,2040,0,0
7,15,5,75,15.0,1.0,10429.0,0.2547775078860719,0.6931471805599453,Time limit reached,2091,0,0
7,15,5,75,15.0,1.0,10693.0,0.2547775078860719,0.6931471805599453,Time limit reached,2151,0,0
7,15,5,75,15.0,1.0,10937.0,0.2547775078860719,0.6931471805599453,Time limit reached,2203,0,0
7,15,5,75,15.0,1.0,11258.0,0.2548487094203125,0.6931471805599453,Time limit reached,2272,0,0
7,15,5,75,15.0,1.0,11546.0,0.2548487094203125,0.6931471805599453,Time limit reached,2329,0,0
7,15,5,75,15.0,1.0,11868.0,0.25495048786880586,0.6931471805599453,Time limit reached,2398,0,0
7,15,5,75,15.0,1.0,12273.0,0.25495048786880586,0.6931471805599453,Time limit reached,2463,0,0
7,15,5,75,15.0,1.0,13210.0,0.254977967702668,0.6931471805599453,Time limit reached,2550,0,0
7,15,5,75,15.0,1.0,13648.0,0.254977967702668,0.6931471805599453,Time limit reached,2604,0,0
7,15,5,75,15.0,1.0,13777.0,0.2549826195196408,0.4014430341865388,Time limit reached,2636,0,0
7,15,5,75,15.0,1.0,14111.0,0.2549826195196408,0.4014430341865388,Time limit reached,2693,0,0
7,15,5,75,15.0,1.0,14713.0,0.2549826195196408,0.4014430341865388,Time limit reached,2789,0,0
7,15,5,75,15.0,1.0,15086.0,0.2549826195196408,0.4014430341865388,Time limit reached,2850,0,0
7,15,5,75,15.0,1.0,15703.0,0.2549945485200957,0.4014430341865388,Time limit reached,2944,0,0
7,15,5,75,15.0,1.0,16101.0,0.2549945485200957,0.4014430341865388,Time limit reached,3000,0,0
7,15,5,75,15.0,1.0,17055.0,0.25502337242055045,0.4014430341865388,Time limit reached,3090,0,0
7,15,5,75,15.0,1.0,17550.0,0.25502337242055045,0.4014430341865388,Time limit reached,3151,0,0
7,15,5,75,15.0,1.0,18720.0,0.2550302004820039,0.4014430341865388,Time limit reached,3237,0,0
7,15,5,75,15.0,1.0,19261.0,0.2550302004820039,0.4014430341865388,Time limit reached,3289,0,0
