seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size
30,40,Inf,0.85,105,3649.0,867343168,582.3957237155181,607.8004053919414,127.0,3,35,12,3
30,40,Inf,0.85,105,3649.0,867343168,582.3957237155181,607.8004053919414,215.0,5,51,10,4
30,40,Inf,0.85,105,3649.0,867343168,582.9100856668106,607.8004053919414,288.0,7,76,8,1
30,40,Inf,0.85,105,3649.0,867343168,582.9100856668106,607.8004053919414,408.0,9,98,11,5
30,40,Inf,0.85,105,3649.0,867343168,588.3146988794647,607.8004053919414,496.0,11,118,6,2
30,40,Inf,0.85,105,3649.0,867343168,588.3146988794647,607.8004053919414,575.0,13,139,12,3
30,40,Inf,0.85,105,3649.0,867343168,588.393369906456,607.8004053919414,653.0,15,159,10,2
30,40,Inf,0.85,105,3649.0,867343168,588.393369906456,607.8004053919414,723.0,17,177,5,4
30,40,Inf,0.85,105,3649.0,867343168,593.6610711767927,607.8004053919414,825.0,19,204,12,2
30,40,Inf,0.85,105,3649.0,867343168,593.6610711767927,607.8004053919414,938.0,21,229,13,4
30,40,Inf,0.85,105,3649.0,867343168,593.6922793977891,607.8004053919414,999.0,23,245,6,5
30,40,Inf,0.85,105,3649.0,867343168,593.6922793977891,607.8004053919414,1066.0,25,259,6,4
30,40,Inf,0.85,105,3649.0,867343168,593.7693121963431,607.8004053919414,1085.0,25,268,6,1
30,40,Inf,0.85,105,3649.0,867343168,593.7693121963431,607.8004053919414,1163.0,27,287,6,3
30,40,Inf,0.85,105,3649.0,867343168,593.7802842052563,607.8004053919414,1253.0,29,312,2,2
30,40,Inf,0.85,105,3649.0,867343168,593.7802842052563,607.8004053919414,1308.0,31,330,13,3
30,40,Inf,0.85,105,3649.0,867343168,594.1670323532104,607.8004053919414,1379.0,33,348,6,1
30,40,Inf,0.85,105,3649.0,867343168,594.1670323532104,607.8004053919414,1469.0,35,367,12,3
30,40,Inf,0.85,105,3649.0,867343168,594.173449997198,607.8004053919414,1551.0,37,386,9,6
30,40,Inf,0.85,105,3649.0,867343168,594.173449997198,607.8004053919414,1580.0,37,396,11,4
30,40,Inf,0.85,105,3649.0,867343168,594.4459746052398,607.8004053919414,1651.0,39,412,7,2
30,40,Inf,0.85,105,3649.0,867343168,594.4459746052398,607.8004053919414,1704.0,41,427,2,0
30,40,Inf,0.85,105,3649.0,867343168,594.6161015377237,607.8004053919414,1756.0,43,445,7,2
30,40,Inf,0.85,105,3649.0,867343168,594.6161015377237,607.8004053919414,1772.0,45,450,6,3
30,40,Inf,0.85,105,3649.0,867343168,595.0368000535752,607.8004053919414,1833.0,47,468,7,2
30,40,Inf,0.85,105,3649.0,867343168,595.0368000535752,607.8004053919414,1944.0,49,488,9,5
30,40,Inf,0.85,105,3649.0,867343168,596.8185918387204,607.8004053919414,1997.0,51,504,6,4
30,40,Inf,0.85,105,3649.0,867343168,596.8185918387204,607.8004053919414,2091.0,53,528,10,1
30,40,Inf,0.85,105,3649.0,867343168,596.9586412241857,607.8004053919414,2158.0,55,546,3,1
30,40,Inf,0.85,105,3649.0,867343168,596.9586412241857,607.8004053919414,2226.0,57,562,2,4
30,40,Inf,0.85,105,3649.0,867343168,597.3504077381085,607.8004053919414,2241.0,57,570,5,1
30,40,Inf,0.85,105,3649.0,867343168,597.3504077381085,607.8004053919414,2255.0,57,577,5,0
30,40,Inf,0.85,105,3649.0,867343168,597.5828016325565,607.8004053919414,2284.0,59,590,3,6
30,40,Inf,0.85,105,3649.0,867343168,597.5828016325565,607.8004053919414,2296.0,61,596,1,3
30,40,Inf,0.85,105,3649.0,867343168,597.9508079034333,607.8004053919414,2350.0,63,609,2,3
30,40,Inf,0.85,105,3649.0,867343168,597.9508079034333,607.8004053919414,2407.0,65,625,6,1
30,40,Inf,0.85,105,3649.0,867343168,598.3134276959886,607.8004053919414,2454.0,67,638,2,3
30,40,Inf,0.85,105,3649.0,867343168,598.3134276959886,607.8004053919414,2513.0,69,657,11,2
30,40,Inf,0.85,105,3649.0,867343168,598.447704106387,607.8004053919414,2551.0,71,670,6,4
