seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
2,35,1517.0,-18.805712249706026,53.6319525075593,OPTIMAL,56,2,0,11
2,35,2491.0,-18.805712249706026,50.021200074839726,OPTIMAL,99,3,0,11
2,35,3907.0,-18.762230331899012,0.10714062017993808,OPTIMAL,167,4,0,11
2,35,4858.0,-18.762230331899012,-18.281004205875192,OPTIMAL,213,5,0,11
2,35,5976.0,-18.746771293172166,-18.281004205875192,OPTIMAL,270,6,0,0
2,35,6935.0,-18.746771293172166,-18.281004205875192,OPTIMAL,312,7,0,0
2,35,8925.0,-18.739367113552927,-18.281004205875192,OPTIMAL,392,8,0,0
2,35,11191.0,-18.739367113552927,-18.281004205875192,OPTIMAL,408,9,0,0
2,35,12703.0,-18.692148952151072,-18.281004205875192,OPTIMAL,469,10,0,0
2,35,13942.0,-18.692148952151072,-18.281004205875192,OPTIMAL,477,11,0,0
2,35,15842.0,-18.68224646412633,-18.281004205875192,OPTIMAL,564,12,0,0
2,35,17267.0,-18.68224646412633,-18.281004205875192,OPTIMAL,621,13,0,0
2,35,18896.0,-18.665123896995382,-18.281004205875192,OPTIMAL,705,14,0,0
2,35,20157.0,-18.665123896995382,-18.281004205875192,OPTIMAL,751,15,0,0
2,35,21377.0,-18.639367837918304,-18.281004205875192,OPTIMAL,802,16,0,0
2,35,22456.0,-18.639367837918304,-18.281004205875192,OPTIMAL,873,17,0,0
2,35,23587.0,-18.635732126644548,-18.281004205875192,OPTIMAL,953,18,0,0
2,35,25910.0,-18.635732126644548,-18.281004205875192,OPTIMAL,1001,19,0,0
2,35,26910.0,-18.62612532208631,-18.281004205875192,OPTIMAL,1052,20,0,0
2,35,29378.0,-18.62612532208631,-18.281004205875192,OPTIMAL,1113,21,0,0
2,35,30576.0,-18.621002304922836,-18.281004205875192,OPTIMAL,1187,22,0,0
2,35,32522.0,-18.621002304922836,-18.281004205875192,OPTIMAL,1237,23,0,0
2,35,33683.0,-18.620776427676837,-18.281004205875192,OPTIMAL,1290,24,0,0
2,35,35458.0,-18.620776427676837,-18.281004205875192,OPTIMAL,1332,25,0,0
2,35,37275.0,-18.61380673164407,-18.281004205875192,OPTIMAL,1409,26,0,0
2,35,38190.0,-18.61380673164407,-18.281004205875192,OPTIMAL,1453,27,0,0
2,35,39471.0,-18.60891833290709,-18.281004205875192,OPTIMAL,1540,28,0,0
2,35,40456.0,-18.60891833290709,-18.281004205875192,OPTIMAL,1607,29,0,0
2,35,41414.0,-18.601288018969456,-18.281004205875192,OPTIMAL,1687,30,0,0
2,35,42567.0,-18.601288018969456,-18.281004205875192,OPTIMAL,1735,31,0,0
2,35,44023.0,-18.597384611122575,-18.281004205875192,OPTIMAL,1829,32,0,0
2,35,45135.0,-18.597384611122575,-18.281004205875192,OPTIMAL,1875,33,0,0
2,35,47127.0,-18.597384611122575,-18.281004205875192,OPTIMAL,1946,34,0,0
2,35,48255.0,-18.597384611122575,-18.281004205875192,OPTIMAL,2000,35,0,0
2,35,49671.0,-18.594539327684483,-18.281004205875192,OPTIMAL,2069,36,0,0
2,35,51171.0,-18.594539327684483,-18.281004205875192,OPTIMAL,2136,37,0,0
2,35,52857.0,-18.594539327684483,-18.281004205875192,OPTIMAL,2225,38,0,0
2,35,53710.0,-18.594539327684483,-18.281004205875192,OPTIMAL,2271,39,0,0
2,35,55319.0,-18.585865628083155,-18.281004205875192,OPTIMAL,2338,40,0,0
2,35,57244.0,-18.585865628083155,-18.281004205875192,OPTIMAL,2403,41,0,0
2,35,58590.0,-18.584266280876875,-18.281004205875192,OPTIMAL,2483,42,0,0
2,35,59379.0,-18.584266280876875,-18.281004205875192,OPTIMAL,2497,43,0,0
2,35,60584.0,-18.577603111600965,-18.281004205875192,OPTIMAL,2574,44,0,0
2,35,61995.0,-18.577603111600965,-18.281004205875192,OPTIMAL,2626,45,0,0
2,35,63066.0,-18.57507863221106,-18.281004205875192,OPTIMAL,2689,46,0,0
2,35,64913.0,-18.57507863221106,-18.281004205875192,OPTIMAL,2704,47,0,0
2,35,66807.0,-18.574474291677227,-18.281004205875192,OPTIMAL,2782,48,0,0
2,35,68190.0,-18.574474291677227,-18.281004205875192,OPTIMAL,2854,49,0,0
2,35,69118.0,-18.573651244873183,-18.281004205875192,OPTIMAL,2948,50,0,0
2,35,70755.0,-18.573651244873183,-18.281004205875192,OPTIMAL,3010,51,0,0
2,35,71871.0,-18.573651244873183,-18.281004205875192,OPTIMAL,3079,52,0,0
2,35,73011.0,-18.573651244873183,-18.281004205875192,OPTIMAL,3123,53,0,0
2,35,74572.0,-18.568119924143858,-18.281004205875192,OPTIMAL,3176,54,0,0
2,35,76051.0,-18.568119924143858,-18.281004205875192,OPTIMAL,3221,55,0,0
2,35,77361.0,-18.565491060465696,-18.281004205875192,OPTIMAL,3296,56,0,0
2,35,78614.0,-18.565491060465696,-18.281004205875192,OPTIMAL,3343,57,0,0
2,35,79779.0,-18.563702987468982,-18.281004205875192,OPTIMAL,3418,58,0,0
2,35,81661.0,-18.563702987468982,-18.281004205875192,OPTIMAL,3473,59,0,0
2,35,82855.0,-18.5614339770273,-18.281004205875192,OPTIMAL,3545,60,0,0
2,35,84022.0,-18.5614339770273,-18.281004205875192,OPTIMAL,3596,61,0,0
2,35,86164.0,-18.559629776543687,-18.281004205875192,OPTIMAL,3666,62,0,0
2,35,87132.0,-18.559629776543687,-18.281004205875192,OPTIMAL,3739,63,0,0
2,35,88125.0,-18.558730117736722,-18.281004205875192,OPTIMAL,3831,64,0,0
2,35,89391.0,-18.558730117736722,-18.281004205875192,OPTIMAL,3898,65,0,0
2,35,90662.0,-18.55843272826838,-18.281004205875192,OPTIMAL,3979,66,0,0
2,35,91801.0,-18.55843272826838,-18.281004205875192,OPTIMAL,4027,67,0,0
