seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
9,40,1894.0,-3.437186721399869,3.1362762910594757,OPTIMAL,54,0,13,31,11
9,40,3125.0,-3.437186721399869,3.1362762910594757,OPTIMAL,74,0,0,27,23
9,40,3389.0,-3.111609310682823,3.1362762910594757,OPTIMAL,119,0,0,25,9
9,40,3475.0,-3.111609310682823,3.1362762910594757,OPTIMAL,138,0,0,22,12
9,40,3557.0,-3.1086146637756795,3.1362762910594757,OPTIMAL,181,0,0,24,8
9,40,3662.0,-3.1086146637756795,2.6881538415973996,OPTIMAL,192,0,0,24,24
9,40,3810.0,-2.868703847550307,2.6881538415973996,OPTIMAL,237,0,0,23,8
9,40,3924.0,-2.868703847550307,2.522981275355715,OPTIMAL,252,0,0,29,27
9,40,4011.0,-2.848500352645825,2.522981275355715,OPTIMAL,295,0,0,21,10
9,40,4067.0,-2.848500352645825,2.522981275355715,OPTIMAL,312,0,0,28,15
9,40,4148.0,-2.7667934598807884,2.522981275355715,OPTIMAL,358,0,0,24,14
9,40,4178.0,-2.7667934598807884,2.522981275355715,OPTIMAL,368,0,0,22,9
9,40,4312.0,-2.756103394397484,2.522981275355715,OPTIMAL,419,0,0,21,13
9,40,4538.0,-2.756103394397484,2.522981275355715,OPTIMAL,461,0,0,20,29
9,40,4652.0,-2.6697609810412586,2.522981275355715,OPTIMAL,508,0,0,22,11
9,40,4680.0,-2.6697609810412586,2.522981275355715,OPTIMAL,523,0,0,22,22
9,40,4807.0,-2.6366098556025714,2.522981275355715,OPTIMAL,573,0,0,25,7
9,40,4828.0,-2.6366098556025714,2.522981275355715,OPTIMAL,582,0,0,24,14
9,40,4978.0,-2.3980892476548163,2.522981275355715,OPTIMAL,633,0,0,24,12
9,40,5061.0,-2.3980892476548163,2.201178073736406,OPTIMAL,645,0,9,25,31
9,40,5128.0,-2.320858858411421,2.201178073736406,OPTIMAL,685,0,0,23,6
9,40,5153.0,-2.320858858411421,2.201178073736406,OPTIMAL,695,0,0,22,12
9,40,5227.0,-2.2916333143278522,2.201178073736406,OPTIMAL,739,0,0,20,12
9,40,5245.0,-2.2916333143278522,2.201178073736406,OPTIMAL,747,0,0,21,9
9,40,5349.0,-2.2665531705174145,2.201178073736406,OPTIMAL,793,0,0,22,11
9,40,5378.0,-2.2665531705174145,2.201178073736406,OPTIMAL,807,0,0,20,14
9,40,5441.0,-2.255881343732372,2.201178073736406,OPTIMAL,849,0,0,23,7
9,40,5603.0,-2.255881343732372,2.201178073736406,OPTIMAL,873,0,0,24,37
9,40,5682.0,-2.2255786663554935,2.201178073736406,OPTIMAL,920,0,0,22,18
9,40,5712.0,-2.2255786663554935,2.201178073736406,OPTIMAL,930,0,0,23,13
9,40,5803.0,-2.185458592112611,2.201178073736406,OPTIMAL,977,0,0,21,13
9,40,5844.0,-2.185458592112611,2.201178073736406,OPTIMAL,986,0,0,22,7
9,40,5931.0,-2.1644937953681964,2.201178073736406,OPTIMAL,1029,0,0,20,10
9,40,5988.0,-2.1644937953681964,2.201178073736406,OPTIMAL,1063,0,0,21,56
9,40,6127.0,-2.154405085999157,2.201178073736406,OPTIMAL,1114,0,0,21,14
9,40,6149.0,-2.154405085999157,2.201178073736406,OPTIMAL,1127,0,0,26,15
9,40,6236.0,-2.1238325667638005,2.201178073736406,OPTIMAL,1172,0,0,22,11
9,40,6287.0,-2.1238325667638005,2.201178073736406,OPTIMAL,1186,0,0,21,22
9,40,6358.0,-2.1076851088320843,2.201178073736406,OPTIMAL,1229,0,0,22,8
9,40,6411.0,-2.1076851088320843,2.201178073736406,OPTIMAL,1245,0,0,25,14
