seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
3,8,204.0,-14.568420036624184,-13.018306786223732,Optimal (tolerance reached),39,2,0,1
3,8,366.0,-14.568420036624184,-13.018306786223732,Optimal (tolerance reached),72,3,0,0
3,8,562.0,-14.406961389519008,-13.018306786223732,Optimal (tolerance reached),110,4,0,0
3,8,766.0,-14.406961389519008,-13.018306786223732,Optimal (tolerance reached),148,5,0,0
3,8,942.0,-14.387327990175276,-13.018309487356168,Optimal (tolerance reached),180,6,0,0
3,8,1129.0,-14.387327990175276,-13.018309487356168,Optimal (tolerance reached),217,7,0,0
3,8,1293.0,-14.255566193458096,-13.018309487356168,Optimal (tolerance reached),248,8,0,0
3,8,1492.0,-14.255566193458096,-13.018309487356168,Optimal (tolerance reached),288,9,0,0
3,8,1660.0,-14.23540788252577,-13.018309487356168,Optimal (tolerance reached),318,10,0,0
3,8,1850.0,-14.23540788252577,-13.018309487356168,Optimal (tolerance reached),354,11,0,0
3,8,2048.0,-14.218028683472296,-13.018309487356168,Optimal (tolerance reached),392,12,0,0
3,8,2251.0,-14.218028683472296,-13.018309487356168,Optimal (tolerance reached),432,13,0,0
3,8,2409.0,-14.19765551314832,-13.018309487356168,Optimal (tolerance reached),461,14,0,0
3,8,2582.0,-14.19765551314832,-13.018309487356168,Optimal (tolerance reached),495,15,0,0
3,8,2762.0,-14.111302597954953,-13.018309487356168,Optimal (tolerance reached),528,16,0,0
3,8,2932.0,-14.111302597954953,-13.018309487356168,Optimal (tolerance reached),560,17,0,0
3,8,3113.0,-14.091360788001447,-13.018309487526405,Optimal (tolerance reached),591,18,0,0
3,8,3279.0,-14.091360788001447,-13.018309487526405,Optimal (tolerance reached),623,19,0,0
3,8,3455.0,-14.07370288076993,-13.018309487526405,Optimal (tolerance reached),657,20,0,0
3,8,3667.0,-14.07370288076993,-13.018309487526405,Optimal (tolerance reached),696,21,0,0
3,8,3837.0,-14.056196994327614,-13.018309487526405,Optimal (tolerance reached),726,22,0,0
3,8,4040.0,-14.056196994327614,-13.018309487526405,Optimal (tolerance reached),764,23,0,0
3,8,4214.0,-14.054925823233361,-13.018309487526405,Optimal (tolerance reached),795,24,0,0
3,8,4426.0,-14.054925823233361,-13.018309487526405,Optimal (tolerance reached),834,25,0,0
3,8,4607.0,-14.036383247239344,-13.018309487526405,Optimal (tolerance reached),869,26,0,0
3,8,4856.0,-14.036383247239344,-13.018309487526405,Optimal (tolerance reached),915,27,0,0
3,8,5004.0,-14.018002317733993,-13.018309487526405,Optimal (tolerance reached),943,28,0,0
3,8,5178.0,-14.018002317733993,-13.018309487526405,Optimal (tolerance reached),977,29,0,0
3,8,5351.0,-13.998507614913317,-13.018309487526405,Optimal (tolerance reached),1009,30,0,0
3,8,5542.0,-13.998507614913317,-13.018309487526405,Optimal (tolerance reached),1046,31,0,0
3,8,5757.0,-13.978143465271556,-13.018309487526405,Optimal (tolerance reached),1085,32,0,0
3,8,5948.0,-13.978143465271556,-13.018309487526405,Optimal (tolerance reached),1120,33,0,0
3,8,6097.0,-13.959381581614466,-13.018309810222583,Optimal (tolerance reached),1148,34,0,0
3,8,6336.0,-13.959381581614466,-13.018309810222583,Optimal (tolerance reached),1191,35,0,0
3,8,6501.0,-13.941315018286005,-13.018309810222583,Optimal (tolerance reached),1224,36,0,0
3,8,6705.0,-13.941315018286005,-13.018309810222583,Optimal (tolerance reached),1262,37,0,0
3,8,6881.0,-13.922460006222925,-13.018309810222583,Optimal (tolerance reached),1295,38,0,0
3,8,7103.0,-13.922460006222925,-13.018309810222583,Optimal (tolerance reached),1338,39,0,0
3,8,7311.0,-13.920428035944223,-13.018309810222583,Optimal (tolerance reached),1377,40,0,0
3,8,7523.0,-13.920428035944223,-13.018309810222583,Optimal (tolerance reached),1414,41,0,0
3,8,7738.0,-13.90291761044245,-13.018309810222583,Optimal (tolerance reached),1454,42,0,0
3,8,7930.0,-13.90291761044245,-13.018309810222583,Optimal (tolerance reached),1492,43,0,0
3,8,8091.0,-13.900526897270508,-13.018309810222583,Optimal (tolerance reached),1520,44,0,0
3,8,8279.0,-13.900526897270508,-13.018309810222583,Optimal (tolerance reached),1555,45,0,0
3,8,8452.0,-13.885507050202097,-13.018309810222583,Optimal (tolerance reached),1585,46,0,0
3,8,8648.0,-13.885507050202097,-13.018309810222583,Optimal (tolerance reached),1620,47,0,0
3,8,8823.0,-13.881219880472287,-13.018309810222583,Optimal (tolerance reached),1653,48,0,0
3,8,9000.0,-13.881219880472287,-13.018309810222583,Optimal (tolerance reached),1685,49,0,0
3,8,9186.0,-13.865960203283617,-13.018309810222583,Optimal (tolerance reached),1720,50,0,0
3,8,9342.0,-13.865960203283617,-13.018309810222583,Optimal (tolerance reached),1751,51,0,0
3,8,9568.0,-13.863048868748798,-13.018309810222583,Optimal (tolerance reached),1791,52,0,0
3,8,9801.0,-13.863048868748798,-13.018309810222583,Optimal (tolerance reached),1830,53,0,0
3,8,9962.0,-13.85755705759559,-13.018309810222583,Optimal (tolerance reached),1860,54,0,0
3,8,10136.0,-13.85755705759559,-13.018309810222583,Optimal (tolerance reached),1892,55,0,0
3,8,10348.0,-13.844579285453571,-13.018309810222583,Optimal (tolerance reached),1932,56,0,0
3,8,10530.0,-13.844579285453571,-13.018309810222583,Optimal (tolerance reached),1967,57,0,0
3,8,10709.0,-13.843723740419112,-13.018309810222583,Optimal (tolerance reached),2003,58,0,0
3,8,10883.0,-13.843723740419112,-13.018309810222583,Optimal (tolerance reached),2036,59,0,0
3,8,11061.0,-13.838051037555095,-13.018309810222583,Optimal (tolerance reached),2069,60,0,0
3,8,11252.0,-13.838051037555095,-13.018309810222583,Optimal (tolerance reached),2104,61,0,0
3,8,11457.0,-13.825222089493549,-13.018309810222583,Optimal (tolerance reached),2143,62,0,0
3,8,11644.0,-13.825222089493549,-13.018309810222583,Optimal (tolerance reached),2176,63,0,0
3,8,11814.0,-13.820059661739732,-13.018309810222583,Optimal (tolerance reached),2209,64,0,0
3,8,12049.0,-13.820059661739732,-13.018309810222583,Optimal (tolerance reached),2248,65,0,0
3,8,12273.0,-13.806992552451797,-13.018309810222583,Optimal (tolerance reached),2291,66,0,0
3,8,12484.0,-13.806992552451797,-13.018309810222583,Optimal (tolerance reached),2330,67,0,0
3,8,12731.0,-13.80202817608815,-13.018309810222583,Optimal (tolerance reached),2374,68,0,0
3,8,12905.0,-13.80202817608815,-13.018309810222583,Optimal (tolerance reached),2404,69,0,0
3,8,13121.0,-13.800430915844451,-13.018309810222583,Optimal (tolerance reached),2443,70,0,0
3,8,13284.0,-13.800430915844451,-13.018309810222583,Optimal (tolerance reached),2469,71,0,0
3,8,13480.0,-13.787416372651009,-13.018309810222583,Optimal (tolerance reached),2508,72,0,0
3,8,13717.0,-13.787416372651009,-13.018309810222583,Optimal (tolerance reached),2552,73,0,0
3,8,13955.0,-13.78197120621779,-13.018309810222583,Optimal (tolerance reached),2598,74,0,0
3,8,14152.0,-13.78197120621779,-13.018309810222583,Optimal (tolerance reached),2637,75,0,0
3,8,14375.0,-13.78012680644887,-13.018309810222583,Optimal (tolerance reached),2676,76,0,0
3,8,14512.0,-13.78012680644887,-13.018309810222583,Optimal (tolerance reached),2702,77,0,0
3,8,14710.0,-13.7641063218444,-13.018309810222583,Optimal (tolerance reached),2741,78,0,0
3,8,14903.0,-13.7641063218444,-13.018309810222583,Optimal (tolerance reached),2780,79,0,0
3,8,15134.0,-13.760735435785305,-13.018309810222583,Optimal (tolerance reached),2825,80,0,0
3,8,15317.0,-13.760735435785305,-13.018309810222583,Optimal (tolerance reached),2858,81,0,0
3,8,15554.0,-13.751024767375887,-13.018309810222583,Optimal (tolerance reached),2902,82,0,0
3,8,15739.0,-13.751024767375887,-13.018309810222583,Optimal (tolerance reached),2937,83,0,0
3,8,15913.0,-13.744763176723561,-13.018309810222583,Optimal (tolerance reached),2971,84,0,0
3,8,16106.0,-13.744763176723561,-13.018309810222583,Optimal (tolerance reached),3005,85,0,0
3,8,16294.0,-13.741541409389251,-13.018309810222583,Optimal (tolerance reached),3037,86,0,0
3,8,16478.0,-13.741541409389251,-13.018309810222583,Optimal (tolerance reached),3071,87,0,0
3,8,16666.0,-13.738263492482163,-13.018309810222583,Optimal (tolerance reached),3103,88,0,0
3,8,16907.0,-13.738263492482163,-13.018309810222583,Optimal (tolerance reached),3149,89,0,0
3,8,17127.0,-13.731697143143506,-13.018309810222583,Optimal (tolerance reached),3188,90,0,0
3,8,17321.0,-13.731697143143506,-13.018309810222583,Optimal (tolerance reached),3222,91,0,0
3,8,17520.0,-13.723763164667622,-13.018309810222583,Optimal (tolerance reached),3261,92,0,0
3,8,17703.0,-13.723763164667622,-13.018309810222583,Optimal (tolerance reached),3293,93,0,0
3,8,17924.0,-13.7230228545488,-13.018309810222583,Optimal (tolerance reached),3334,94,0,0
3,8,18115.0,-13.7230228545488,-13.018309810222583,Optimal (tolerance reached),3365,95,0,0
3,8,18296.0,-13.718869195211768,-13.018309810222583,Optimal (tolerance reached),3402,96,0,0
3,8,18515.0,-13.718869195211768,-13.018309810222583,Optimal (tolerance reached),3442,97,0,0
3,8,18718.0,-13.713061579051388,-13.018309810222583,Optimal (tolerance reached),3479,98,0,0
3,8,18922.0,-13.713061579051388,-13.018309810222583,Optimal (tolerance reached),3517,99,0,0
3,8,19129.0,-13.7039302332753,-13.018309810222583,Optimal (tolerance reached),3554,100,0,0
3,8,19327.0,-13.7039302332753,-13.018309810222583,Optimal (tolerance reached),3590,101,0,0
3,8,19550.0,-13.700664488232983,-13.018309810222583,Optimal (tolerance reached),3631,102,0,0
