seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
4,16,80,4.0,143.0,3.195157455253513,3.5972405325105408,OPTIMAL,37,2,0,61
4,16,80,4.0,301.0,3.195157455253513,3.5972405325105408,OPTIMAL,73,3,0,0
4,16,80,4.0,391.0,3.2330610862430835,3.5972405325105408,OPTIMAL,94,4,0,0
4,16,80,4.0,513.0,3.2330610862430835,3.5972405325105408,OPTIMAL,119,5,0,0
4,16,80,4.0,639.0,3.265329079034964,3.5972405325105408,OPTIMAL,150,6,0,0
4,16,80,4.0,758.0,3.265329079034964,3.5972405325105408,OPTIMAL,175,7,0,0
4,16,80,4.0,865.0,3.2996822023894605,3.5972405325105408,OPTIMAL,201,8,0,0
4,16,80,4.0,961.0,3.2996822023894605,3.5972405325105408,OPTIMAL,224,9,0,0
4,16,80,4.0,1104.0,3.3074484318116952,3.5972405325105408,OPTIMAL,256,10,0,0
4,16,80,4.0,1198.0,3.3074484318116952,3.5972405325105408,OPTIMAL,277,11,0,0
4,16,80,4.0,1282.0,3.333221976828292,3.5972405325105408,OPTIMAL,296,12,0,0
4,16,80,4.0,1373.0,3.333221976828292,3.5972405325105408,OPTIMAL,320,13,0,0
4,16,80,4.0,1469.0,3.3355149620274926,3.5972405325105408,OPTIMAL,342,14,0,0
4,16,80,4.0,1602.0,3.3355149620274926,3.5972405325105408,OPTIMAL,368,15,0,0
4,16,80,4.0,1730.0,3.3603694616159685,3.5972405325105408,OPTIMAL,397,16,0,0
4,16,80,4.0,1853.0,3.3603694616159685,3.5972405325105408,OPTIMAL,424,17,0,0
4,16,80,4.0,1938.0,3.368325818654218,3.5972405325105408,OPTIMAL,442,18,0,0
4,16,80,4.0,2017.0,3.368325818654218,3.5972405325105408,OPTIMAL,461,19,0,0
4,16,80,4.0,2106.0,3.3709142435318538,3.5972405325105408,OPTIMAL,485,20,0,0
4,16,80,4.0,2225.0,3.3709142435318538,3.5972405325105408,OPTIMAL,514,21,0,0
4,16,80,4.0,2393.0,3.3847812304855647,3.5972405325105408,OPTIMAL,554,22,0,0
4,16,80,4.0,2484.0,3.3847812304855647,3.5972405325105408,OPTIMAL,577,23,0,0
4,16,80,4.0,2571.0,3.390362885073792,3.5972405325105408,OPTIMAL,598,24,0,0
4,16,80,4.0,2672.0,3.390362885073792,3.5972405325105408,OPTIMAL,620,25,0,0
4,16,80,4.0,2765.0,3.3925404787431317,3.5972405325105408,OPTIMAL,640,26,0,0
4,16,80,4.0,2872.0,3.3925404787431317,3.5972405325105408,OPTIMAL,664,27,0,0
4,16,80,4.0,2953.0,3.394521010295358,3.5972405325105408,OPTIMAL,685,28,0,0
4,16,80,4.0,3124.0,3.394521010295358,3.5972405325105408,OPTIMAL,723,29,0,0
4,16,80,4.0,3293.0,3.4075967600529364,3.5972405325105408,OPTIMAL,759,30,0,0
4,16,80,4.0,3414.0,3.4075967600529364,3.5972405325105408,OPTIMAL,789,31,0,0
4,16,80,4.0,3496.0,3.409243920871809,3.5972405325105408,OPTIMAL,810,32,0,0
4,16,80,4.0,3622.0,3.409243920871809,3.5972405325105408,OPTIMAL,836,33,0,0
4,16,80,4.0,3717.0,3.4150274393703697,3.5972405325105408,OPTIMAL,859,34,0,0
4,16,80,4.0,3824.0,3.4150274393703697,3.5972405325105408,OPTIMAL,884,35,0,0
4,16,80,4.0,3908.0,3.416220465814255,3.5972405325105408,OPTIMAL,906,36,0,0
4,16,80,4.0,4054.0,3.416220465814255,3.5972405325105408,OPTIMAL,936,37,0,0
4,16,80,4.0,4213.0,3.422688997591667,3.5972405325105408,OPTIMAL,973,38,0,0
4,16,80,4.0,4331.0,3.422688997591667,3.5972405325105408,OPTIMAL,1001,39,0,0
4,16,80,4.0,4416.0,3.4272682168151025,3.5972405325105408,OPTIMAL,1021,40,0,0
4,16,80,4.0,4527.0,3.4272682168151025,3.5972405325105408,OPTIMAL,1045,41,0,0
4,16,80,4.0,4612.0,3.428450923004266,3.5972405325105408,OPTIMAL,1067,40,0,0
4,16,80,4.0,4710.0,3.428450923004266,3.5972405325105408,OPTIMAL,1089,41,0,0
4,16,80,4.0,4811.0,3.434483426894576,3.5972405325105408,OPTIMAL,1116,40,0,0
4,16,80,4.0,4932.0,3.434483426894576,3.5972405325105408,OPTIMAL,1142,41,0,0
4,16,80,4.0,5002.0,3.439053908169814,3.5972405325105408,OPTIMAL,1161,40,0,0
4,16,80,4.0,5141.0,3.439053908169814,3.5972405325105408,OPTIMAL,1189,41,0,0
4,16,80,4.0,5306.0,3.4403034584627097,3.5972405325105408,OPTIMAL,1227,42,0,0
4,16,80,4.0,5418.0,3.4403034584627097,3.5972405325105408,OPTIMAL,1251,43,0,0
4,16,80,4.0,5481.0,3.4444446612643307,3.5972405325105408,OPTIMAL,1268,42,0,0
4,16,80,4.0,5592.0,3.4444446612643307,3.5972405325105408,OPTIMAL,1293,43,0,0
