seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
8,30,5749.0,-0.7464827043346426,6.811805195773367,OPTIMAL,51,7,7,23,14
8,30,6853.0,-0.7464827043346426,6.811805195773367,OPTIMAL,60,5,0,20,14
8,30,7058.0,-0.6785950213170558,6.811805195773367,OPTIMAL,110,8,0,24,7
8,30,7122.0,-0.6785950213170558,6.811805195773367,OPTIMAL,142,5,0,19,27
8,30,7256.0,-0.3670891020667932,6.811805195773367,OPTIMAL,182,12,0,16,8
8,30,7289.0,-0.3670891020667932,6.811805195773367,OPTIMAL,201,4,0,16,33
8,30,7410.0,-0.3314752986339034,6.811805195773367,OPTIMAL,243,13,0,13,4
8,30,7430.0,-0.3314752986339034,6.811805195773367,OPTIMAL,256,5,0,15,34
8,30,7548.0,-0.22751559754164377,6.811805195773367,OPTIMAL,294,13,0,17,2
8,30,7571.0,-0.22751559754164377,6.811805195773367,OPTIMAL,314,2,0,18,38
8,30,7666.0,-0.10289061956814999,6.811805195773367,OPTIMAL,346,12,0,14,1
8,30,7676.0,-0.10289061956814999,6.811805195773367,OPTIMAL,354,3,0,16,34
8,30,7794.0,-0.052091378566575086,6.811805195773367,OPTIMAL,389,11,0,15,3
8,30,7810.0,-0.052091378566575086,6.811805195773367,OPTIMAL,401,2,0,18,29
8,30,7878.0,0.0067894060371097575,6.811805195773367,OPTIMAL,425,12,0,14,3
8,30,7887.0,0.0067894060371097575,6.811805195773367,OPTIMAL,432,3,0,16,25
8,30,7935.0,0.12908162404520723,6.811805195773367,OPTIMAL,461,12,0,9,2
8,30,7949.0,0.12908162404520723,6.811805195773367,OPTIMAL,471,3,0,16,25
8,30,8016.0,0.18160874980992442,6.811805195773367,OPTIMAL,503,11,0,9,0
8,30,8053.0,0.18160874980992442,6.811805195773367,OPTIMAL,513,1,0,16,23
8,30,8131.0,0.26923374542448364,6.811805195773367,OPTIMAL,546,9,0,15,1
8,30,8141.0,0.26923374542448364,6.811805195773367,OPTIMAL,553,1,0,15,19
8,30,8173.0,0.40398575097266676,6.811805195773367,OPTIMAL,575,9,0,13,3
8,30,8184.0,0.40398575097266676,6.811805195773367,OPTIMAL,583,1,0,14,18
8,30,8213.0,0.5875910805058665,6.811805195773367,OPTIMAL,601,11,0,10,3
8,30,8223.0,0.5875910805058665,6.811805195773367,OPTIMAL,609,0,0,15,17
8,30,8241.0,0.6443756389257724,6.811805195773367,OPTIMAL,625,12,0,7,2
8,30,8252.0,0.6443756389257724,6.811805195773367,OPTIMAL,635,0,0,15,16
8,30,8282.0,0.7235689283229698,6.811805195773367,OPTIMAL,652,9,0,9,2
8,30,8360.0,0.7235689283229698,6.811805195773367,OPTIMAL,683,7,0,27,9
8,30,8450.0,0.7335102026511193,6.811805195773367,OPTIMAL,744,11,0,20,12
8,30,8458.0,0.7335102026511193,6.811805195773367,OPTIMAL,751,1,0,13,15
