seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
6,90,6186.0,-5.373476985769667,2.9337210365284268,OPTIMAL,79,19,19,55,9
6,90,7582.0,-5.373476985769667,1.8341427425437191,OPTIMAL,107,11,0,58,26
6,90,7738.0,-5.373476985769667,1.8341427425437191,OPTIMAL,197,17,0,57,24
6,90,7921.0,-5.373476985769667,1.2691510745190078,OPTIMAL,217,13,0,59,31
6,90,8049.0,-2.6775215115180635,1.2691510745190078,OPTIMAL,291,18,0,51,16
6,90,8275.0,-2.6775215115180635,1.107319516424115,OPTIMAL,311,10,0,64,38
6,90,8461.0,-2.6775215115180635,1.107319516424115,OPTIMAL,392,8,0,52,21
6,90,8543.0,-2.6775215115180635,1.107319516424115,OPTIMAL,420,21,0,58,33
6,90,8755.0,-2.6775215115180635,1.107319516424115,OPTIMAL,528,6,0,49,43
6,90,8813.0,-2.6775215115180635,1.107319516424115,OPTIMAL,550,18,0,50,54
6,90,9005.0,-1.9015757332265624,1.107319516424115,OPTIMAL,648,17,0,46,41
6,90,9246.0,-1.9015757332265624,1.107319516424115,OPTIMAL,670,4,0,62,54
6,90,9422.0,-1.598057775762927,1.107319516424115,OPTIMAL,764,18,0,45,41
6,90,9602.0,-1.598057775762927,0.7070137060821792,OPTIMAL,777,1,0,63,56
6,90,9822.0,-1.598057775762927,0.7070137060821792,OPTIMAL,871,12,0,47,23
6,90,10056.0,-1.598057775762927,0.33102447093996434,OPTIMAL,897,1,0,61,74
6,90,10286.0,-1.598057775762927,0.33102447093996434,OPTIMAL,1005,8,0,47,45
6,90,10452.0,-1.598057775762927,0.11449824639349149,OPTIMAL,1019,6,0,62,76
6,90,10632.0,-1.598057775762927,0.11449824639349149,OPTIMAL,1124,18,0,45,50
6,90,10679.0,-1.598057775762927,0.11449824639349149,OPTIMAL,1142,13,0,48,52
6,90,10819.0,-0.7889756323019015,0.11449824639349149,OPTIMAL,1232,7,0,42,42
6,90,10985.0,-0.7889756323019015,0.11449824639349149,OPTIMAL,1246,1,0,63,80
6,90,11172.0,-0.7889756323019015,0.11449824639349149,OPTIMAL,1341,14,0,75,9
