dimension,timeBoscia,terminationBoscia,relGapBoscia,timeScip,terminationScip,relGapScip,timeIpopt,terminationIpopt,relGapIpopt,timeNoWs,terminationNoWs,relGapNoWs,timeNoAs,terminationNoAs,relGapNoAs,timeNoSs,terminationNoSs,relGapNoSs,timeAfw,terminationAfw,relGapAfw,optimalBoscia,optimalIpopt,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,terminationIpoptRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection,BosciaGeoMeanIntersectionSolvers,ScipGeoMeanIntersectionSolvers,IpoptGeoMeanIntersectionSolvers
20,5,10,1.0,10,10,1.0,2,10,1.0,6,10,1.0,6,10,1.0,6,10,1.0,7,10,1.0,10.0,10.0,10.0,10,100,100,100,100,100,100,100,5,6,6,6,7,5,10,2
25,25,10,1.0,183,8,1.0,3,10,1.0,28,10,1.0,28,10,1.0,28,10,1.0,31,10,1.0,10.0,10.0,9.0,10,100,80,100,100,100,100,100,25,28,28,28,31,23,142,3
30,40,10,1.0,266,7,1.0,4,10,1.0,43,10,1.0,45,10,1.0,42,10,1.0,46,10,1.0,10.0,10.0,8.0,10,100,70,100,100,100,100,100,40,43,45,42,46,27,165,2
35,45,10,1.0,891,4,1.0,5,10,1.0,49,10,1.0,46,10,1.0,45,10,1.0,58,10,1.0,10.0,10.0,8.0,10,100,40,100,100,100,100,100,45,49,46,45,58,46,748,4
40,205,9,1.0,1729,1,20.0,13,10,1.0,215,9,1.0,222,9,1.0,208,9,1.0,219,9,1.0,10.0,9.0,3.0,10,90,10,90,90,90,90,100,161,170,176,164,173,97,1574,5
45,253,9,3.0,1663,1,38.0,12,10,3.0,288,9,3.0,277,9,3.0,254,9,2.0,255,9,4.0,10.0,9.0,3.0,10,90,10,90,90,90,90,100,203,234,225,205,205,53,1382,3
50,185,9,9.0,1800,0,50.0,10,10,9.0,218,9,9.0,212,9,10.0,202,9,9.0,182,9,11.0,10.0,9.0,1.0,10,90,0,90,90,90,90,100,144,172,167,158,141,172,1800,10
55,267,8,59.0,1800,0,34.0,20,9,1.0,304,8,46.0,302,8,53.0,276,8,53.0,274,8,43.0,10.0,8.0,1.0,10,80,0,80,80,80,80,90,165,195,193,173,171,382,1800,11
60,582,6,92.0,1800,0,179.0,48,9,80.0,649,6,119.0,627,6,124.0,594,6,96.0,567,6,83.0,10.0,6.0,0.0,10,60,0,60,60,60,60,90,274,329,311,284,263,-,-,-
65,502,8,83.0,1800,0,40.0,41,9,1.0,620,8,66.0,607,8,64.0,491,8,81.0,453,8,40.0,10.0,8.0,0.0,10,80,0,80,80,80,80,90,365,475,463,355,321,-,-,-
70,1010,7,44.0,1800,0,794.0,78,9,14.0,1142,6,53.0,1170,6,67.0,983,7,42.0,875,7,59.0,10.0,7.0,0.0,10,70,0,60,60,70,70,90,728,843,877,718,638,-,-,-
75,714,7,75.0,1800,0,38.0,60,9,1.0,876,6,32.0,833,7,33.0,685,8,76.0,585,8,851.0,10.0,7.0,0.0,10,70,0,60,70,80,80,90,416,542,506,410,340,-,-,-
80,933,7,83.0,1800,0,39.0,114,8,1.0,1090,7,194.0,1038,6,281.0,893,7,99.0,770,7,81.0,10.0,7.0,0.0,10,70,0,70,60,70,70,80,621,789,719,586,488,-,-,-
85,846,9,34.0,1800,0,86.0,53,10,34.0,1017,6,377.0,1021,6,47.0,802,8,26.0,646,9,18.0,10.0,9.0,0.0,10,90,0,60,60,80,90,100,545,695,700,518,433,-,-,-
90,1083,5,66.0,1800,0,348.0,132,8,35.0,1327,3,122.0,1313,3,132.0,1078,5,62.0,926,6,56.0,10.0,5.0,0.0,10,50,0,30,30,50,60,80,505,651,628,456,390,-,-,-
95,1505,3,294.0,1800,0,Inf,276,7,129.0,1597,2,493.0,1601,2,576.0,1537,2,729.0,1355,4,284.0,10.0,3.0,0.0,10,30,0,20,20,20,40,70,832,990,1003,816,610,-,-,-
100,814,1,212.0,1800,0,Inf,226,8,153.0,825,1,879.0,820,1,1097.0,823,1,243.0,917,1,502.0,10.0,0.0,0.0,10,10,0,10,10,10,10,80,1,1,1,1,2,-,-,-
105,1800,0,356.0,1800,0,Inf,77,10,368.0,1780,1,1132.0,1774,1,745.0,1767,1,122.0,1690,2,158.0,10.0,0.0,0.0,10,0,0,10,10,10,20,100,-,-,-,-,-,-,-,-
110,1800,0,172.0,1800,0,Inf,159,9,97.0,1800,0,1387.0,1800,0,1170.0,1800,0,166.0,1800,0,130.0,10.0,0.0,0.0,10,0,0,0,0,0,0,90,-,-,-,-,-,-,-,-
115,1800,0,143.0,1800,0,Inf,180,9,136.0,1800,0,1010.0,1800,0,4909.0,1800,0,119.0,1800,0,119.0,10.0,0.0,0.0,10,0,0,0,0,0,0,90,-,-,-,-,-,-,-,-
120,1800,0,1511.0,1800,0,Inf,257,8,1108.0,1800,0,921.0,1800,0,997.0,1800,0,6807.0,1800,0,440.0,10.0,0.0,0.0,10,0,0,0,0,0,0,80,-,-,-,-,-,-,-,-
