seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,3549,1013.0,-2.529660557883235,Inf,Optimal
1,8,3549,1043.0,-2.529660557883235,Inf,Optimal
1,8,3549,1060.0,-2.366847220236459,Inf,Optimal
1,8,3549,1077.0,-2.366847220236459,Inf,Optimal
1,8,3549,1094.0,-2.332439269893776,Inf,Optimal
1,8,3549,1110.0,-2.332439269893776,Inf,Optimal
1,8,3549,1126.0,-2.3098150929709726,Inf,Optimal
1,8,3549,1143.0,-2.3098150929709726,Inf,Optimal
1,8,3549,1159.0,-2.275407143022931,Inf,Optimal
1,8,3549,1175.0,-2.275407143022931,Inf,Optimal
1,8,3549,1191.0,-2.217262914891268,Inf,Optimal
1,8,3549,1207.0,-2.217262914891268,Inf,Optimal
1,8,3549,1224.0,-2.182855078318691,Inf,Optimal
1,8,3549,1240.0,-2.182855078318691,Inf,Optimal
1,8,3549,1256.0,-2.095228414648545,Inf,Optimal
1,8,3549,1273.0,-2.095228414648545,Inf,Optimal
1,8,3549,1289.0,-2.0608205243405227,Inf,Optimal
1,8,3549,1305.0,-2.0608205243405227,Inf,Optimal
1,8,3549,1320.0,-2.0329618963093834,Inf,Optimal
1,8,3549,1336.0,-2.0329618963093834,Inf,Optimal
1,8,3549,1353.0,-2.014560265187441,Inf,Optimal
1,8,3549,1370.0,-2.014560265187441,Inf,Optimal
1,8,3549,1386.0,-1.998554005774108,Inf,Optimal
1,8,3549,1402.0,-1.998554005774108,Inf,Optimal
1,8,3549,1418.0,-1.996230044705918,Inf,Optimal
1,8,3549,1434.0,-1.996230044705918,Inf,Optimal
1,8,3549,1451.0,-1.9801523743192513,Inf,Optimal
1,8,3549,1467.0,-1.9801523743192513,Inf,Optimal
1,8,3549,1486.0,-1.968997080507708,Inf,Optimal
1,8,3549,1502.0,-1.968997080507708,Inf,Optimal
1,8,3549,1519.0,-1.9618222071971496,Inf,Optimal
1,8,3549,1535.0,-1.9618222071971496,Inf,Optimal
1,8,3549,1551.0,-1.9345891901925008,Inf,Optimal
1,8,3549,1567.0,-1.9345891901925008,Inf,Optimal
1,8,3549,1583.0,-1.9067305624759268,Inf,Optimal
