seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
5,20,1835.0,-10.607520829372447,92.87541739058788,OPTIMAL,26,3,0,13,4
5,20,3287.0,-10.607520829372447,-9.361043960053648,OPTIMAL,55,2,0,13,17
5,20,3510.0,-10.423174615104212,-9.361043960053648,OPTIMAL,80,5,0,10,1
5,20,4039.0,-10.423174615104212,-9.518173438085164,OPTIMAL,104,1,0,10,10
5,20,4951.0,-10.383465061077121,-9.518173438085164,OPTIMAL,137,5,0,8,6
5,20,5256.0,-10.383465061077121,-9.518173438085164,OPTIMAL,150,5,0,13,5
5,20,5905.0,-10.328980836724131,-9.518173438085164,OPTIMAL,191,5,0,15,4
5,20,6314.0,-10.328980836724131,-9.518173438085164,OPTIMAL,225,3,0,14,7
5,20,6866.0,-10.322713218860079,-9.518173438085164,OPTIMAL,258,3,0,13,6
5,20,7018.0,-10.322713218860079,-9.518173438085164,OPTIMAL,287,1,0,12,3
5,20,7385.0,-10.287280853896108,-9.518173438085164,OPTIMAL,322,4,0,12,5
5,20,8465.0,-10.287280853896108,-9.518173438085164,OPTIMAL,342,0,0,10,7
5,20,9342.0,-10.244806438989077,-9.518173438085164,OPTIMAL,371,7,0,10,3
5,20,10037.0,-10.244806438989077,-9.518173438085164,OPTIMAL,389,6,0,11,5
5,20,10398.0,-10.244806438989077,-9.518173438085164,OPTIMAL,419,1,0,11,11
5,20,10655.0,-10.244806438989077,-9.518173438085164,OPTIMAL,442,5,0,10,2
5,20,11063.0,-10.168007299020415,-9.518173438085164,OPTIMAL,472,6,0,9,4
5,20,11138.0,-10.168007299020415,-9.518173438085164,OPTIMAL,505,3,0,14,3
5,20,11214.0,-10.14799800593579,-9.518173438085164,OPTIMAL,523,3,0,10,3
5,20,12190.0,-10.14799800593579,-9.518173438085164,OPTIMAL,536,1,0,11,9
5,20,12615.0,-10.119714521993988,-9.518173438085164,OPTIMAL,566,2,0,11,7
5,20,12805.0,-10.119714521993988,-9.518173438085164,OPTIMAL,577,4,0,9,7
5,20,13388.0,-10.087501588470793,-9.518173438085164,OPTIMAL,608,2,0,9,8
5,20,13832.0,-10.087501588470793,-9.518173438085164,OPTIMAL,625,1,0,13,11
5,20,14055.0,-10.083882968898827,-9.518173438085164,OPTIMAL,652,4,0,8,6
5,20,14299.0,-10.083882968898827,-9.518173438085164,OPTIMAL,677,3,0,12,2
5,20,14642.0,-10.077953404656983,-9.518173438085164,OPTIMAL,707,0,0,9,8
5,20,15131.0,-10.077953404656983,-9.518173438085164,OPTIMAL,718,0,0,10,2
5,20,15467.0,-10.057930885554342,-9.518173438085164,OPTIMAL,743,3,0,9,3
5,20,15770.0,-10.057930885554342,-9.518173438085164,OPTIMAL,777,2,0,8,9
5,20,16297.0,-10.04964010869799,-9.518173438085164,OPTIMAL,812,3,0,9,11
5,20,16544.0,-10.04964010869799,-9.518173438085164,OPTIMAL,824,0,0,10,8
5,20,17319.0,-10.04964010869799,-9.518173438085164,OPTIMAL,853,0,0,10,7
5,20,17970.0,-10.04964010869799,-9.518173438085164,OPTIMAL,882,2,0,9,4
5,20,18374.0,-10.04964010869799,-9.518173438085164,OPTIMAL,913,2,0,8,7
5,20,18739.0,-10.04964010869799,-9.518173438085164,OPTIMAL,940,5,0,10,5
5,20,19350.0,-10.037541738143059,-9.518173438085164,OPTIMAL,968,4,0,7,4
5,20,19546.0,-10.037541738143059,-9.518173438085164,OPTIMAL,995,2,0,11,5
5,20,19733.0,-10.034015729335296,-9.518173438085164,OPTIMAL,1026,4,0,8,4
5,20,20067.0,-10.034015729335296,-9.518173438085164,OPTIMAL,1046,0,0,17,10
5,20,20301.0,-10.032574130827495,-9.518173438085164,OPTIMAL,1075,4,0,12,4
5,20,20437.0,-10.032574130827495,-9.518173438085164,OPTIMAL,1090,4,0,8,10
5,20,20657.0,-10.000027280693681,-9.518173438085164,OPTIMAL,1115,2,0,10,1
