seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,18,90,4.0,137.0,2.301823427213138,2.5444467333794374,OPTIMAL,32,2,0,0
1,18,90,4.0,256.0,2.301823427213138,2.5444467333794374,OPTIMAL,50,3,74,0
1,18,90,4.0,412.0,2.3324211353427824,2.5444467333794374,OPTIMAL,74,4,76,0
1,18,90,4.0,541.0,2.3324211353427824,2.5444467333794374,OPTIMAL,93,5,0,0
1,18,90,4.0,651.0,2.3460705152678227,2.5444467333794374,OPTIMAL,112,6,0,0
1,18,90,4.0,740.0,2.3460705152678227,2.5444467333794374,OPTIMAL,127,7,0,0
1,18,90,4.0,842.0,2.3670211847396523,2.5444467333794374,OPTIMAL,144,8,1,0
1,18,90,4.0,945.0,2.3670211847396523,2.5444467333794374,OPTIMAL,161,9,0,0
1,18,90,4.0,1047.0,2.3769646724971842,2.5444467333794374,OPTIMAL,179,10,1,0
1,18,90,4.0,1158.0,2.3769646724971842,2.5444467333794374,OPTIMAL,198,11,0,0
1,18,90,4.0,1244.0,2.379396627072331,2.5444467333794374,OPTIMAL,219,12,0,0
1,18,90,4.0,1285.0,2.379396627072331,2.5444467333794374,OPTIMAL,232,13,0,0
1,18,90,4.0,1333.0,2.3927870286681947,2.5444467333794374,OPTIMAL,251,14,3,0
1,18,90,4.0,1419.0,2.3927870286681947,2.5444467333794374,OPTIMAL,266,15,0,0
1,18,90,4.0,1504.0,2.4054844563768834,2.5444467333794374,OPTIMAL,281,16,2,0
1,18,90,4.0,1629.0,2.4054844563768834,2.5444467333794374,OPTIMAL,302,17,0,0
1,18,90,4.0,1782.0,2.406053813322566,2.5444467333794374,OPTIMAL,327,18,0,0
1,18,90,4.0,1875.0,2.406053813322566,2.5444467333794374,OPTIMAL,343,19,0,0
1,18,90,4.0,2015.0,2.4061529760869185,2.5444467333794374,OPTIMAL,364,20,2,0
1,18,90,4.0,2098.0,2.4061529760869185,2.5444467333794374,OPTIMAL,378,21,0,0
1,18,90,4.0,2157.0,2.410753228390616,2.5444467333794374,OPTIMAL,395,22,0,0
1,18,90,4.0,2235.0,2.410753228390616,2.5444467333794374,OPTIMAL,411,23,0,0
1,18,90,4.0,2346.0,2.411084163934362,2.5444467333794374,OPTIMAL,429,24,1,0
1,18,90,4.0,2450.0,2.411084163934362,2.5444467333794374,OPTIMAL,446,25,0,0
1,18,90,4.0,2546.0,2.4211390763118317,2.5444467333794374,OPTIMAL,463,26,2,0
1,18,90,4.0,2595.0,2.4211390763118317,2.5444467333794374,OPTIMAL,479,27,0,0
1,18,90,4.0,2636.0,2.43070528644854,2.5444467333794374,OPTIMAL,494,28,2,0
1,18,90,4.0,2686.0,2.43070528644854,2.5444467333794374,OPTIMAL,506,29,0,0
1,18,90,4.0,2724.0,2.4321658108678417,2.5444467333794374,OPTIMAL,520,30,1,0
1,18,90,4.0,2795.0,2.4321658108678417,2.5444467333794374,OPTIMAL,532,31,0,0
1,18,90,4.0,2887.0,2.4356105849157292,2.5444467333794374,OPTIMAL,549,32,0,0
1,18,90,4.0,2966.0,2.4356105849157292,2.5444467333794374,OPTIMAL,563,33,0,0
1,18,90,4.0,3066.0,2.4362282635134167,2.5444467333794374,OPTIMAL,581,34,0,0
1,18,90,4.0,3153.0,2.4362282635134167,2.5444467333794374,OPTIMAL,595,35,0,0
1,18,90,4.0,3265.0,2.4370175146359556,2.5444467333794374,OPTIMAL,614,36,0,0
