time_boscia,seed,num_v,termination_boscia,solution_boscia,termination_afw,time_afw,afw_solution,termination_no_ws,time_no_ws,solution_no_ws,termination_no_as,time_no_as,solution_no_as,termination_no_ss,time_no_ss,solution_no_ss,termination_ipopt,time_ipopt,solution_ipopt,solution_scip,termination_scip,time_scip,optimal_scip,optimal_ipopt,optimal_boscia
2.994,1,4,1,-8728.550761759516,1,0.121,-8728.550761759516,1,0.09,-8728.550761759516,1,0.09,-8728.550761759516,1,0.09,-8728.550761759516,1,136.256,-8728.550803746315,-8731.998430216197,1,1.102239,1,1,1
0.164,2,4,1,-10639.628112737708,1,0.168,-10639.628112737708,1,0.16,-10639.628112737708,1,0.16,-10639.628112737708,1,0.16,-10639.628112737708,1,123.389,-10634.723438768204,-10640.609977503218,1,1.050006,1,1,1
0.089,3,4,1,-8733.371498838405,1,0.123,-8733.371498838405,1,0.083,-8733.371498838405,1,0.083,-8733.371498838405,1,0.083,-8733.371498838405,1,127.598,-8733.371754014399,-8733.371498838405,1,1.3184,1,1,1
0.098,1,5,1,-12164.174506409388,1,0.111,-12164.174506409388,1,0.111,-12164.174506409388,1,0.111,-12164.174506409388,1,0.111,-12164.174506409388,1,209.169,-12152.082372218581,-12164.174506409388,1,1.062851,1,1,1
0.107,2,5,1,12342.863873538061,1,0.147,12342.863873538061,1,0.158,12342.863873538061,1,0.158,12342.863873538061,1,0.158,12342.863873538061,1,20.815,12355.267574159145,12342.863873538061,1,0.735448,1,1,1
0.09,3,5,1,-25842.90294910671,1,0.105,-25842.90294910671,1,0.115,-25842.90294910671,1,0.115,-25842.90294910671,1,0.115,-25842.90294910671,1,155.824,-25807.552649161044,-25842.9029491067,1,1.8123719999999999,1,1,1
0.098,1,6,1,-19055.5550940589,1,0.112,-19055.5550940589,1,0.092,-19055.5550940589,1,0.092,-19055.5550940589,1,0.092,-19055.5550940589,1,138.919,-19040.887085678347,-19055.5550940589,1,0.7823289999999999,1,1,1
0.107,2,6,1,-21660.201383877356,1,0.129,-21660.201383877356,1,0.096,-21660.201383877356,1,0.096,-21660.201383877356,1,0.096,-21660.201383877356,1,212.227,-21641.53914954298,-21661.08218887372,1,1.7724579999999999,1,1,1
0.11,3,6,1,12605.054860879736,1,0.149,12605.054860879736,1,0.165,12605.054860879736,1,0.165,12605.054860879736,1,0.165,12605.054860879736,1,18.833,12620.634070447915,12605.054860879734,1,0.652756,1,1,1
0.096,1,7,1,-18525.8088696645,1,0.141,-18525.8088696645,1,0.094,-18525.8088696645,1,0.094,-18525.8088696645,1,0.094,-18525.8088696645,1,253.002,-18515.41677032785,-18525.808869664503,1,2.069637,1,1,1
0.109,2,7,1,-5114.645054518984,1,0.128,-5114.645054518984,1,0.117,-5114.645054518984,1,0.117,-5114.645054518984,1,0.117,-5114.645054518984,1,144.483,-5114.942177435412,-5114.942100596719,1,1.295974,1,1,1
0.093,3,7,1,-40220.7475551962,1,0.108,-40220.7475551962,1,0.112,-40220.7475551962,1,0.112,-40220.7475551962,1,0.112,-40220.7475551962,1,146.929,-40181.84049853735,-40220.7475551962,1,1.547243,1,1,1
0.099,1,8,1,-10736.706325443743,1,0.115,-10736.706325443743,1,0.093,-10736.706325443743,1,0.093,-10736.706325443743,1,0.093,-10736.706325443743,1,185.898,-10729.70368248284,-10737.56585979135,1,1.7738999999999998,1,1,1
0.109,2,8,1,-12843.37879915211,1,0.129,-12843.37879915211,1,0.098,-12843.37879915211,1,0.098,-12843.37879915211,1,0.098,-12843.37879915211,1,142.171,-12841.820139604504,-12844.878154576905,1,1.32914,1,1,1
0.107,3,8,1,24729.915103547384,1,0.146,24729.915103547384,1,0.142,24729.915103547384,1,0.142,24729.915103547384,1,0.142,24729.915103547384,1,22.354,24760.671562762145,24729.915103547384,1,0.604669,1,1,1
