time_boscia,seed,num_v,termination_boscia,solution_boscia,termination_afw,time_afw,afw_solution,termination_no_ws,time_no_ws,solution_no_ws,termination_no_as,time_no_as,solution_no_as,termination_no_ss,time_no_ss,solution_no_ss,termination_ipopt,time_ipopt,solution_ipopt,solution_scip,termination_scip,time_scip,optimal_scip,optimal_ipopt,optimal_boscia
58.635,1,4,1,-496.9002969752026,1,71.688,-496.9002969752026,1,80.628,-486.73062876289487,1,80.628,-486.73062876289487,1,80.628,-486.73062876289487,0,1800.079,Inf,-457.05290067839275,0,1800.00086,0,0,1
171.625,2,4,1,-504.33739039654085,1,159.519,-504.33739039654085,1,80.42,-495.94215241088,1,80.42,-495.94215241088,1,80.42,-495.94215241088,0,1800.315,Inf,-453.3205387849456,0,1800.210562,0,0,1
56.595,3,4,1,-500.99490891263304,1,69.834,-500.99490891263304,1,75.146,-498.8067467473449,1,75.146,-498.8067467473449,1,75.146,-498.8067467473449,0,1800.047,Inf,-445.33357549193335,0,1800.055167,0,0,1
171.557,1,5,1,-523.3854306110235,1,182.853,-523.3854306110235,1,85.427,-527.1405350432673,1,85.427,-527.1405350432673,1,85.427,-527.1405350432673,0,1800.195,Inf,70.2444916260178,0,1800.045992,0,0,1
203.895,2,5,1,-483.75700641436805,1,240.601,-483.75700641436805,1,202.957,-483.98119436801915,1,202.957,-483.98119436801915,1,202.957,-483.98119436801915,0,1800.633,Inf,70.07711007115682,0,1800.000777,0,0,1
57.799,3,5,1,-523.5145522650987,1,74.226,-523.5145522650987,1,344.59,-491.53486808832656,1,344.59,-491.53486808832656,1,344.59,-491.53486808832656,0,1800.147,Inf,70.28614186398303,0,1800.022957,0,0,1
66.353,1,6,1,-454.6798118413621,1,84.216,-454.6798118413621,1,332.671,-445.1219397331901,1,332.671,-445.1219397331901,1,332.671,-445.1219397331901,0,1800.542,Inf,84.3531006657595,0,1800.001061,0,0,1
70.275,2,6,1,-483.2098939161635,1,89.691,-483.2098939161635,1,80.365,-481.93276609841007,1,80.365,-481.93276609841007,1,80.365,-481.93276609841007,0,1800.171,Inf,83.87373906443577,0,1800.000509,0,0,1
68.488,3,6,1,-499.7414190988706,1,84.91,-499.7414190988706,1,84.994,-495.68266186258535,1,84.994,-495.68266186258535,1,84.994,-495.68266186258535,0,1800.195,Inf,84.4379500778529,0,1800.04539,0,0,1
451.26,1,7,1,-429.7361887254783,1,529.332,-431.7489410568381,1,801.224,-429.8024092725291,1,801.224,-429.8024092725291,1,801.224,-429.8024092725291,0,1800.034,Inf,98.35274483417177,0,1800.078423,0,0,1
247.185,2,7,1,-461.18250120640215,1,467.16,-470.22474367989355,1,205.615,-472.32085223404783,1,205.615,-472.32085223404783,1,205.615,-472.32085223404783,0,1800.017,Inf,98.07744023890055,0,1800.04079,0,0,1
444.073,3,7,1,-433.76692161623276,1,620.696,-434.1037578407427,1,351.653,-439.5435209749558,1,351.653,-439.5435209749558,1,351.653,-439.5435209749558,0,1800.267,Inf,98.57079766421789,0,1800.000522,0,0,1
171.548,1,8,1,-469.0401713386133,1,248.522,-469.0401713386133,1,308.438,-456.14136888070027,1,308.438,-456.14136888070027,1,308.438,-456.14136888070027,0,1800.237,Inf,112.57192542510683,0,1800.000716,0,0,1
372.391,2,8,1,-415.0576002866769,1,499.528,-419.6789235379473,0,1899.275,-420.388405761544,0,1899.275,-420.388405761544,0,1899.275,-420.388405761544,0,1800.134,Inf,112.16298208412906,0,1800.055211,0,0,1
854.541,3,8,1,-455.72210371027774,1,589.077,-450.7905027225901,1,915.775,-451.99061973225645,1,915.775,-451.99061973225645,1,915.775,-451.99061973225645,0,1800.489,Inf,112.50181216994034,0,1800.000782,0,0,1
