time_boscia,seed,num_v,termination_boscia,solution_boscia,rel_gap_boscia,termination_ipopt,time_ipopt,solution_ipopt,rel_gap_ipopt,solution_scip,termination_scip,time_scip,rel_gap_scip,optimal_scip,optimal_ipopt,optimal_boscia
1802.535,1,4,0,-310.24689323299964,0.0006173295014628216,0,1800.543,Inf,Inf,-316.41281624299484,0,1800.025339,-0.0192450357547253,1,0,0
1800.939,2,4,0,-311.02119664235516,0.01873037119979302,0,1800.326,Inf,Inf,-316.46937743233065,0,1800.000478,0.0011924113391360881,1,0,0
1801.174,3,4,0,-328.8593326060379,0.00012202179088863315,0,1800.067,Inf,Inf,-336.26939416759774,0,1802.44586,-0.02240786148800341,1,0,0
1804.415,1,5,0,-297.16128855358147,0.012339237641190775,0,1800.328,Inf,Inf,-220.59322826403564,0,1800.25957,0.36372287888518107,0,0,1
1802.321,2,5,0,-298.1712194876175,0.016006622909456248,0,1800.115,Inf,Inf,-287.6997832980139,0,1800.252687,0.0529863119382469,0,0,1
1801.19,3,5,0,-289.7433436239675,0.013422386416940064,0,1800.669,Inf,Inf,-286.15964520681746,0,1800.056863,0.02611390411672613,0,0,1
1802.179,1,6,0,-164.26657640122673,0.03649831581985492,0,1800.083,Inf,Inf,-69.163829626372,0,1800.038757,1.4617206812452808,0,0,1
1802.709,2,6,0,-246.45247621405676,0.007821962191427459,0,1800.104,Inf,Inf,-166.84238622257027,0,1800.000632,0.48871173440089627,0,0,1
1801.766,3,6,0,-218.38828270487573,0.04820138681256616,0,1800.092,Inf,Inf,-148.61628915742216,0,1800.00884,0.5403082804226584,0,0,1
1802.337,1,7,0,-264.64118884712565,0.009696858649062275,0,1800.353,Inf,Inf,-251.00035707663923,0,1800.082739,0.06456970882518791,0,0,1
1803.079,2,7,0,-168.64445707351945,0.047642210124526456,0,1800.28,Inf,Inf,-131.41109022018588,0,1800.005046,0.3444759604209821,0,0,1
1801.854,3,7,0,-158.07781571190276,0.03107466422963049,0,1800.078,Inf,Inf,-145.97197422788753,0,1800.008752,0.11658441025705306,0,0,1
1801.932,1,8,0,-113.79844647444061,0.14306704584921753,0,1800.135,Inf,Inf,-30.03074813416469,0,1800.075461,3.331535579887321,0,0,1
1828.727,2,8,0,-100.05442991942493,0.06937547182008526,0,1800.067,Inf,Inf,-22.188464232615516,0,1800.006093,3.8221342442212967,0,0,1
1808.788,3,8,0,-121.53634784850718,0.12336929631341914,0,1800.349,Inf,Inf,-56.58196249077664,0,1800.129279,1.4129633464257458,0,0,1
