seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
2,75,3637.0,-2.038437984176702,15.681649685301062,OPTIMAL,79,0,0,44,18
2,75,5683.0,-2.038437984176702,15.681649685301062,OPTIMAL,101,0,0,45,26
2,75,6703.0,-1.854997548380903,15.681649685301062,OPTIMAL,164,0,0,42,14
2,75,6994.0,-1.854997548380903,15.681649685301062,OPTIMAL,184,0,0,48,38
2,75,8041.0,-1.854997548380903,15.681649685301062,OPTIMAL,252,0,0,44,6
2,75,8365.0,-1.854997548380903,15.681649685301062,OPTIMAL,278,0,0,49,49
2,75,8830.0,-1.854997548380903,15.681649685301062,OPTIMAL,355,0,0,43,19
2,75,9086.0,-1.854997548380903,15.48274063373687,OPTIMAL,373,0,0,49,58
2,75,9857.0,-0.660774523387336,15.48274063373687,OPTIMAL,436,0,0,37,8
2,75,10162.0,-0.660774523387336,12.36962069471928,OPTIMAL,452,0,0,53,62
2,75,10503.0,-0.660774523387336,12.36962069471928,OPTIMAL,516,0,0,39,17
2,75,10841.0,-0.660774523387336,12.36962069471928,OPTIMAL,533,0,0,53,66
2,75,11132.0,-0.6391615862407809,12.36962069471928,OPTIMAL,602,0,0,37,21
2,75,11416.0,-0.6391615862407809,12.36962069471928,OPTIMAL,617,0,0,50,73
2,75,12209.0,-0.4475342255757567,12.36962069471928,OPTIMAL,674,0,0,34,5
2,75,12425.0,-0.4475342255757567,12.36962069471928,OPTIMAL,690,0,0,47,77
2,75,13290.0,-0.37363602540244445,12.36962069471928,OPTIMAL,753,0,0,40,4
2,75,13554.0,-0.37363602540244445,12.36962069471928,OPTIMAL,776,0,0,49,83
2,75,14407.0,-0.33612744634660546,12.36962069471928,OPTIMAL,829,0,0,37,7
2,75,14731.0,-0.33612744634660546,12.36962069471928,OPTIMAL,849,0,0,48,89
2,75,15416.0,-0.30128040817771723,12.36962069471928,OPTIMAL,904,0,0,35,9
2,75,15684.0,-0.30128040817771723,12.36962069471928,OPTIMAL,920,0,0,44,91
2,75,16328.0,-0.2831856945366178,12.36962069471928,OPTIMAL,972,0,0,31,8
2,75,16542.0,-0.2831856945366178,12.36962069471928,OPTIMAL,987,0,0,44,90
2,75,17093.0,-0.2654991090823428,12.36962069471928,OPTIMAL,1043,0,0,32,6
2,75,17250.0,-0.2654991090823428,12.36962069471928,OPTIMAL,1058,0,0,41,92
2,75,17931.0,-0.2461358177833186,12.36962069471928,OPTIMAL,1107,0,0,31,2
2,75,18097.0,-0.2461358177833186,12.36962069471928,OPTIMAL,1120,0,0,43,90
2,75,18977.0,-0.2195439960472647,12.36962069471928,OPTIMAL,1174,0,0,36,5
2,75,19101.0,-0.2195439960472647,12.36962069471928,OPTIMAL,1190,0,0,43,93
2,75,19550.0,-0.19581267134137684,12.36962069471928,OPTIMAL,1241,0,0,19,8
2,75,19647.0,-0.19581267134137684,12.36962069471928,OPTIMAL,1254,0,0,42,92
2,75,20217.0,-0.15797739026575172,12.36962069471928,OPTIMAL,1295,0,0,30,1
2,75,20288.0,-0.15797739026575172,12.36962069471928,OPTIMAL,1306,0,0,41,92
2,75,20758.0,-0.13004317905081514,12.36962069471928,OPTIMAL,1349,0,0,31,2
2,75,20842.0,-0.13004317905081514,12.36962069471928,OPTIMAL,1361,0,0,41,90
2,75,21357.0,-0.09801034181254559,12.36962069471928,OPTIMAL,1403,0,0,29,3
2,75,21408.0,-0.09801034181254559,12.36962069471928,OPTIMAL,1412,0,0,37,91
2,75,21896.0,-0.08214642085106733,12.36962069471928,OPTIMAL,1465,0,0,23,4
2,75,21975.0,-0.08214642085106733,12.36962069471928,OPTIMAL,1477,0,0,37,90
2,75,22442.0,-0.05938030714425496,12.36962069471928,OPTIMAL,1529,0,0,26,5
2,75,22480.0,-0.05938030714425496,12.36962069471928,OPTIMAL,1539,0,0,39,89
2,75,23012.0,-0.03148860837261125,12.36962069471928,OPTIMAL,1592,0,0,25,11
2,75,23087.0,-0.03148860837261125,12.36962069471928,OPTIMAL,1604,0,0,38,87
2,75,23483.0,-0.001019042884812027,12.36962069471928,OPTIMAL,1647,0,0,18,1
2,75,23516.0,-0.001019042884812027,12.36962069471928,OPTIMAL,1656,0,0,35,83
2,75,23911.0,0.04450428915952803,12.36962069471928,OPTIMAL,1690,0,0,24,4
2,75,23944.0,0.04450428915952803,12.36962069471928,OPTIMAL,1699,0,0,37,82
2,75,24318.0,0.07221373972645884,12.36962069471928,OPTIMAL,1741,0,0,16,4
2,75,24356.0,0.07221373972645884,12.36962069471928,OPTIMAL,1751,0,0,37,81
2,75,24568.0,0.09985077673831189,12.36962069471928,OPTIMAL,1781,0,0,19,2
2,75,24603.0,0.09985077673831189,12.36962069471928,OPTIMAL,1790,0,0,37,78
2,75,24841.0,0.12342921948399582,12.36962069471928,OPTIMAL,1824,0,0,20,2
2,75,24873.0,0.12342921948399582,12.36962069471928,OPTIMAL,1833,0,0,36,77
2,75,25347.0,0.1634381526712484,12.36962069471928,OPTIMAL,1869,0,0,24,5
2,75,25385.0,0.1634381526712484,12.36962069471928,OPTIMAL,1880,0,0,37,74
2,75,25698.0,0.21078913478603634,12.36962069471928,OPTIMAL,1913,0,0,20,3
2,75,25735.0,0.21078913478603634,12.36962069471928,OPTIMAL,1923,0,0,35,74
2,75,26098.0,0.2348730730686991,12.36962069471928,OPTIMAL,1969,0,0,15,4
2,75,26137.0,0.2348730730686991,12.36962069471928,OPTIMAL,1981,0,0,35,72
2,75,26454.0,0.3013556593075654,12.36962069471928,OPTIMAL,2018,0,0,22,5
2,75,26501.0,0.3013556593075654,12.36962069471928,OPTIMAL,2029,0,0,35,70
2,75,26637.0,0.35694059639059544,12.36962069471928,OPTIMAL,2056,0,0,16,3
2,75,26669.0,0.35694059639059544,12.36962069471928,OPTIMAL,2066,0,0,33,70
2,75,26929.0,0.3945954485418527,12.36962069471928,OPTIMAL,2098,0,0,23,2
2,75,26973.0,0.3945954485418527,12.36962069471928,OPTIMAL,2112,0,0,35,64
2,75,27147.0,0.4653229981694118,12.36962069471928,OPTIMAL,2139,0,0,18,1
2,75,27188.0,0.4653229981694118,12.36962069471928,OPTIMAL,2151,0,0,35,62
2,75,27349.0,0.5043499154748582,12.36962069471928,OPTIMAL,2177,0,0,17,8
