seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
5,85,1828.0,-8.17640565906091,3.6765945274656153,OPTIMAL,70,0,0,49,11
5,85,3165.0,-8.17640565906091,1.8375663316792412,OPTIMAL,95,0,0,49,28
5,85,3269.0,-1.811067914530884,1.8375663316792412,OPTIMAL,158,0,0,45,6
5,85,3427.0,-1.811067914530884,0.8411867030945044,OPTIMAL,177,0,0,53,38
5,85,3608.0,-1.811067914530884,0.8411867030945044,OPTIMAL,253,0,0,47,24
5,85,3794.0,-1.811067914530884,0.8411867030945044,OPTIMAL,264,0,0,52,45
5,85,3929.0,-1.811067914530884,0.8411867030945044,OPTIMAL,342,0,0,45,28
5,85,4005.0,-1.811067914530884,0.8411867030945044,OPTIMAL,353,0,0,45,29
5,85,4163.0,-1.811067914530884,0.8411867030945044,OPTIMAL,430,0,0,50,23
5,85,4242.0,-1.811067914530884,0.8411867030945044,OPTIMAL,443,0,0,52,27
5,85,4413.0,-1.811067914530884,0.8411867030945044,OPTIMAL,520,0,0,49,22
5,85,4461.0,-1.811067914530884,0.8411867030945044,OPTIMAL,531,0,0,50,24
5,85,4624.0,-1.103495489365341,0.8411867030945044,OPTIMAL,608,0,0,48,21
5,85,4761.0,-1.103495489365341,0.45464725230475633,OPTIMAL,625,0,0,50,53
5,85,4920.0,-0.8019525155775804,0.45464725230475633,OPTIMAL,704,0,0,52,25
5,85,5077.0,-0.8019525155775804,0.45464725230475633,OPTIMAL,723,0,0,52,61
5,85,5209.0,-0.58394487633924,0.45464725230475633,OPTIMAL,795,0,0,46,17
5,85,5358.0,-0.58394487633924,0.45464725230475633,OPTIMAL,813,0,0,53,62
5,85,5440.0,-0.58394487633924,0.45464725230475633,OPTIMAL,868,0,0,40,4
5,85,5591.0,-0.58394487633924,0.45464725230475633,OPTIMAL,885,0,0,51,66
5,85,5645.0,-0.58394487633924,0.45464725230475633,OPTIMAL,940,0,0,41,6
5,85,5812.0,-0.58394487633924,0.45464725230475633,OPTIMAL,957,0,0,52,68
5,85,5847.0,-0.466860810142421,0.45464725230475633,OPTIMAL,1008,0,0,38,4
