seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,1949.059,-509.2618748045226,3.4954612989564,0.006863779662080759,3,Time limit reached,47
2,4,2007.716,-515.658846279455,4.015266027628286,0.007786671472038049,3,Time limit reached,29
3,4,2000.14,-500.7808220156637,5.587198859264731,0.011156974495900267,3,Time limit reached,20
1,5,2101.15,-532.6431418728878,7.0583184247158215,0.013251495926329317,3,Time limit reached,24
2,5,2001.536,-494.9153597467168,4.462235915618635,0.009016159688198558,3,Time limit reached,41
3,5,1959.363,-523.7657005220576,4.982057616169641,0.0095119967023496,3,Time limit reached,36
1,6,1965.352,-454.9612765671199,7.867263251127042,0.017292160138306614,3,Time limit reached,39
2,6,1987.755,-484.1235792046846,9.161050165256086,0.018922958018912868,3,Time limit reached,43
3,6,2033.853,-500.5742051975218,7.49665371405564,0.01497610870919234,3,Time limit reached,26
1,7,1980.041,-440.6003414441878,11.212117254599377,0.025447363971277472,3,Time limit reached,31
2,7,2020.859,-481.00692506407006,9.656078638679674,0.02007471854463111,3,Time limit reached,28
3,7,1976.464,-444.74242095212105,8.35110071165417,0.018777387355530025,3,Time limit reached,37
1,8,1972.203,-470.9783523768837,8.69043013071132,0.01845186745177008,3,Time limit reached,32
2,8,2079.76,-422.7742972851087,15.346236913451833,0.03629888811122003,3,Time limit reached,27
3,8,2008.545,-462.106745400546,12.770148176084774,0.027634628369286915,3,Time limit reached,31
