seed,dimension,time_afw,solution_afw,termination_afw
1,20,4.36,-0.24907328181143348,Optimal (tree empty)
2,20,12.368,-5.1345392563138885,OPTIMAL
3,20,12.644,-0.7394277769829829,Optimal (tree empty)
4,20,15.972,-0.48809006533464466,OPTIMAL
1,25,6.497,-0.24654794806430141,OPTIMAL
2,25,5.301,-0.20379936365496193,Optimal (tree empty)
3,25,11.123,-0.5449211081095297,OPTIMAL
4,25,6.231,0.11889501718027007,Optimal (tree empty)
1,30,11.148,-0.1234003712799403,Optimal (tree empty)
2,30,9.146,-0.20913012724279562,OPTIMAL
3,30,19.459,-0.5067664386113001,OPTIMAL
4,30,5.099,-0.1398184104346626,OPTIMAL
1,35,8.017,-0.05744557203278261,Optimal (tree empty)
2,35,28.855,-0.6323473403443768,OPTIMAL
3,35,14.001,-0.2857008302696909,OPTIMAL
4,35,22.627,-0.3520517124364991,OPTIMAL
1,40,11.806,-0.08212313928731646,OPTIMAL
2,40,18.327,-0.11049633047779811,OPTIMAL
3,40,27.268,-0.28264111646593054,OPTIMAL
4,40,13.255,-0.20697891790824424,OPTIMAL
1,45,63.316,-0.7906363479850071,OPTIMAL
2,45,346.456,-10.592133325078638,OPTIMAL
3,45,262.773,-1.4002230063427383,OPTIMAL
4,45,15.17,0.08275738927625342,OPTIMAL
1,50,316.955,-0.7056653870105561,OPTIMAL
2,50,41.353,-0.23052390148148494,OPTIMAL
3,50,211.979,-19.334158975171924,OPTIMAL
4,50,53.3,-0.460517495622957,OPTIMAL
1,55,42.438,-0.37150199401123135,OPTIMAL
2,55,38.209,-0.436546490615902,OPTIMAL
3,55,493.599,-9.774816314881374,OPTIMAL
4,55,124.813,-0.4993110117679786,OPTIMAL
1,60,39.916,-0.20061002656754734,OPTIMAL
2,60,119.99,-0.5574430219536539,OPTIMAL
3,60,81.205,-0.5419942411421553,Optimal (tree empty)
4,60,1287.836,-11.863910497065547,OPTIMAL
1,65,37.919,-0.11508688561115282,OPTIMAL
2,65,44.814,-0.21018679197840173,OPTIMAL
3,65,36.63,-0.24032260066226047,OPTIMAL
4,65,162.349,-0.9459260889678043,OPTIMAL
1,70,76.085,-0.3960285638947907,OPTIMAL
2,70,73.219,-0.35134225558442717,OPTIMAL
3,70,92.599,-0.11200773758584581,OPTIMAL
4,70,1800.678,-21.125594863785043,Time limit reached
1,75,66.847,-0.12878649855016783,Optimal (tree empty)
2,75,88.082,-0.5117607561406298,OPTIMAL
3,75,50.557,-0.23408754811975208,OPTIMAL
1,80,58.196,-0.10688443798515146,OPTIMAL
1,80,59.738,-0.1068844379851478,OPTIMAL
3,80,1801.149,-4.161351697872056,Time limit reached
