seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,51.276,-496.9002969752026,0.0,0.0,1,Optimal (tree empty),3
2,4,175.939,-504.33739039654085,1.4398393780994638,0.002854913011639637,3,Optimal (tolerance reached),10
3,4,52.072,-500.99490891263304,0.0,0.0,1,Optimal (tree empty),3
1,5,165.342,-523.3854306110235,1.1977582112651817,0.0022884821418641043,3,Optimal (tolerance reached),10
2,5,201.137,-483.75700641436805,0.5934166489439576,0.0012266833163666043,3,Optimal (tolerance reached),10
3,5,54.919,-523.5145522650987,0.0,0.0,1,Optimal (tree empty),3
1,6,62.869,-454.6798118413621,0.0,0.0,1,Optimal (tree empty),3
2,6,65.561,-483.2098939161635,0.0,0.0,1,Optimal (tree empty),3
3,6,63.704,-499.7414190988706,0.0,0.0,1,Optimal (tree empty),3
2,7,222.68,-461.18250120640215,3.2463249721878356,0.007039133019348762,5,Optimal (tolerance reached),15
1,8,169.627,-469.0401713386133,1.5695581064680937,0.0033463191478645985,3,Optimal (tolerance reached),7
3,8,809.018,-455.72210371027774,0.0,0.0,11,Optimal (tree empty),46
