seed,dimension,p,k,Ns,time,solution,termination,ncalls
1,50,50,25.0,0.1,0.012,-222.7156054633275,OPTIMAL,3
1,50,50,25.0,1.0,1804.486,-823.5106683626174,Time limit reached,20869
1,50,50,25.0,5.0,9.109,-536.6399743703427,OPTIMAL,97
1,50,50,25.0,10.0,9.093,-536.5953923907999,OPTIMAL,91
2,50,50,25.0,0.1,0.013,-302.01535887823866,OPTIMAL,3
2,50,50,25.0,1.0,1802.085,-1211.1192736885664,Time limit reached,22405
2,50,50,25.0,5.0,14.47,-839.5472088815269,OPTIMAL,182
2,50,50,25.0,10.0,12.631,-816.2005346283288,OPTIMAL,94
3,50,50,25.0,0.1,0.012,-853.8272777602954,OPTIMAL,3
3,50,50,25.0,1.0,1804.779,-2880.581047729838,Time limit reached,18329
3,50,50,25.0,5.0,19.401,-1741.9277009614436,OPTIMAL,146
3,50,50,25.0,10.0,12.912,-1921.0709633009012,OPTIMAL,91
4,50,50,25.0,0.1,0.013,-773.7579916614262,OPTIMAL,3
4,50,50,25.0,1.0,1804.441,-2692.3322807778336,Time limit reached,21915
4,50,50,25.0,5.0,44.522,-1780.2059751228712,OPTIMAL,423
4,50,50,25.0,10.0,11.938,-1842.1631048970319,OPTIMAL,83
5,50,50,25.0,0.1,0.013,-37.879343832756625,OPTIMAL,3
5,50,50,25.0,1.0,1801.979,-99.35805325082318,Time limit reached,60768
5,50,50,25.0,5.0,10.853,-53.90695199024113,OPTIMAL,152
5,50,50,25.0,10.0,8.844,-54.19586892073374,OPTIMAL,169
6,50,50,25.0,0.1,0.013,-101.23506361058239,OPTIMAL,3
6,50,50,25.0,1.0,1805.425,-463.5102871671957,Time limit reached,36738
6,50,50,25.0,5.0,13.039,-344.8336567322073,OPTIMAL,179
6,50,50,25.0,10.0,8.863,-344.6268411810746,OPTIMAL,185
7,50,50,25.0,0.1,0.012,-541.6138774625181,OPTIMAL,3
7,50,50,25.0,1.0,1801.851,-1828.8017179774438,Time limit reached,18387
7,50,50,25.0,5.0,8.851,-1169.2847504815722,OPTIMAL,80
7,50,50,25.0,10.0,12.002,-1277.931832375287,OPTIMAL,72
8,50,50,25.0,0.1,0.013,-511.98607096648544,OPTIMAL,3
8,50,50,25.0,1.0,1801.884,-2292.8587099055267,Time limit reached,23522
8,50,50,25.0,5.0,30.03,-1543.7903986283338,OPTIMAL,279
8,50,50,25.0,10.0,13.476,-1666.5088508066797,OPTIMAL,106
9,50,50,25.0,0.1,0.013,-102.22410050053469,OPTIMAL,3
9,50,50,25.0,1.0,1803.958,-240.72914091335528,Time limit reached,31793
9,50,50,25.0,5.0,14.097,-148.45242534922974,OPTIMAL,281
9,50,50,25.0,10.0,9.26,-149.61383761864417,OPTIMAL,124
10,50,50,25.0,0.1,0.013,-21.349478762784095,OPTIMAL,3
10,50,50,25.0,1.0,1801.599,-14.417809199726651,Time limit reached,85447
10,50,50,25.0,5.0,7.642,-29.488026662298502,OPTIMAL,134
10,50,50,25.0,10.0,7.003,-32.360821263858696,OPTIMAL,151
1,70,70,35.0,0.1,0.023,-2797.8213805446567,OPTIMAL,3
1,70,70,35.0,1.0,1810.528,-6897.271630564258,Time limit reached,6927
1,70,70,35.0,5.0,33.425,-5553.04257412739,OPTIMAL,131
1,70,70,35.0,10.0,16.843,-4676.766159980589,OPTIMAL,75
2,70,70,35.0,0.1,0.016,-276.76328207083367,OPTIMAL,3
2,70,70,35.0,1.0,1803.997,-621.0418515071125,Time limit reached,18444
2,70,70,35.0,5.0,19.712,-429.6176890484231,OPTIMAL,140
2,70,70,35.0,10.0,17.633,-449.79815799456117,OPTIMAL,94
3,70,70,35.0,0.1,0.018,-146048.30629797274,OPTIMAL,3
3,70,70,35.0,1.0,631.297,-453255.85161838896,OPTIMAL,1351
3,70,70,35.0,5.0,39.835,-270888.333930928,OPTIMAL,114
3,70,70,35.0,10.0,18.312,-340975.5825761568,OPTIMAL,51
4,70,70,35.0,0.1,0.017,-46348.15535596037,OPTIMAL,3
4,70,70,35.0,1.0,8.806,-121442.69026493907,OPTIMAL,19
4,70,70,35.0,5.0,54.822,-60760.45674189247,OPTIMAL,152
4,70,70,35.0,10.0,13.459,-89383.45283569061,OPTIMAL,49
5,70,70,35.0,0.1,0.016,-3035.668395004075,OPTIMAL,3
5,70,70,35.0,1.0,1807.644,-10609.62366459402,Time limit reached,9057
5,70,70,35.0,5.0,21.141,-5818.947186697212,OPTIMAL,108
5,70,70,35.0,10.0,14.152,-7331.126544898022,OPTIMAL,70
6,70,70,35.0,0.1,0.015,-3.0386333812987427e6,OPTIMAL,3
6,70,70,35.0,1.0,27.729,-1.1846170889893383e7,OPTIMAL,18
6,70,70,35.0,5.0,775.551,-8.241423943561996e6,OPTIMAL,1506
6,70,70,35.0,10.0,13.517,-7.633649318769312e6,OPTIMAL,43
7,70,70,35.0,0.1,0.017,-3386.4677525452216,OPTIMAL,3
7,70,70,35.0,1.0,8.828,-10478.748927231163,OPTIMAL,33
7,70,70,35.0,5.0,13.318,-6779.870148959403,OPTIMAL,59
7,70,70,35.0,10.0,12.961,-6856.494171644392,OPTIMAL,71
8,70,70,35.0,0.1,0.016,-1315.312277217477,OPTIMAL,3
8,70,70,35.0,1.0,1806.066,-3312.241748004328,Time limit reached,12650
8,70,70,35.0,5.0,13.655,-1955.8950478475037,OPTIMAL,90
8,70,70,35.0,10.0,18.583,-2636.5352286640177,OPTIMAL,89
9,70,70,35.0,0.1,0.016,-278.068931115756,OPTIMAL,3
9,70,70,35.0,1.0,1809.308,-856.9133115424578,Time limit reached,19248
9,70,70,35.0,5.0,19.926,-591.369219490589,OPTIMAL,130
9,70,70,35.0,10.0,19.757,-582.3952971058508,OPTIMAL,110
10,70,70,35.0,0.1,0.016,-542.5786305155099,OPTIMAL,3
10,70,70,35.0,1.0,1803.561,-1544.6637065465727,Time limit reached,16940
10,70,70,35.0,5.0,13.296,-1164.8241197097325,OPTIMAL,117
10,70,70,35.0,10.0,13.273,-1084.9898863992778,OPTIMAL,102
1,90,90,45.0,0.1,0.02,-18670.312276752353,OPTIMAL,3
