seed,dimension,p,k,Ns,solution,termination,time
1,50,50,25.0,0.1,-222.71562641550116,LOCALLY_SOLVED,10.276687145233154
1,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
1,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,0.1,-302.01538810845034,LOCALLY_SOLVED,10.545403003692627
2,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
2,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,0.1,-853.8273591997661,LOCALLY_SOLVED,10.360345840454102
3,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
3,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,0.1,-773.7595984855857,LOCALLY_SOLVED,10.54618501663208
4,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
4,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,0.1,-37.87934533705476,LOCALLY_SOLVED,10.416679859161377
5,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
5,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,0.1,-101.23507290194901,LOCALLY_SOLVED,10.78386402130127
6,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
6,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
7,50,50,25.0,0.1,-541.6139312585403,LOCALLY_SOLVED,17.901896953582764
7,50,50,25.0,1.0,-1834.396421831247,ALMOST_LOCALLY_SOLVED,344.72107195854187
7,50,50,25.0,5.0,NaN,OPTIMIZE_NOT_CALLED,1800.0
7,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,0.1,-511.9861217039029,LOCALLY_SOLVED,10.314336061477661
8,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
8,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,0.1,-102.2241094400143,LOCALLY_SOLVED,10.59237790107727
9,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
9,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,0.1,-21.38022890396759,LOCALLY_SOLVED,10.99944806098938
10,50,50,25.0,1.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,5.0,NaN,TIME_LIMIT,1800.0
10,50,50,25.0,10.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
1,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,0.1,-276.763308680988,LOCALLY_SOLVED,10.885041952133179
2,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
2,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
3,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
4,70,70,35.0,1.0,-121681.48305188453,LOCALLY_SOLVED,20.56671404838562
4,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
5,70,70,35.0,0.1,-3035.6672148191187,LOCALLY_SOLVED,11.221312046051025
5,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
5,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
5,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
6,70,70,35.0,5.0,-1.18581972680972e7,LOCALLY_SOLVED,14.518488883972168
7,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
7,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
8,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
8,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
8,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
9,70,70,35.0,0.1,-278.06895689725144,LOCALLY_SOLVED,10.73819613456726
9,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
9,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
9,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
10,70,70,35.0,0.1,-542.5786824737417,LOCALLY_SOLVED,10.712538003921509
10,70,70,35.0,1.0,NaN,TIME_LIMIT,1800.0
10,70,70,35.0,5.0,NaN,TIME_LIMIT,1800.0
10,70,70,35.0,10.0,NaN,TIME_LIMIT,1800.0
1,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
2,90,90,45.0,1.0,-38686.4239915452,ALMOST_LOCALLY_SOLVED,116.18162202835083
2,90,90,45.0,5.0,NaN,TIME_LIMIT,1800.0
2,90,90,45.0,10.0,NaN,TIME_LIMIT,1800.0
3,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
4,90,90,45.0,0.1,-10504.729799544535,LOCALLY_SOLVED,11.402090072631836
4,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
5,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
5,90,90,45.0,5.0,NaN,TIME_LIMIT,1800.0
5,90,90,45.0,10.0,NaN,TIME_LIMIT,1800.0
6,90,90,45.0,5.0,NaN,OPTIMIZE_NOT_CALLED,1800.0
7,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
7,90,90,45.0,5.0,NaN,TIME_LIMIT,1800.0
7,90,90,45.0,10.0,NaN,TIME_LIMIT,1800.0
8,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
8,90,90,45.0,10.0,NaN,TIME_LIMIT,1800.0
9,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
9,90,90,45.0,5.0,NaN,TIME_LIMIT,1800.0
10,90,90,45.0,1.0,NaN,TIME_LIMIT,1800.0
10,90,90,45.0,5.0,NaN,TIME_LIMIT,1800.0
10,90,90,45.0,10.0,NaN,TIME_LIMIT,1800.0
