seed,dimension,solution,termination,time
1,20,NaN,TIME_LIMIT,1800.0
1,25,4.76260907095854,LOCALLY_SOLVED,1343.1217789649963
1,30,NaN,TIME_LIMIT,1800.0
1,35,NaN,TIME_LIMIT,1800.0
1,40,NaN,TIME_LIMIT,1800.0
1,45,NaN,TIME_LIMIT,1800.0
1,50,NaN,TIME_LIMIT,1800.0
1,55,NaN,TIME_LIMIT,1800.0
1,60,NaN,TIME_LIMIT,1800.0
1,65,NaN,TIME_LIMIT,1800.0
1,70,NaN,TIME_LIMIT,1800.0
1,75,NaN,TIME_LIMIT,1800.0
1,80,NaN,TIME_LIMIT,1800.0
1,85,NaN,TIME_LIMIT,1800.0
1,90,NaN,TIME_LIMIT,1800.0
1,95,NaN,TIME_LIMIT,1800.0
1,100,NaN,TIME_LIMIT,1800.0
1,105,NaN,TIME_LIMIT,1800.0
1,110,NaN,TIME_LIMIT,1800.0
1,115,NaN,TIME_LIMIT,1800.0
1,120,NaN,TIME_LIMIT,1800.0
