dimension,time_boscia,solution_boscia,seed,p,k,Ns,termination_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,termination_scip,time_scip,solution_scip,optimal_scip,optimal_ipopt,optimal_boscia
50,2.626,-222.7156054633275,1,50,25.0,0.1,1,1,0.125,1,0.014,1,2.63,1,0.012,1,8657.0,-222.71563408090228,1,0.34021799999999996,-222.7156054633275,1,1,1
50,1802.885,-821.346904365286,1,50,25.0,1.0,0,0,1801.996,1,24.955,1,28.724,0,1804.486,0,1.800091e6,Inf,1,0.01512,2458.3525759205736,0,0,1
50,10.226,-536.5953923907999,1,50,25.0,10.0,1,1,16.746,1,15.606,1,14.447,1,9.093,0,1.800039e6,-825.8042271035523,1,1800,Inf,0,1,0
50,0.017,-302.01535887823866,2,50,25.0,0.1,1,1,0.021,1,0.015,1,0.02,1,0.013,1,286.0,-302.0153998798551,1,0.013127999999999999,-302.00159289870385,0,1,1
50,1806.986,-1198.0255744267788,2,50,25.0,1.0,0,0,1804.547,1,32.408,1,30.139,0,1802.085,0,1.800021e6,Inf,1,0.009396999999999999,487.6415995051744,0,0,1
50,14.624,-844.4246111264742,2,50,25.0,10.0,1,1,25.204,1,16.247,1,14.673,1,12.631,1,10127.0,-1210.432734908089,1,1800,Inf,0,1,0
50,0.015,-853.8272777602954,3,50,25.0,0.1,1,1,0.022,1,0.017,1,0.019,1,0.012,1,123.0,-853.8273904458755,1,0.009486,-853.8272777602954,0,1,0
50,1804.756,-2874.968538677174,3,50,25.0,1.0,0,0,1803.846,1,41.611,1,7.098,0,1804.779,0,1.800063e6,Inf,1,0.009101,8600.103330675436,0,0,1
50,13.564,-2021.0175781007542,3,50,25.0,10.0,1,1,16.329,1,5.712,1,5.491,1,12.912,1,142176.0,-2869.5455902954827,1,1800,Inf,0,1,0
50,0.016,-773.7579916614262,4,50,25.0,0.1,1,1,0.021,1,0.016,1,0.024,1,0.013,1,284.0,-773.7596248149442,1,0.009319,-773.7579916614262,0,1,0
50,1804.982,-2700.08922692775,4,50,25.0,1.0,0,0,1804.333,1,313.717,1,44.355,0,1804.441,0,1.800051e6,Inf,1,0.009212999999999999,825.0320580932837,0,0,1
50,12.484,-1842.1631048970319,4,50,25.0,10.0,1,1,12.388,1,15.427,1,14.55,1,11.938,1,3592.0,-2694.1750444700388,1,1800,Inf,0,1,0
