seed,num_v,time,solution,termination,calls
1,3,1.194415,58212.990421959934,OPTIMAL,2
1,4,1.978567,-27719.08006761879,OPTIMAL,4
2,4,1.075574,-21806.95978267962,OPTIMAL,3
3,4,1.7143419999999998,-30524.560214135006,OPTIMAL,4
1,5,0.863514,21621.882150493726,OPTIMAL,2
2,5,0.629186,16463.960978327195,OPTIMAL,2
3,5,1.102995,-3687.8041473690596,OPTIMAL,2
1,6,0.883745,39996.88473133878,OPTIMAL,3
2,6,1.511711,11.775436260639696,OPTIMAL,2
3,6,1.004431,-1955.4886558304197,OPTIMAL,4
2,6,1.7720449999999999,11.775436260639696,OPTIMAL,2
2,6,1.786372,11.775436260639696,OPTIMAL,2
1,4,2.037438,-27719.08006761879,OPTIMAL,4
2,4,1.113673,-21806.95978267962,OPTIMAL,3
3,4,1.800942,-30524.560214135006,OPTIMAL,4
1,5,0.8900629999999999,21621.882150493726,OPTIMAL,2
2,5,0.663217,16463.960978327195,OPTIMAL,2
3,5,1.15347,-3687.8041473690596,OPTIMAL,2
1,6,0.913666,39996.88473133878,OPTIMAL,3
2,6,1.572276,11.775436260639696,OPTIMAL,2
3,6,1.004633,-1955.4886558304197,OPTIMAL,4
1,4,1.279036,-27714.45667499001,OPTIMAL,6
2,4,1.008663,-21803.95569071411,OPTIMAL,2
3,4,1.29759,-30520.028785709703,OPTIMAL,4
1,5,0.624638,21623.42328136999,OPTIMAL,2
2,5,0.590272,16468.50280248257,OPTIMAL,2
3,5,0.9737779999999999,-3683.361514739518,OPTIMAL,4
1,6,0.432564,39998.42586221504,OPTIMAL,2
2,6,1.319724,14.383754663884288,OPTIMAL,3
3,6,0.9489259999999999,-1951.7226324392027,OPTIMAL,5
1,4,1.4588619999999999,8405.5,OPTIMAL,7
2,4,1.963435,10988.49999999973,OPTIMAL,8
3,4,2.517926,0.0,OPTIMAL,2
1,4,1.392409,8405.5,OPTIMAL,7
1,4,1.285747,8405.5,OPTIMAL,7
1,4,1.335442,0.3886756253773573,OPTIMAL,6
1,4,1.390963,-27719.08006761879,OPTIMAL,4
1,4,1.38602,-27719.08006761879,OPTIMAL,4
2,4,0.792702,-21806.95978267962,OPTIMAL,3
3,4,1.245663,-30524.560214135006,OPTIMAL,4
1,5,0.6860189999999999,21621.882150493726,OPTIMAL,2
2,5,0.48933299999999996,16463.960978327195,OPTIMAL,2
3,5,0.898454,-3687.8041473690596,OPTIMAL,2
1,6,0.735476,39996.88473133878,OPTIMAL,3
2,6,1.193247,11.775436260639696,OPTIMAL,2
3,6,0.710804,-1955.4886558304197,OPTIMAL,4
1,7,0.5692809999999999,13872.362100414519,OPTIMAL,2
2,7,1.155933,-63078.90564121283,OPTIMAL,4
3,7,0.477253,7945.133483098371,OPTIMAL,2
1,8,0.681067,41964.88332034584,OPTIMAL,2
2,8,1.03885,15406.993207279134,OPTIMAL,3
3,8,1.2723309999999999,-14473.626743694604,OPTIMAL,4
