dimension,p,k,M,varA,timeBoscia,terminationBoscia,timeScip,terminationScip,timeIpopt,terminationIpopt,timeNoWs,terminationNoWs,timeNoAs,terminationNoAs,timeNoSs,terminationNoSs,timeAfw,terminationAfw,optimalBoscia,optimalIpopt,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,terminationIpoptRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection
5,25,5.0,0.1,1,1,3,0,3,16,3,2,3,2,3,1,3,129,2,3,3,0,3,100,100,100,100,100,67,100,0,0,0,0,35
5,25,5.0,0.1,5,3,3,0,3,6,3,3,3,4,3,3,3,547,2,3,3,0,3,100,100,100,100,100,67,100,1,1,2,1,302
5,25,5.0,1.0,1,94,3,0,3,221,3,664,3,603,3,85,3,1800,0,3,3,0,3,100,100,100,100,100,0,100,,,,,
5,25,5.0,1.0,5,256,3,0,3,305,3,1058,1,1055,1,284,3,1800,0,3,3,0,3,100,100,33,33,100,0,100,,,,,
10,50,10.0,0.1,1,8,3,0,3,251,1,23,2,24,2,8,3,243,1,3,1,0,3,100,100,67,67,100,33,33,0,0,0,0,4
10,50,10.0,0.1,5,109,3,0,3,489,1,168,3,168,3,107,3,1300,1,3,1,0,3,100,100,100,100,100,33,33,4,8,8,4,679
10,50,10.0,1.0,1,1800,0,0,3,1800,0,1800,0,1800,0,1800,0,1800,0,3,0,0,3,0,100,0,0,0,0,0,,,,,
10,50,10.0,1.0,5,1800,0,0,3,1800,0,1800,0,1800,0,1800,0,1800,0,3,0,0,3,0,100,0,0,0,0,0,,,,,
15,75,15.0,0.1,1,120,1,0,3,688,1,139,1,141,1,119,1,287,1,2,1,1,3,33,100,33,33,33,33,33,1,1,1,1,7
15,75,15.0,0.1,5,1372,1,0,3,1800,0,1552,1,1565,1,1361,1,1800,0,2,0,1,3,33,100,33,33,33,0,0,,,,,
15,75,15.0,1.0,1,1800,0,1,3,1800,0,1800,0,1800,0,1800,0,1800,0,2,0,1,3,0,100,0,0,0,0,0,,,,,
15,75,15.0,1.0,5,1800,0,1,3,1800,0,1800,0,1800,0,1800,0,1800,0,3,0,0,3,0,100,0,0,0,0,0,,,,,
20,100,20.0,0.1,1,1800,0,2,3,1800,0,1800,0,1800,0,1800,0,1800,0,1,0,2,3,0,100,0,0,0,0,0,,,,,
20,100,20.0,0.1,5,1800,0,2,3,1800,0,1800,0,1800,0,1800,0,1800,0,1,0,2,3,0,100,0,0,0,0,0,,,,,
20,100,20.0,1.0,1,1800,0,2,3,1800,0,1800,0,1800,0,1800,0,1800,0,2,1,1,3,0,100,0,0,0,0,0,,,,,
20,100,20.0,1.0,5,1800,0,1,3,1800,0,1800,0,1800,0,1800,0,1800,0,2,1,1,3,0,100,0,0,0,0,0,,,,,
