dimension,time_boscia,seed,p,k,M,varA,termination_boscia,solution_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,solution_scip,termination_scip,time_scip,optimal_scip,optimal_ipopt,optimal_boscia
5,23.399,1,25,5.0,0.1,1,1,0.653897246423264,1,15.583,1,29.087,1,31.151,1,23.854,1,179.376,0.6538972343381189,0.6832755035817988,1,0.13827599999999998,0,1,1
5,12.845,1,25,5.0,0.1,5,1,0.3507216199955216,1,9.668,1,19.405,1,19.586,1,14.404,1,24.447,0.35072158819791355,0.5381601521316569,1,0.02948,0,1,1
5,342.157,1,25,5.0,1.0,1,1,0.653897246423261,1,166.207,1,1776.609,1,1789.559,1,279.154,1,260.362,0.6538972464289747,0.6832756377526169,1,0.037751,0,1,1
5,532.319,1,25,5.0,1.0,5,1,0.35072161999551266,1,282.988,0,1800.035,0,1800.139,1,581.529,1,180.673,0.35072157324084374,0.5365552059838944,1,0.033422,0,1,1
5,0.031,2,25,5.0,0.1,1,1,0.5150083111257999,1,0.052,1,0.035,1,0.047,1,0.025,1,0.307,0.5150084492543813,0.5389725581120467,1,0.013892999999999999,0,1,1
5,0.226,2,25,5.0,0.1,5,1,0.13744112423431368,1,0.208,1,0.211,1,0.355,1,0.208,1,0.43,0.13744121834113712,0.3801964015570253,1,0.013861,0,1,1
5,41.041,2,25,5.0,1.0,1,1,0.3660217199680986,1,27.558,1,135.284,1,143.038,1,41.546,1,162.331,0.36602171906897274,0.5639956960739451,1,0.035065,0,1,1
5,183.104,2,25,5.0,1.0,5,1,0.06958437127924136,1,156.767,1,365.124,1,362.131,1,165.12,1,294.158,0.06958437082908982,0.24306410675983953,1,0.028297,0,1,1
5,3.287,3,25,5.0,0.1,1,1,0.654847813553246,1,2.862,1,4.186,1,4.163,1,3.383,1,77.967,0.655314071499212,0.680576925002604,1,0.02147,0,1,1
5,6.086,3,25,5.0,0.1,5,1,0.36138332348683605,1,5.175,1,8.768,1,9.189,1,6.371,1,23.992,0.3613832965062485,0.5123769102421296,1,0.021855,0,1,1
5,58.959,3,25,5.0,1.0,1,1,0.6548478135532407,1,19.259,1,1215.813,1,855.738,1,52.237,1,255.384,0.6553140557061485,0.6805768939719649,1,0.030195,0,1,1
5,172.366,3,25,5.0,1.0,5,1,0.3613782945414862,1,90.986,0,1800.21,0,1800.272,1,239.286,1,533.598,0.36137826884302526,0.5108821755360282,1,0.028695,0,1,1
10,316.768,1,50,10.0,0.1,1,1,0.5524563901105974,1,153.922,1,471.452,1,463.24,1,328.521,0,1800.017,0.5606838419055442,0.6558767755288761,1,0.119047,0,0,1
10,921.673,1,50,10.0,0.1,5,1,0.1783786937164944,1,700.67,1,1215.655,1,1237.353,1,944.096,0,1800.038,Inf,0.42364407325785086,1,0.128658,0,0,1
10,1801.251,1,50,10.0,1.0,1,0,0.5520229984934811,0,1800.191,0,1800.292,0,1800.524,0,1800.493,0,1800.055,0.5804215922326932,0.6558767097363422,1,0.124733,0,0,1
10,1800.743,1,50,10.0,1.0,5,0,0.18805076718664832,0,1800.448,0,1800.462,0,1800.475,0,1801.403,0,1800.058,0.20714613735327342,0.4144074771875594,1,0.282042,0,0,1
10,0.014,2,50,10.0,0.1,1,1,0.4397914264701337,1,0.021,1,0.014,1,0.016,1,0.013,1,4.862,0.439791463034017,0.5588955699154206,1,0.037413999999999996,0,1,1
10,3.965,2,50,10.0,0.1,5,1,0.06446303612227391,1,3.885,1,8.044,1,7.712,1,3.768,1,36.174,0.06446310088589995,0.23877270340455226,1,0.057224,0,1,1
10,1800.438,2,50,10.0,1.0,1,0,0.24914722062431882,0,1800.442,0,1800.047,0,1800.116,0,1800.247,0,1800.019,Inf,0.36936475663018375,1,0.10026099999999999,0,0,1
10,1800.175,2,50,10.0,1.0,5,0,0.03734936127333269,0,1800.4,0,1800.292,0,1800.799,0,1800.612,0,1800.048,0.04403599744524578,0.08381320550932517,1,0.21823099999999998,0,0,1
10,118.375,3,50,10.0,0.1,1,1,0.6417043882144098,1,127.943,0,1800.02,0,1800.059,1,116.259,0,1800.001,Inf,0.68488980232796,1,0.245562,0,0,1
10,351.071,3,50,10.0,0.1,5,1,0.30951926984599853,1,269.01,1,488.108,1,497.573,1,341.151,0,1800.023,Inf,0.5913337735506767,1,0.210148,0,0,1
10,1801.032,3,50,10.0,1.0,1,0,0.6417043882144046,0,1800.947,0,1800.625,0,1801.364,0,1801.07,0,1800.058,0.6723947755155181,0.6848900163623498,1,0.199678,0,0,1
10,1800.388,3,50,10.0,1.0,5,0,0.3122603352672507,0,1800.564,0,1801.34,0,1800.398,0,1801.738,0,1800.022,0.4783451705549292,0.5911585505743446,1,0.156302,0,0,1
15,1800.169,1,75,15.0,0.1,1,0,0.5772115960594669,0,1800.161,0,1800.177,0,1800.341,0,1800.143,0,1800.098,Inf,0.6394205766839364,1,0.225331,0,0,1
15,1800.372,1,75,15.0,0.1,5,0,0.20948690195682904,0,1800.132,0,1800.749,0,1800.403,0,1800.284,0,1800.093,Inf,0.3595472067373962,1,0.422684,0,0,1
15,1801.798,1,75,15.0,1.0,1,0,0.5763401692151164,0,1800.44,0,1800.638,0,1800.43,0,1801.189,0,1800.011,0.6072334510384014,0.6393471118585634,1,0.6597919999999999,0,0,1
15,1801.897,1,75,15.0,1.0,5,0,0.23784538369698216,0,1801.04,0,1801.387,0,1800.357,0,1801.331,0,1800.043,0.2837260612909871,0.3561400964373284,1,0.495623,0,0,1
15,0.531,2,75,15.0,0.1,1,1,0.42903579892727406,1,0.549,1,0.82,1,0.872,1,0.515,1,100.491,0.4290358323355128,0.6077011498396203,1,0.196757,0,1,1
15,797.97,2,75,15.0,0.1,5,1,0.06590296722974101,1,560.032,1,1153.421,1,1182.108,1,778.062,0,1800.054,Inf,0.33430825579080475,1,0.060257,0,0,1
15,1800.265,2,75,15.0,1.0,1,0,0.6931471805599453,0,1800.046,0,1800.64,0,1801.758,0,1800.988,0,1800.083,Inf,0.5650529633089092,1,0.364631,1,0,0
15,1801.248,2,75,15.0,1.0,5,0,0.06050552946342021,0,1800.018,0,1800.278,0,1800.525,0,1801.602,0,1800.061,Inf,0.2194004712548912,1,0.6778989999999999,0,0,1
15,1800.492,3,75,15.0,0.1,1,0,0.6931471805599453,0,1800.007,0,1800.011,0,1800.07,0,1800.598,0,1800.07,Inf,0.6859561689803714,1,0.48693,1,0,0
15,1800.057,3,75,15.0,0.1,5,0,0.6931471805599453,0,1800.077,0,1800.048,0,1800.011,0,1800.314,0,1800.044,Inf,0.593716778873702,1,0.6549539999999999,1,0,0
15,1801.194,3,75,15.0,1.0,1,0,0.6445749444342167,0,1801.066,0,1800.284,0,1800.044,0,1802.108,0,1800.046,0.6791495908854592,0.6859560712287436,1,0.522829,0,0,1
15,1803.62,3,75,15.0,1.0,5,0,0.32187527047884956,0,1806.571,0,1803.8,0,1800.885,0,1803.137,0,1800.002,0.5217497056060362,0.5937167609373267,1,0.511199,0,0,1
20,1801.324,1,100,20.0,0.1,1,0,0.6931471805599454,0,1800.23,0,1800.021,0,1800.169,0,1800.03,0,1800.21,Inf,0.662421691499305,1,1.531975,1,0,0
