seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
7,60,5781.0,-1.9209217835213084,2.2733890232317813,OPTIMAL,63,9,9,37,11
7,60,7030.0,-1.9209217835213084,1.5593056361907196,OPTIMAL,78,7,0,36,17
7,60,7207.0,-1.5751169850491857,1.5593056361907196,OPTIMAL,138,10,0,33,6
7,60,7346.0,-1.5751169850491857,1.4744325626279333,OPTIMAL,149,6,0,36,20
7,60,7486.0,-1.4674342204505575,1.4744325626279333,OPTIMAL,210,13,0,34,3
7,60,7602.0,-1.4674342204505575,1.462500602363388,OPTIMAL,219,0,0,36,19
7,60,7658.0,-1.4547528607688507,1.462500602363388,OPTIMAL,267,17,0,31,9
7,60,7798.0,-1.4547528607688507,1.462500602363388,OPTIMAL,280,3,0,36,21
7,60,7941.0,-1.4435419217497159,1.462500602363388,OPTIMAL,336,11,0,33,8
7,60,8093.0,-1.4435419217497159,1.462500602363388,OPTIMAL,349,2,0,35,22
7,60,8158.0,-1.3980919379513872,1.462500602363388,OPTIMAL,401,13,0,27,16
7,60,8280.0,-1.3980919379513872,1.1265845385870692,OPTIMAL,414,1,0,34,20
7,60,8336.0,-1.2614484276040447,1.1265845385870692,OPTIMAL,467,11,0,32,13
7,60,8451.0,-1.2614484276040447,1.1265845385870692,OPTIMAL,477,0,0,30,22
7,60,8499.0,-1.2614484276040447,1.1265845385870692,OPTIMAL,527,12,0,36,4
7,60,8619.0,-1.2614484276040447,0.883240745733687,OPTIMAL,539,1,0,33,23
7,60,8674.0,-1.1140820944748144,0.883240745733687,OPTIMAL,585,10,0,29,8
7,60,8796.0,-1.1140820944748144,0.883240745733687,OPTIMAL,600,3,0,32,21
7,60,8829.0,-1.0909238974034337,0.883240745733687,OPTIMAL,642,8,0,30,8
7,60,8950.0,-1.0909238974034337,0.6045262060463988,OPTIMAL,661,3,0,31,24
7,60,9024.0,-0.9701651596604324,0.6045262060463988,OPTIMAL,710,12,0,29,12
7,60,9158.0,-0.9701651596604324,0.4335061526425107,OPTIMAL,725,3,0,29,29
7,60,9258.0,-0.8407261296447525,0.4335061526425107,OPTIMAL,792,6,0,47,11
7,60,9376.0,-0.8407261296447525,-0.03960489416894197,OPTIMAL,814,2,0,32,31
7,60,9428.0,-0.5573539762623554,-0.03960489416894197,OPTIMAL,875,8,0,40,13
7,60,9548.0,-0.5573539762623554,-0.21043149335285904,OPTIMAL,895,4,0,34,33
7,60,9570.0,-0.4764118761417713,-0.21043149335285904,OPTIMAL,933,8,0,28,1
7,60,9714.0,-0.4764118761417713,-0.21800115058273084,OPTIMAL,967,1,0,42,43
7,60,9736.0,-0.4645888342362615,-0.21800115058273084,OPTIMAL,1006,6,0,24,14
7,60,9852.0,-0.4645888342362615,-0.21800115058273084,OPTIMAL,1028,1,0,43,47
7,60,9873.0,-0.46365299210851596,-0.21800115058273084,OPTIMAL,1069,2,0,25,12
7,60,9973.0,-0.46365299210851596,-0.22968263064597166,OPTIMAL,1083,1,0,33,33
7,60,10003.0,-0.4401453934442339,-0.22968263064597166,OPTIMAL,1133,2,0,40,4
7,60,10076.0,-0.4401453934442339,-0.22991050271455477,OPTIMAL,1143,0,0,32,32
7,60,10090.0,-0.43579120469720284,-0.22991050271455477,OPTIMAL,1170,1,0,22,28
7,60,10183.0,-0.43579120469720284,-0.2327657621845302,OPTIMAL,1185,0,0,31,31
7,60,10196.0,-0.4209244893919106,-0.2327657621845302,OPTIMAL,1217,3,0,24,1
7,60,10288.0,-0.4209244893919106,-0.2390404760204552,OPTIMAL,1235,0,0,32,32
7,60,10299.0,-0.37201367494671894,-0.2390404760204552,OPTIMAL,1263,3,0,20,3
7,60,10390.0,-0.37201367494671894,-0.2390404760204552,OPTIMAL,1278,0,0,29,32
7,60,10402.0,-0.3597713911435436,-0.2390404760204552,OPTIMAL,1310,2,0,25,1
7,60,10497.0,-0.3597713911435436,-0.2415178843790307,OPTIMAL,1331,0,0,31,37
7,60,10506.0,-0.3352481828165526,-0.2415178843790307,OPTIMAL,1358,3,0,19,2
7,60,10573.0,-0.3352481828165526,-0.2644682407026331,OPTIMAL,1373,0,0,29,35
7,60,10585.0,-0.31339020633090586,-0.2644682407026331,OPTIMAL,1410,2,0,26,1
7,60,10661.0,-0.31339020633090586,-0.2666921243773805,OPTIMAL,1426,0,0,31,33
7,60,10671.0,-0.3098572731309271,-0.2666921243773805,OPTIMAL,1454,1,0,17,7
7,60,10750.0,-0.3098572731309271,-0.2833124986264348,OPTIMAL,1470,0,0,30,33
7,60,10763.0,-0.3098572731309271,-0.2833124986264348,OPTIMAL,1505,1,0,22,6
