seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,sizeActiveSet,sizeDiscardedSet
1,5,1476.0,-7.3851834497032725,-6.7539029042573215,Optimal (tolerance reached),25,7,7,3,1
1,5,2584.0,-7.3851834497032725,-6.753903086893354,Optimal (tolerance reached),45,4,0,6,1
1,5,2684.0,-7.298326319267698,-6.753903086893354,Optimal (tolerance reached),63,4,0,9,0
1,5,2793.0,-7.298326319267698,-6.753903218587837,Optimal (tolerance reached),82,4,0,8,2
1,5,2916.0,-7.282133741319978,-6.753903218587837,Optimal (tolerance reached),100,5,0,8,0
1,5,3018.0,-7.282133741319978,-6.753903218587837,Optimal (tolerance reached),117,5,0,7,3
1,5,3116.0,-7.22449325694475,-6.753903218587837,Optimal (tolerance reached),133,5,0,11,1
1,5,3211.0,-7.22449325694475,-6.753903218587837,Optimal (tolerance reached),149,1,0,5,2
1,5,3307.0,-7.208975689241098,-6.753903218587837,Optimal (tolerance reached),165,1,0,6,1
1,5,3403.0,-7.208975689241098,-6.753903218587837,Optimal (tolerance reached),181,0,0,9,3
1,5,3505.0,-7.181099966653346,-6.753903218587837,Optimal (tolerance reached),196,0,0,5,1
1,5,3612.0,-7.181099966653346,-6.753903218587837,Optimal (tolerance reached),213,0,0,8,1
1,5,3713.0,-7.166121658340563,-6.753903218587837,Optimal (tolerance reached),229,1,0,3,1
1,5,3808.0,-7.166121658340563,-6.753903218587837,Optimal (tolerance reached),244,0,0,9,4
1,5,3919.0,-7.152918946616156,-6.753903218587837,Optimal (tolerance reached),262,1,0,11,3
1,5,4022.0,-7.152918946616156,-6.753903218587837,Optimal (tolerance reached),279,1,0,2,1
1,5,4126.0,-7.136013635219719,-6.753903218587837,Optimal (tolerance reached),295,3,0,8,1
1,5,4222.0,-7.136013635219719,-6.753903218587837,Optimal (tolerance reached),309,1,0,6,1
1,5,4339.0,-7.109345615157249,-6.753903218587837,Optimal (tolerance reached),328,3,0,7,1
1,5,4439.0,-7.109345615157249,-6.753903218587837,Optimal (tolerance reached),344,3,0,3,1
1,5,4537.0,-7.106712042841445,-6.753903218587837,Optimal (tolerance reached),360,5,0,8,1
1,5,4635.0,-7.106712042841445,-6.753903218587837,Optimal (tolerance reached),376,3,0,4,2
1,5,4747.0,-7.0921697107406505,-6.753903218587837,Optimal (tolerance reached),394,5,0,6,1
1,5,4857.0,-7.0921697107406505,-6.753903218587837,Optimal (tolerance reached),411,3,0,7,6
1,5,4976.0,-7.089020868916916,-6.753903218587837,Optimal (tolerance reached),430,6,0,12,0
1,5,5075.0,-7.089020868916916,-6.753903218587837,Optimal (tolerance reached),446,3,0,2,0
1,5,5157.0,-7.080571251736919,-6.753903218587837,Optimal (tolerance reached),459,6,0,6,0
