time_boscia,seed,n0,m0,M,solution_boscia,termination_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_loc_ti,time_loc_ti,rel_gap_loc_ti,termination_gl_ti,time_gl_ti,rel_gap_gl_ti,termination_no_ti,time_no_ti,rel_gap_no_ti,termination_scip,solution_scip,time_scip,optimal_scip,optimal_boscia,rel_gap_scip
6.116,1,5,50,20.0,3.7832568240600732,1,3.7832390718503546,4.692330931649632e-6,1,5.399,0.004806493418966238,1,9.203,0.00026029094280157714,1,10.32,4.692330931649632e-6,1,4.897,0.0034042716732681695,1,8.739,4.692330931649632e-6,1,5.267,4.692330931649632e-6,1,5.265,4.692330931649632e-6,1,3.7832573065712234,1.262996,1,1,0.0
5.656,2,5,50,20.0,5.452331495095906,1,5.4265093936945705,0.004758510402900909,1,4.483,6.062475067950272e-7,1,6.574,1.634758189772728e-6,1,4.868,0.0010303514146345171,1,5.006,1.634758189772728e-6,1,5.3,0.004758510402900909,1,5.497,0.004758510402900909,1,5.498,0.004758510402900909,1,5.452331803971415,0.030688999999999998,1,1,0.005
3.607,3,5,50,20.0,2.951593366334075,1,2.9515781028442083,5.1712979751347595e-6,1,6.935,1.9306236448968245e-6,1,5.073,5.1712979751347595e-6,1,6.175,5.1712979751347595e-6,1,6.412,5.1712979751347595e-6,1,3.372,5.1712979751347595e-6,1,3.484,5.1712979751347595e-6,1,3.725,5.1712979751347595e-6,1,2.9515934583615535,0.027984,1,1,0.0
5.388,4,5,50,20.0,2.7602201258493935,1,2.760208490833941,4.215266886926962e-6,1,6.921,1.973395777101635e-6,1,5.711,4.215266886926962e-6,1,12.358,4.215266886926962e-6,1,6.568,4.215266886926962e-6,1,5.058,4.215266886926962e-6,1,5.226,4.215266886926962e-6,1,5.595,4.215266886926962e-6,1,2.760220304935033,0.032256,1,1,0.0
5.317,5,5,50,20.0,2.7548417925382047,1,2.7548354343877977,2.307996451509541e-6,1,3.426,0.0013208557985427295,1,9.395,0.003720142467088435,1,4.752,0.0008454458362210923,1,5.365,2.307996451509541e-6,1,5.148,2.307996451509541e-6,1,5.167,2.307996451509541e-6,1,5.534,2.307996451509541e-6,1,2.7548420253441623,0.028516,1,1,0.0
6.57,6,5,50,20.0,1.893835835268943,1,1.893827063337497,4.631854521418994e-6,1,4.094,3.0984306364102456e-6,1,8.241,4.631854521418994e-6,1,4.494,4.631854521418994e-6,1,10.88,4.631854521418994e-6,1,6.232,4.631854521418994e-6,1,6.45,4.631854521418994e-6,1,6.659,4.631854521418994e-6,1,1.8938361884222343,0.031728,1,1,0.0
5.923,7,5,50,20.0,1.7685158153348035,1,1.7685092887999319,3.6904159412600073e-6,1,6.687,2.0873817051308557e-6,1,6.127,3.6904159412600073e-6,1,5.179,3.6904159412600073e-6,1,5.882,3.6904159412600073e-6,1,5.535,3.6904159412600073e-6,1,5.761,3.6904159412600073e-6,1,5.737,3.6904159412600073e-6,1,1.7685158765071918,0.03023,1,1,0.0
0.55,8,5,50,20.0,6.916214432417929,1,6.852128177494399,0.009352751913488605,1,1.786,0.00863489293461165,1,0.542,0.009836482953258858,1,0.544,0.009836482953258858,1,0.524,0.009352751913488605,1,0.54,0.009352751913488605,1,0.547,0.009352751913488605,1,0.541,0.009352751913488605,1,6.854426204476633,0.031671,1,1,0.0
7.323,9,5,50,20.0,1.1585655366644907,1,1.1585555179025098,8.647632181720262e-6,1,1.602,4.4097385346972256e-6,1,4.044,8.647632181720262e-6,1,4.236,8.647632181720262e-6,1,4.101,8.647632181720262e-6,1,6.807,8.647632181720262e-6,1,7.117,8.647632181720262e-6,1,7.135,8.647632181720262e-6,1,1.1585655912205528,0.031715,1,1,0.0
8.683,10,5,50,20.0,4.333125343194689,1,4.3331180261324835,1.6886367186163224e-6,1,13.155,0.006031934377092723,1,5.004,0.0023485224035361754,1,6.885,0.0023485224035361754,1,11.895,0.00903400569290653,1,8.104,1.6886367186163224e-6,1,8.427,1.6886367186163224e-6,1,8.477,1.6886367186163224e-6,1,4.333125842458574,0.030948999999999997,1,1,0.0
16.897,1,6,60,20.0,5.461960938639965,1,5.3596701850613675,0.019085270183920193,1,22.727,0.00042625324066098135,1,35.06,2.2301621443100168e-6,1,29.018,2.0345559347115164e-5,1,19.531,0.014402461200966747,1,15.301,0.019085270183920193,1,16.202,0.019085270183920193,1,16.154,0.019085270183920193,1,5.461865668714659,0.050647,1,1,0.019
13.895,2,6,60,20.0,3.047681195692938,1,3.031907838677286,0.005202452665095956,1,10.646,0.02220439213909534,1,21.011,0.03728837607543647,1,14.595,0.010573705685835866,1,12.446,0.022308615901738604,1,12.705,0.005202452665095956,1,13.333,0.005202452665095956,1,13.408,0.005202452665095956,1,3.0476814179516745,0.07104099999999999,1,1,0.005
6.725,3,6,60,20.0,2.8841788118660294,1,2.884164016553036,5.129844526353685e-6,1,10.116,3.825371696367303e-6,1,17.019,5.129844526353685e-6,1,13.511,5.129844526353685e-6,1,7.791,5.129844526353685e-6,1,6.143,5.129844526353685e-6,1,6.533,5.129844526353685e-6,1,6.471,5.129844526353685e-6,1,2.884178971657188,0.050699999999999995,1,1,0.0
12.434,4,6,60,20.0,3.7350558456147525,1,3.7325904020709295,0.0006605181062607502,1,7.637,0.03460710267844099,1,10.342,0.0006605181062607502,1,15.944,0.0006605181062607502,1,9.343,0.006349488135825018,1,11.039,0.0006605181062607502,1,11.692,0.0006605181062607502,1,11.721,0.0006605181062607502,1,3.733850308613328,0.066716,1,1,0.0
