dimension,M,varA,timeBoscia,terminationBoscia,timeScip,terminationScip,timeNoWs,terminationNoWs,timeNoAs,terminationNoAs,timeNoSs,terminationNoSs,timeAfw,terminationAfw,optimalBoscia,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection,BosciaGeoMeanIntersectionSolvers,ScipGeoMeanIntersectionSolvers
10,0.1,1,0,5,22,5,1,5,1,5,0,5,0,5,5,5,5,100,100,100,100,100,100,0,1,1,0,0,0,22
10,0.1,5,0,5,24,5,175,5,189,5,0,5,0,5,5,5,5,100,100,100,100,100,100,0,175,189,0,0,0,24
10,1.0,1,1,5,39,5,3,5,3,5,1,5,1,5,5,5,5,100,100,100,100,100,100,1,3,3,1,1,1,39
10,1.0,5,1,5,38,5,950,2,877,2,1,5,1,5,5,5,5,100,100,40,40,100,100,1,364,298,1,1,1,38
15,0.1,1,1,5,305,5,5,5,5,5,1,5,1,5,5,5,5,100,100,100,100,100,100,1,5,5,1,1,1,305
15,0.1,5,1,5,311,5,173,5,175,5,1,5,1,5,5,5,5,100,100,100,100,100,100,1,173,175,1,1,1,311
15,1.0,1,1,5,519,5,3,5,3,5,1,5,1,5,5,5,5,100,100,100,100,100,100,1,3,3,1,1,1,519
15,1.0,5,1,5,485,5,508,3,337,4,1,5,2,5,5,5,5,100,100,60,80,100,100,1,219,185,1,2,1,485
20,0.1,1,1,5,1800,0,9,5,9,5,1,5,1,5,5,0,5,100,0,100,100,100,100,1,9,9,1,1,,
20,0.1,5,1,5,1800,0,217,5,217,5,1,5,1,5,5,0,5,100,0,100,100,100,100,1,217,217,1,1,,
20,1.0,1,2,5,1800,0,6,5,6,5,2,5,2,5,5,0,5,100,0,100,100,100,100,2,6,6,2,2,,
20,1.0,5,2,5,1800,0,458,4,437,4,2,5,3,5,5,0,5,100,0,80,80,100,100,2,325,307,2,3,,
25,0.1,1,2,5,1800,0,18,5,18,5,2,5,1,5,5,0,5,100,0,100,100,100,100,2,18,18,2,1,,
25,0.1,5,2,5,1800,0,502,4,519,4,2,5,2,5,5,0,5,100,0,80,80,100,100,2,365,380,2,2,,
25,1.0,1,3,5,1800,0,8,5,8,5,3,5,3,5,5,0,5,100,0,100,100,100,100,3,8,8,3,3,,
25,1.0,5,3,5,1800,0,809,3,851,3,3,5,4,5,5,0,5,100,0,60,60,100,100,3,475,516,3,4,,
30,0.1,1,3,5,1800,0,21,5,22,5,3,5,2,5,5,0,5,100,0,100,100,100,100,3,21,22,3,2,,
30,1.0,1,4,5,1800,0,12,5,13,5,3,5,4,5,5,0,5,100,0,100,100,100,100,4,12,13,3,4,,
30,0.1,5,3,5,1800,0,772,4,771,4,3,5,7,5,5,0,5,100,0,80,80,100,100,3,624,624,3,9,,
30,1.0,5,4,5,1800,0,977,2,1000,2,4,5,5,5,5,0,5,100,0,40,40,100,100,4,391,414,4,5,,
