seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
4,9,171.0,-7.756384814894651,-6.214152948174846,Optimal (tolerance reached),33,2,2,2
4,9,364.0,-7.756384814894651,-6.214152948174846,Optimal (tolerance reached),69,3,0,0
4,9,588.0,-7.585207956919647,-6.2141532679399685,Optimal (tolerance reached),112,4,0,0
4,9,809.0,-7.585207956919647,-6.2141532679399685,Optimal (tolerance reached),151,5,1,0
4,9,1050.0,-7.547417902999719,-6.214153738477048,Optimal (tolerance reached),194,6,1,0
4,9,1291.0,-7.547417902999719,-6.214153738477048,Optimal (tolerance reached),237,7,1,0
4,9,1531.0,-7.420886671562027,-6.214153738477048,Optimal (tolerance reached),283,8,1,0
4,9,1738.0,-7.420886671562027,-6.214153738477048,Optimal (tolerance reached),319,9,0,0
4,9,1990.0,-7.383309367826694,-6.214153738477048,Optimal (tolerance reached),366,10,1,0
4,9,2196.0,-7.383309367826694,-6.214153738477048,Optimal (tolerance reached),404,11,0,0
4,9,2435.0,-7.369103361032742,-6.214153738477048,Optimal (tolerance reached),449,12,2,0
4,9,2623.0,-7.369103361032742,-6.214153738477048,Optimal (tolerance reached),482,13,1,0
4,9,2840.0,-7.331111357661973,-6.214153738477048,Optimal (tolerance reached),524,14,2,0
4,9,3011.0,-7.331111357661973,-6.214153738477048,Optimal (tolerance reached),558,15,1,0
4,9,3205.0,-7.2929939644132595,-6.214153738477048,Optimal (tolerance reached),599,16,2,0
4,9,3400.0,-7.2929939644132595,-6.214154013254339,Optimal (tolerance reached),635,17,1,0
4,9,3593.0,-7.256314418789035,-6.214154013254339,Optimal (tolerance reached),676,18,3,0
4,9,3810.0,-7.256314418789035,-6.214154013254339,Optimal (tolerance reached),718,19,2,0
4,9,4044.0,-7.243341446951257,-6.214154013254339,Optimal (tolerance reached),766,20,4,0
4,9,4252.0,-7.243341446951257,-6.214154013254339,Optimal (tolerance reached),806,21,1,0
4,9,4479.0,-7.206525243211855,-6.214154013254339,Optimal (tolerance reached),852,22,3,0
4,9,4665.0,-7.206525243211855,-6.214154013254339,Optimal (tolerance reached),887,23,1,0
4,9,4865.0,-7.169662458114407,-6.214154013254339,Optimal (tolerance reached),930,24,4,0
4,9,5049.0,-7.169662458114407,-6.214154013254339,Optimal (tolerance reached),963,25,1,0
4,9,5270.0,-7.157597710793347,-6.214154013254339,Optimal (tolerance reached),1009,26,4,0
4,9,5501.0,-7.157597710793347,-6.214154013254339,Optimal (tolerance reached),1054,27,2,0
4,9,5680.0,-7.131768789612257,-6.214154013254339,Optimal (tolerance reached),1087,28,4,0
4,9,5908.0,-7.131768789612257,-6.214154013254339,Optimal (tolerance reached),1127,29,1,0
4,9,6119.0,-7.120617352889721,-6.214154013254339,Optimal (tolerance reached),1170,30,3,0
4,9,6282.0,-7.120617352889721,-6.214154013254339,Optimal (tolerance reached),1200,31,1,0
4,9,6501.0,-7.11898419201006,-6.214154013254339,Optimal (tolerance reached),1244,32,3,0
4,9,6690.0,-7.11898419201006,-6.214154013254339,Optimal (tolerance reached),1278,33,1,0
4,9,6911.0,-7.104968405790535,-6.214154013254339,Optimal (tolerance reached),1322,34,3,0
4,9,7098.0,-7.104968405790535,-6.214154013254339,Optimal (tolerance reached),1356,35,2,0
4,9,7274.0,-7.082214482089976,-6.214154013254339,Optimal (tolerance reached),1391,36,3,0
4,9,7477.0,-7.082214482089976,-6.214154013254339,Optimal (tolerance reached),1428,37,2,0
4,9,7668.0,-7.069816242118493,-6.214154013254339,Optimal (tolerance reached),1466,38,4,0
4,9,7847.0,-7.069816242118493,-6.214154013254339,Optimal (tolerance reached),1499,39,2,0
4,9,8043.0,-7.061912821611769,-6.214154013254339,Optimal (tolerance reached),1540,40,3,0
4,9,8283.0,-7.061912821611769,-6.214154013254339,Optimal (tolerance reached),1583,41,4,0
4,9,8454.0,-7.032064164996685,-6.214154013254339,Optimal (tolerance reached),1620,42,2,0
4,9,8662.0,-7.032064164996685,-6.214154013254339,Optimal (tolerance reached),1656,43,2,0
