seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes
2,16,1,80,16.0,1,90.0,0.5848577015574556,0.6931471805599453,Time limit reached,31,2
2,16,1,80,16.0,1,182.0,0.5848577015574556,0.6931471805599453,Time limit reached,61,3
2,16,1,80,16.0,1,294.0,0.5880158853097093,0.6931471805599453,Time limit reached,94,4
2,16,1,80,16.0,1,487.0,0.5880158853097093,0.6931471805599453,Time limit reached,148,5
2,16,1,80,16.0,1,608.0,0.5898907740111663,0.6931471805599453,Time limit reached,188,6
2,16,1,80,16.0,1,757.0,0.5898907740111663,0.6931471805599453,Time limit reached,237,7
2,16,1,80,16.0,1,899.0,0.5903241134010895,0.6931471805599453,Time limit reached,283,8
2,16,1,80,16.0,1,1079.0,0.5903241134010895,0.6931471805599453,Time limit reached,336,9
2,16,1,80,16.0,1,1240.0,0.5903241134010895,0.6931471805599453,Time limit reached,380,10
2,16,1,80,16.0,1,1420.0,0.5903241134010895,0.6931471805599453,Time limit reached,439,11
2,16,1,80,16.0,1,1543.0,0.5906877801963433,0.6931471805599453,Time limit reached,478,12
2,16,1,80,16.0,1,1757.0,0.5906877801963433,0.6931471805599453,Time limit reached,542,13
2,16,1,80,16.0,1,1936.0,0.5910686590414211,0.6931471805599453,Time limit reached,591,14
2,16,1,80,16.0,1,2099.0,0.5910686590414211,0.6931471805599453,Time limit reached,645,15
2,16,1,80,16.0,1,2256.0,0.5912601320599666,0.6931471805599453,Time limit reached,697,16
2,16,1,80,16.0,1,2441.0,0.5912601320599666,0.6931471805599453,Time limit reached,755,17
2,16,1,80,16.0,1,2645.0,0.5916028533755929,0.6931471805599453,Time limit reached,814,18
2,16,1,80,16.0,1,2847.0,0.5916028533755929,0.6931471805599453,Time limit reached,880,19
2,16,1,80,16.0,1,3025.0,0.5920288866851794,0.6931471805599453,Time limit reached,933,20
2,16,1,80,16.0,1,3309.0,0.5920288866851794,0.6931471805599453,Time limit reached,1009,21
2,16,1,80,16.0,1,3488.0,0.5928073134966707,0.6931471805599453,Time limit reached,1063,22
2,16,1,80,16.0,1,3728.0,0.5928073134966707,0.6931471805599453,Time limit reached,1133,23
2,16,1,80,16.0,1,3974.0,0.5928934417828664,0.6931471805599453,Time limit reached,1196,24
2,16,1,80,16.0,1,4304.0,0.5928934417828664,0.6931471805599453,Time limit reached,1289,25
2,16,1,80,16.0,1,4594.0,0.5930372220065262,0.6931471805599453,Time limit reached,1361,26
2,16,1,80,16.0,1,4773.0,0.5930372220065262,0.6931471805599453,Time limit reached,1419,27
2,16,1,80,16.0,1,4958.0,0.5930372220065262,0.6931471805599453,Time limit reached,1478,28
2,16,1,80,16.0,1,5195.0,0.5930372220065262,0.6931471805599453,Time limit reached,1542,29
2,16,1,80,16.0,1,5391.0,0.593316019030924,0.6931471805599453,Time limit reached,1607,30
2,16,1,80,16.0,1,5720.0,0.593316019030924,0.6931471805599453,Time limit reached,1697,31
2,16,1,80,16.0,1,6043.0,0.5934154780176704,0.6931471805599453,Time limit reached,1776,32
2,16,1,80,16.0,1,6219.0,0.5934154780176704,0.6931471805599453,Time limit reached,1831,33
2,16,1,80,16.0,1,6408.0,0.5934154780176704,0.6931471805599453,Time limit reached,1886,34
2,16,1,80,16.0,1,6594.0,0.5934154780176704,0.6931471805599453,Time limit reached,1946,35
2,16,1,80,16.0,1,6761.0,0.5935626287677235,0.6931471805599453,Time limit reached,2000,36
2,16,1,80,16.0,1,7161.0,0.5935626287677235,0.6931471805599453,Time limit reached,2100,37
2,16,1,80,16.0,1,7575.0,0.5936339563435132,0.6931471805599453,Time limit reached,2191,38
2,16,1,80,16.0,1,8023.0,0.5936339563435132,0.6931471805599453,Time limit reached,2298,39
2,16,1,80,16.0,1,8524.0,0.59371042877931,0.6931471805599453,Time limit reached,2401,40
2,16,1,80,16.0,1,8672.0,0.59371042877931,0.6931471805599453,Time limit reached,2450,41
2,16,1,80,16.0,1,8843.0,0.59371042877931,0.6931471805599453,Time limit reached,2505,42
2,16,1,80,16.0,1,9022.0,0.59371042877931,0.6931471805599453,Time limit reached,2560,43
2,16,1,80,16.0,1,9231.0,0.593758831417991,0.6931471805599453,Time limit reached,2617,44
2,16,1,80,16.0,1,9410.0,0.593758831417991,0.6931471805599453,Time limit reached,2676,45
2,16,1,80,16.0,1,9588.0,0.5938474818895015,0.6931471805599453,Time limit reached,2732,46
2,16,1,80,16.0,1,10157.0,0.5938474818895015,0.6931471805599453,Time limit reached,2843,47
2,16,1,80,16.0,1,10868.0,0.5938770958519108,0.6931471805599453,Time limit reached,2961,48
2,16,1,80,16.0,1,11092.0,0.5938770958519108,0.6931471805599453,Time limit reached,3027,49
2,16,1,80,16.0,1,11313.0,0.5939875798352968,0.6931471805599453,Time limit reached,3093,50
2,16,1,80,16.0,1,11515.0,0.5939875798352968,0.6931471805599453,Time limit reached,3154,51
2,16,1,80,16.0,1,11718.0,0.5940004491290203,0.6931471805599453,Time limit reached,3213,52
2,16,1,80,16.0,1,12394.0,0.5940004491290203,0.6931471805599453,Time limit reached,3327,53
2,16,1,80,16.0,1,13617.0,0.5940308943616193,0.6931471805599453,Time limit reached,3471,54
2,16,1,80,16.0,1,14553.0,0.5940308943616193,0.6931471805599453,Time limit reached,3585,55
2,16,1,80,16.0,1,17757.0,0.5940863275655098,0.6931471805599453,Time limit reached,3721,56
2,16,1,80,16.0,1,17949.0,0.5940863275655098,0.6931471805599453,Time limit reached,3781,57
2,16,1,80,16.0,1,18156.0,0.5941366649856303,0.6931471805599453,Time limit reached,3841,58
2,16,1,80,16.0,1,18326.0,0.5941366649856303,0.6931471805599453,Time limit reached,3897,59
2,16,1,80,16.0,1,18542.0,0.5941527784614611,0.6931471805599453,Time limit reached,3967,60
2,16,1,80,16.0,1,18751.0,0.5941527784614611,0.6931471805599453,Time limit reached,4030,61
2,16,1,80,16.0,1,18979.0,0.5941606996040061,0.6931471805599453,Time limit reached,4098,62
2,16,1,80,16.0,1,19223.0,0.5941606996040061,0.6931471805599453,Time limit reached,4174,63
2,16,1,80,16.0,1,19477.0,0.5941891533630492,0.6931471805599453,Time limit reached,4247,64
2,16,1,80,16.0,1,19711.0,0.5941891533630492,0.6931471805599453,Time limit reached,4316,65
2,16,1,80,16.0,1,19935.0,0.5941925687533616,0.6931471805599453,Time limit reached,4386,66
2,16,1,80,16.0,1,22377.0,0.5941925687533616,0.6931471805599453,Time limit reached,4457,67
2,16,1,80,16.0,1,22518.0,0.5942018809020376,0.6167588336841492,Time limit reached,4505,66
2,16,1,80,16.0,1,22719.0,0.5942018809020376,0.6167588336841492,Time limit reached,4567,67
2,16,1,80,16.0,1,22935.0,0.5942261244396473,0.6167588336841492,Time limit reached,4633,68
2,16,1,80,16.0,1,23171.0,0.5942261244396473,0.6167588336841492,Time limit reached,4702,69
2,16,1,80,16.0,1,23391.0,0.5942418164536364,0.6167588336841492,Time limit reached,4771,70
2,16,1,80,16.0,1,23588.0,0.5942418164536364,0.6167588336841492,Time limit reached,4827,71
2,16,1,80,16.0,1,23786.0,0.5943606346816479,0.6167588336841492,Time limit reached,4885,72
2,16,1,80,16.0,1,23952.0,0.5943606346816479,0.6167588336841492,Time limit reached,4941,73
2,16,1,80,16.0,1,24133.0,0.5943756185315304,0.6167588336841492,Time limit reached,4999,74
2,16,1,80,16.0,1,24343.0,0.5943756185315304,0.6167588336841492,Time limit reached,5062,75
2,16,1,80,16.0,1,24567.0,0.5944642603850162,0.6167588336841492,Time limit reached,5129,76
2,16,1,80,16.0,1,24748.0,0.5944642603850162,0.6167588336841492,Time limit reached,5187,77
2,16,1,80,16.0,1,24944.0,0.5944859442027688,0.6167588336841492,Time limit reached,5249,78
2,16,1,80,16.0,1,25135.0,0.5944859442027688,0.6167588336841492,Time limit reached,5302,79
2,16,1,80,16.0,1,25302.0,0.5944859442027688,0.6167588336841492,Time limit reached,5357,80
2,16,1,80,16.0,1,25492.0,0.5944859442027688,0.6167588336841492,Time limit reached,5416,81
2,16,1,80,16.0,1,25698.0,0.5945123355171189,0.6167588336841492,Time limit reached,5477,82
2,16,1,80,16.0,1,25935.0,0.5945123355171189,0.6167588336841492,Time limit reached,5546,83
2,16,1,80,16.0,1,26165.0,0.594522836753382,0.6167588336841492,Time limit reached,5620,84
2,16,1,80,16.0,1,26411.0,0.594522836753382,0.6167588336841492,Time limit reached,5692,85
2,16,1,80,16.0,1,26668.0,0.594574218010861,0.6167588336841492,Time limit reached,5766,86
2,16,1,80,16.0,1,26839.0,0.594574218010861,0.6167588336841492,Time limit reached,5822,87
2,16,1,80,16.0,1,27007.0,0.594574218010861,0.6167588336841492,Time limit reached,5875,88
2,16,1,80,16.0,1,27209.0,0.594574218010861,0.6167588336841492,Time limit reached,5932,89
2,16,1,80,16.0,1,27378.0,0.594574218010861,0.6167588336841492,Time limit reached,5990,90
2,16,1,80,16.0,1,27572.0,0.594574218010861,0.6167588336841492,Time limit reached,6052,91
2,16,1,80,16.0,1,27788.0,0.594575422903699,0.6167588336841492,Time limit reached,6116,92
2,16,1,80,16.0,1,28056.0,0.594575422903699,0.6167588336841492,Time limit reached,6193,93
2,16,1,80,16.0,1,28291.0,0.5945946394131468,0.6167588336841492,Time limit reached,6265,94
2,16,1,80,16.0,1,28526.0,0.5945946394131468,0.6167588336841492,Time limit reached,6333,95
2,16,1,80,16.0,1,28797.0,0.5946856262325816,0.6167588336841492,Time limit reached,6412,96
2,16,1,80,16.0,1,29061.0,0.5946856262325816,0.6167588336841492,Time limit reached,6489,97
2,16,1,80,16.0,1,29334.0,0.5947071150560309,0.6167588336841492,Time limit reached,6564,98
2,16,1,80,16.0,1,29534.0,0.5947071150560309,0.6167588336841492,Time limit reached,6630,99
2,16,1,80,16.0,1,29755.0,0.5947071150560309,0.6167588336841492,Time limit reached,6692,100
2,16,1,80,16.0,1,29995.0,0.5947071150560309,0.6167588336841492,Time limit reached,6760,101
2,16,1,80,16.0,1,30214.0,0.5947135120721189,0.6167588336841492,Time limit reached,6830,102
2,16,1,80,16.0,1,30424.0,0.5947135120721189,0.6167588336841492,Time limit reached,6893,103
2,16,1,80,16.0,1,30659.0,0.5947397793721582,0.6167588336841492,Time limit reached,6960,104
2,16,1,80,16.0,1,30871.0,0.5947397793721582,0.6167588336841492,Time limit reached,7028,105
2,16,1,80,16.0,1,31148.0,0.5947920481648005,0.6167588336841492,Time limit reached,7102,106
2,16,1,80,16.0,1,31453.0,0.5947920481648005,0.6167588336841492,Time limit reached,7170,107
