seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,30,53.128,-30.51792361937956,-30.038323260270868,OPTIMAL,70,2,0,5
1,30,53.128,-30.51792361937956,-30.038323260270868,OPTIMAL,122,3,0,0
1,30,53.128,-30.499583795739618,-30.038323260270868,OPTIMAL,192,4,0,0
1,30,53.128,-30.499583795739618,-30.038323260270868,OPTIMAL,235,5,0,0
1,30,53.128,-30.49762390234428,-30.038323260270868,OPTIMAL,300,6,0,0
1,30,53.128,-30.49762390234428,-30.038323260270868,OPTIMAL,314,7,0,0
1,30,53.128,-30.497336290697348,-30.038323260270868,OPTIMAL,369,8,0,0
1,30,53.128,-30.497336290697348,-30.038323260270868,OPTIMAL,440,9,0,0
1,30,53.128,-30.47941858499825,-30.038323260270868,OPTIMAL,512,10,0,0
1,30,53.128,-30.47941858499825,-30.038323260270868,OPTIMAL,551,11,0,0
1,30,53.128,-30.47888429581159,-30.148229091749364,OPTIMAL,607,12,0,5
1,30,53.128,-30.47888429581159,-30.148229091749364,OPTIMAL,646,13,0,0
1,30,53.128,-30.4697509426858,-30.148229091749364,OPTIMAL,718,14,0,0
1,30,53.128,-30.4697509426858,-30.148229091749364,OPTIMAL,728,15,0,0
1,30,53.128,-30.4620411765423,-30.148229091749364,OPTIMAL,790,16,0,0
1,30,53.128,-30.4620411765423,-30.148229091749364,OPTIMAL,816,17,0,0
1,30,53.128,-30.45157562602185,-30.148229091749364,OPTIMAL,860,18,0,0
1,30,53.128,-30.45157562602185,-30.148229091749364,OPTIMAL,887,19,0,0
1,30,53.128,-30.44902099295377,-30.148229091749364,OPTIMAL,944,20,0,0
