seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
4,20,100,4.0,364.0,3.713874158752876,4.357964268552613,OPTIMAL,39,2,0,71
4,20,100,4.0,692.0,3.713874158752876,4.357964268552613,OPTIMAL,72,3,0,0
4,20,100,4.0,968.0,3.753133896870515,4.357964268552613,OPTIMAL,105,4,0,0
4,20,100,4.0,1322.0,3.753133896870515,4.357964268552613,OPTIMAL,143,5,0,0
4,20,100,4.0,1682.0,3.775392693909655,4.357964268552613,OPTIMAL,183,6,0,0
4,20,100,4.0,1970.0,3.775392693909655,4.357964268552613,OPTIMAL,209,7,0,0
4,20,100,4.0,2290.0,3.798631342682951,4.357964268552613,OPTIMAL,246,8,0,0
4,20,100,4.0,2528.0,3.798631342682951,4.357964268552613,OPTIMAL,272,9,0,0
4,20,100,4.0,2908.0,3.818994879793305,4.357964268552613,OPTIMAL,310,10,0,0
4,20,100,4.0,3239.0,3.818994879793305,4.357964268552613,OPTIMAL,343,11,0,0
4,20,100,4.0,3623.0,3.835063458952931,4.357964268552613,OPTIMAL,385,12,0,0
4,20,100,4.0,3868.0,3.835063458952931,4.357964268552613,OPTIMAL,412,13,0,0
4,20,100,4.0,4134.0,3.8399000286599057,4.357964268552613,OPTIMAL,440,14,0,0
4,20,100,4.0,4536.0,3.8399000286599057,4.357964268552613,OPTIMAL,482,15,0,0
4,20,100,4.0,4934.0,3.8562858624714975,4.357964268552613,OPTIMAL,525,16,0,0
4,20,100,4.0,5204.0,3.8562858624714975,4.357964268552613,OPTIMAL,553,17,0,0
4,20,100,4.0,5459.0,3.8619497405507794,4.357964268552613,OPTIMAL,585,18,0,0
4,20,100,4.0,5817.0,3.8619497405507794,4.357964268552613,OPTIMAL,617,19,0,0
4,20,100,4.0,6154.0,3.8728223098977232,4.357964268552613,OPTIMAL,657,20,0,0
4,20,100,4.0,6427.0,3.8728223098977232,4.357964268552613,OPTIMAL,685,21,0,0
4,20,100,4.0,6693.0,3.8824430925587383,4.357964268552613,OPTIMAL,717,22,0,0
4,20,100,4.0,7020.0,3.8824430925587383,4.357964268552613,OPTIMAL,751,23,0,0
4,20,100,4.0,7415.0,3.8871289638182445,4.357964268552613,OPTIMAL,793,24,0,0
4,20,100,4.0,7671.0,3.8871289638182445,4.357964268552613,OPTIMAL,819,25,0,0
4,20,100,4.0,7909.0,3.902584661609818,4.333901520251611,OPTIMAL,843,26,0,0
4,20,100,4.0,8314.0,3.902584661609818,4.333901520251611,OPTIMAL,881,27,0,0
4,20,100,4.0,8850.0,3.9028412286863254,4.333901520251611,OPTIMAL,934,28,0,0
4,20,100,4.0,9085.0,3.9028412286863254,4.333901520251611,OPTIMAL,960,29,0,0
4,20,100,4.0,9368.0,3.911833944080903,4.333901520251611,OPTIMAL,991,30,0,0
4,20,100,4.0,9561.0,3.911833944080903,4.333901520251611,OPTIMAL,1011,31,0,0
4,20,100,4.0,9818.0,3.9151976944578264,4.333901520251611,OPTIMAL,1042,32,0,0
4,20,100,4.0,10150.0,3.9151976944578264,4.333901520251611,OPTIMAL,1075,33,0,0
4,20,100,4.0,10489.0,3.9203532165504567,4.333901520251611,OPTIMAL,1114,34,0,0
4,20,100,4.0,10804.0,3.9203532165504567,4.333901520251611,OPTIMAL,1146,35,0,0
4,20,100,4.0,11260.0,3.928309931603233,4.333901520251611,OPTIMAL,1192,36,0,0
4,20,100,4.0,11509.0,3.928309931603233,4.333901520251611,OPTIMAL,1220,37,0,0
4,20,100,4.0,11875.0,3.928389697505717,4.333901520251611,OPTIMAL,1258,38,0,0
4,20,100,4.0,12050.0,3.928389697505717,4.333901520251611,OPTIMAL,1278,39,0,0
4,20,100,4.0,12368.0,3.928862523520798,4.333901520251611,OPTIMAL,1313,40,0,0
4,20,100,4.0,12601.0,3.928862523520798,4.333901520251611,OPTIMAL,1337,41,0,0
4,20,100,4.0,12919.0,3.9377018053381203,4.333901520251611,OPTIMAL,1374,42,0,0
4,20,100,4.0,13302.0,3.9377018053381203,4.333901520251611,OPTIMAL,1412,43,0,0
