seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,9707,190.0,-760.5185292484215,Inf,Time limit reached
1,8,9707,777.0,-760.5185292484215,Inf,Time limit reached
1,8,9707,1230.0,-758.5790303396403,Inf,Time limit reached
1,8,9707,1522.0,-758.5790303396403,Inf,Time limit reached
1,8,9707,1709.0,-756.2483590785131,Inf,Time limit reached
1,8,9707,1954.0,-756.2483590785131,Inf,Time limit reached
1,8,9707,2141.0,-754.3744975616114,Inf,Time limit reached
1,8,9707,2778.0,-754.3744975616114,Inf,Time limit reached
1,8,9707,3392.0,-752.4597707992162,Inf,Time limit reached
1,8,9707,3649.0,-752.4597707992162,Inf,Time limit reached
1,8,9707,3897.0,-752.2224606346152,Inf,Time limit reached
1,8,9707,4160.0,-752.2224606346152,Inf,Time limit reached
1,8,9707,4404.0,-750.9057286755442,Inf,Time limit reached
1,8,9707,4654.0,-750.9057286755442,Inf,Time limit reached
1,8,9707,4909.0,-750.7016262821589,Inf,Time limit reached
1,8,9707,5511.0,-750.7016262821589,Inf,Time limit reached
1,8,9707,5964.0,-750.628320546435,Inf,Time limit reached
1,8,9707,6248.0,-750.628320546435,Inf,Time limit reached
1,8,9707,6497.0,-750.3076505670684,Inf,Time limit reached
1,8,9707,6733.0,-750.3076505670684,Inf,Time limit reached
1,8,9707,6988.0,-748.9145325497362,Inf,Time limit reached
1,8,9707,7639.0,-748.9145325497362,Inf,Time limit reached
1,8,9707,8264.0,-748.4887720857777,Inf,Time limit reached
1,8,9707,8548.0,-748.4887720857777,Inf,Time limit reached
1,8,9707,8741.0,-748.3457197719994,Inf,Time limit reached
1,8,9707,9372.0,-748.3457197719994,Inf,Time limit reached
1,8,9707,9965.0,-747.6011869334518,Inf,Time limit reached
1,8,9707,10608.0,-747.6011869334518,Inf,Time limit reached
1,8,9707,11263.0,-746.9091925145732,Inf,Time limit reached
1,8,9707,11513.0,-746.9091925145732,Inf,Time limit reached
1,8,9707,11762.0,-746.7872449206568,Inf,Time limit reached
1,8,9707,12017.0,-746.7872449206568,Inf,Time limit reached
1,8,9707,12216.0,-746.4305146219019,Inf,Time limit reached
1,8,9707,12464.0,-746.4305146219019,Inf,Time limit reached
1,8,9707,12714.0,-746.2382685943022,Inf,Time limit reached
1,8,9707,12970.0,-746.2382685943022,Inf,Time limit reached
1,8,9707,13213.0,-745.5030826935362,Inf,Time limit reached
1,8,9707,13894.0,-745.5030826935362,Inf,Time limit reached
1,8,9707,14568.0,-745.3951589904308,Inf,Time limit reached
1,8,9707,14869.0,-745.3951589904308,Inf,Time limit reached
1,8,9707,15144.0,-745.3028315533684,Inf,Time limit reached
1,8,9707,15777.0,-745.3028315533684,Inf,Time limit reached
1,8,9707,16419.0,-744.9370212945216,Inf,Time limit reached
1,8,9707,16709.0,-744.9370212945216,Inf,Time limit reached
1,8,9707,16958.0,-744.9333812185807,Inf,Time limit reached
1,8,9707,17591.0,-744.9333812185807,Inf,Time limit reached
1,8,9707,18186.0,-744.786803317261,Inf,Time limit reached
1,8,9707,18476.0,-744.786803317261,Inf,Time limit reached
1,8,9707,18725.0,-744.6454582267971,Inf,Time limit reached
1,8,9707,19000.0,-744.6454582267971,Inf,Time limit reached
1,8,9707,19244.0,-744.6179563676674,Inf,Time limit reached
1,8,9707,19473.0,-744.6179563676674,Inf,Time limit reached
1,8,9707,19727.0,-743.6740960404045,Inf,Time limit reached
1,8,9707,20358.0,-743.6740960404045,Inf,Time limit reached
1,8,9707,20870.0,-743.438862298178,Inf,Time limit reached
1,8,9707,21118.0,-743.438862298178,Inf,Time limit reached
1,8,9707,21367.0,-742.9006916430005,Inf,Time limit reached
1,8,9707,21610.0,-742.9006916430005,Inf,Time limit reached
1,8,9707,21858.0,-742.7744003509891,Inf,Time limit reached
1,8,9707,22094.0,-742.7744003509891,Inf,Time limit reached
1,8,9707,22330.0,-742.7351086716143,Inf,Time limit reached
1,8,9707,22591.0,-742.7351086716143,Inf,Time limit reached
1,8,9707,22833.0,-742.5798247407633,Inf,Time limit reached
1,8,9707,23530.0,-742.5798247407633,Inf,Time limit reached
1,8,9707,24163.0,-742.5684489634077,Inf,Time limit reached
1,8,9707,24416.0,-742.5684489634077,Inf,Time limit reached
1,8,9707,24650.0,-742.5255267307706,Inf,Time limit reached
1,8,9707,25238.0,-742.5255267307706,Inf,Time limit reached
1,8,9707,25920.0,-741.9873152241324,Inf,Time limit reached
1,8,9707,26552.0,-741.9873152241324,Inf,Time limit reached
1,8,9707,27200.0,-741.9000299238603,Inf,Time limit reached
1,8,9707,27817.0,-741.9000299238603,Inf,Time limit reached
1,8,9707,28401.0,-741.8652127679416,Inf,Time limit reached
1,8,9707,29002.0,-741.8652127679416,Inf,Time limit reached
1,8,9707,29665.0,-741.8111857992465,Inf,Time limit reached
1,8,9707,29951.0,-741.8111857992465,Inf,Time limit reached
1,8,9707,30222.0,-741.5534515259727,Inf,Time limit reached
1,8,9707,30874.0,-741.5534515259727,Inf,Time limit reached
1,8,9707,31554.0,-741.2991275756884,Inf,Time limit reached
1,8,9707,31846.0,-741.2991275756884,Inf,Time limit reached
1,8,9707,32104.0,-741.2143733307723,Inf,Time limit reached
1,8,9707,32381.0,-741.2143733307723,Inf,Time limit reached
1,8,9707,32631.0,-740.9681972930065,Inf,Time limit reached
1,8,9707,32876.0,-740.9681972930065,Inf,Time limit reached
1,8,9707,33127.0,-740.8469656005888,Inf,Time limit reached
1,8,9707,33377.0,-740.8469656005888,Inf,Time limit reached
1,8,9707,33634.0,-740.5747280339529,Inf,Time limit reached
1,8,9707,33899.0,-740.5747280339529,Inf,Time limit reached
1,8,9707,34155.0,-740.3743365494857,Inf,Time limit reached
1,8,9707,34418.0,-740.3743365494857,Inf,Time limit reached
