seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
2,45,523.0,-6.375663864511893,-3.2384420530024283,OPTIMAL,70,2,0,0
2,45,955.0,-6.375663864511893,-3.2999568660761716,OPTIMAL,109,3,0,0
2,45,1374.0,-6.375663864511893,-3.9491773929904266,OPTIMAL,187,4,0,0
2,45,1783.0,-6.375663864511893,-4.390547134170295,OPTIMAL,199,5,0,0
2,45,2225.0,-6.375663864511893,-4.390547134170295,OPTIMAL,295,6,0,0
2,45,2567.0,-6.375663864511893,-4.390547134170295,OPTIMAL,313,7,0,0
2,45,3026.0,-6.375663864511893,-4.390547134170295,OPTIMAL,406,8,0,0
2,45,3363.0,-6.375663864511893,-4.390547134170295,OPTIMAL,430,9,0,0
2,45,3811.0,-6.375663864511893,-4.390547134170295,OPTIMAL,535,10,0,0
2,45,4211.0,-6.375663864511893,-4.390547134170295,OPTIMAL,547,11,0,0
2,45,4641.0,-6.167262169703017,-4.390547134170295,OPTIMAL,632,12,0,0
2,45,4980.0,-6.167262169703017,-4.390547134170295,OPTIMAL,695,13,0,0
2,45,5440.0,-5.791921772060196,-4.390547134170295,OPTIMAL,791,14,0,0
2,45,5764.0,-5.791921772060196,-4.390547134170295,OPTIMAL,853,15,0,0
2,45,5990.0,-5.772419495578472,-4.390547134170295,OPTIMAL,932,16,0,0
2,45,6085.0,-5.772419495578472,-4.390547134170295,OPTIMAL,940,17,0,0
2,45,6359.0,-5.738277151503103,-4.390547134170295,OPTIMAL,1020,18,0,0
2,45,6818.0,-5.738277151503103,-4.390547134170295,OPTIMAL,1066,19,0,0
2,45,7243.0,-5.738277151503103,-4.506334387945964,OPTIMAL,1142,20,0,0
2,45,7679.0,-5.738277151503103,-4.506334387945964,OPTIMAL,1184,21,0,0
2,45,8183.0,-5.738277151503103,-4.506334387945964,OPTIMAL,1312,22,0,0
2,45,8570.0,-5.738277151503103,-4.506334387945964,OPTIMAL,1335,23,0,0
2,45,9032.0,-5.738277151503103,-4.64679257977806,OPTIMAL,1425,24,0,0
2,45,9420.0,-5.738277151503103,-4.64679257977806,OPTIMAL,1439,25,0,0
2,45,9889.0,-5.738277151503103,-4.64679257977806,OPTIMAL,1543,26,0,0
2,45,10294.0,-5.738277151503103,-4.722719342282731,OPTIMAL,1565,27,0,0
2,45,10689.0,-5.685849676633908,-4.722719342282731,OPTIMAL,1667,26,0,0
