seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
2,8,94.0,-8.418483032576304,-7.2210423314677765,Optimal (tolerance reached),27,2
2,8,231.0,-8.418483032576304,-7.2210423314677765,Optimal (tolerance reached),62,3
2,8,353.0,-8.254915205019275,-7.2210423314677765,Optimal (tolerance reached),91,4
2,8,485.0,-8.254915205019275,-7.2210423314677765,Optimal (tolerance reached),120,5
2,8,646.0,-8.249331802276869,-7.2210423314677765,Optimal (tolerance reached),158,6
2,8,797.0,-8.249331802276869,-7.2210423314677765,Optimal (tolerance reached),189,7
2,8,965.0,-8.089488089787304,-7.2210423314677765,Optimal (tolerance reached),225,8
2,8,1121.0,-8.089488089787304,-7.2210423314677765,Optimal (tolerance reached),260,9
2,8,1247.0,-8.089359515084686,-7.221043062013204,Optimal (tolerance reached),287,10
2,8,1403.0,-8.089359515084686,-7.221043062013204,Optimal (tolerance reached),321,11
2,8,1567.0,-8.086908930197682,-7.221043062013204,Optimal (tolerance reached),354,12
2,8,1752.0,-8.086908930197682,-7.221043062013204,Optimal (tolerance reached),393,13
2,8,1910.0,-8.083265960465317,-7.221043062013204,Optimal (tolerance reached),425,14
2,8,2051.0,-8.083265960465317,-7.221043062013204,Optimal (tolerance reached),456,15
2,8,2208.0,-7.966724654773999,-7.221043062013204,Optimal (tolerance reached),489,16
2,8,2409.0,-7.966724654773999,-7.221043062013204,Optimal (tolerance reached),531,17
2,8,2554.0,-7.964409917695148,-7.221043062013204,Optimal (tolerance reached),563,18
2,8,2715.0,-7.964409917695148,-7.221043062013204,Optimal (tolerance reached),592,19
2,8,2843.0,-7.960359059171452,-7.221043062013204,Optimal (tolerance reached),619,20
2,8,3068.0,-7.960359059171452,-7.221043062013204,Optimal (tolerance reached),663,21
2,8,3207.0,-7.957697197106931,-7.221043062013204,Optimal (tolerance reached),694,22
2,8,3372.0,-7.957697197106931,-7.221043062013204,Optimal (tolerance reached),729,23
2,8,3470.0,-7.880304671964186,-7.221043062013204,Optimal (tolerance reached),754,24
2,8,3578.0,-7.880304671964186,-7.221043062013204,Optimal (tolerance reached),781,25
2,8,3697.0,-7.878628329935596,-7.221043062013204,Optimal (tolerance reached),808,26
2,8,3800.0,-7.878628329935596,-7.221043062013204,Optimal (tolerance reached),835,27
2,8,3927.0,-7.875295361788538,-7.221043062013204,Optimal (tolerance reached),867,28
2,8,4098.0,-7.875295361788538,-7.221043062013204,Optimal (tolerance reached),910,29
2,8,4224.0,-7.8726714123652455,-7.221043062013204,Optimal (tolerance reached),941,30
2,8,4381.0,-7.8726714123652455,-7.221043062013204,Optimal (tolerance reached),978,31
2,8,4516.0,-7.841734136819829,-7.221043062013204,Optimal (tolerance reached),1012,32
2,8,4648.0,-7.841734136819829,-7.221043062013204,Optimal (tolerance reached),1044,33
2,8,4805.0,-7.839529023822043,-7.221043062013204,Optimal (tolerance reached),1084,34
2,8,4938.0,-7.839529023822043,-7.221043062013204,Optimal (tolerance reached),1114,35
2,8,5066.0,-7.8361608979030954,-7.221043062013204,Optimal (tolerance reached),1148,36
2,8,5169.0,-7.8361608979030954,-7.221043062013204,Optimal (tolerance reached),1176,37
2,8,5365.0,-7.833500318952313,-7.221043062013204,Optimal (tolerance reached),1220,38
2,8,5459.0,-7.833500318952313,-7.221043062013204,Optimal (tolerance reached),1245,39
2,8,5599.0,-7.756334402608844,-7.221043062013204,Optimal (tolerance reached),1278,40
2,8,5732.0,-7.756334402608844,-7.221043062013204,Optimal (tolerance reached),1313,41
2,8,5899.0,-7.755093606028682,-7.221043062013204,Optimal (tolerance reached),1353,42
2,8,6026.0,-7.755093606028682,-7.221043062013204,Optimal (tolerance reached),1385,43
2,8,6185.0,-7.754454595467491,-7.221043062013204,Optimal (tolerance reached),1421,44
2,8,6335.0,-7.754454595467491,-7.221043062013204,Optimal (tolerance reached),1458,45
2,8,6479.0,-7.7537768100554345,-7.221043062013204,Optimal (tolerance reached),1489,46
