seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
5,20,100,4.0,368.0,3.7008652007914074,4.1681319312766,OPTIMAL,44,2,0,0
5,20,100,4.0,624.0,3.7008652007914074,4.1681319312766,OPTIMAL,74,3,0,0
5,20,100,4.0,892.0,3.7627747596830803,4.1681319312766,OPTIMAL,102,4,0,0
5,20,100,4.0,1088.0,3.7627747596830803,4.1681319312766,OPTIMAL,125,5,0,0
5,20,100,4.0,1285.0,3.778708789656867,4.1681319312766,OPTIMAL,151,6,0,0
5,20,100,4.0,1519.0,3.778708789656867,4.1681319312766,OPTIMAL,179,7,0,0
5,20,100,4.0,1758.0,3.8097584427470785,4.1681319312766,OPTIMAL,208,8,0,0
5,20,100,4.0,1979.0,3.8097584427470785,4.1681319312766,OPTIMAL,226,9,0,0
5,20,100,4.0,2219.0,3.8265773451403167,4.1681319312766,OPTIMAL,252,10,0,0
5,20,100,4.0,2447.0,3.8265773451403167,4.1681319312766,OPTIMAL,278,11,0,0
5,20,100,4.0,2677.0,3.8477484264507122,4.1681319312766,OPTIMAL,308,12,0,0
5,20,100,4.0,2900.0,3.8477484264507122,4.1681319312766,OPTIMAL,336,13,0,0
5,20,100,4.0,3133.0,3.8507089636128886,4.1681319312766,OPTIMAL,365,14,0,0
5,20,100,4.0,3354.0,3.8507089636128886,4.1681319312766,OPTIMAL,386,15,0,0
5,20,100,4.0,3529.0,3.860716431149649,4.1681319312766,OPTIMAL,412,16,0,0
5,20,100,4.0,3730.0,3.860716431149649,4.1681319312766,OPTIMAL,436,17,0,0
5,20,100,4.0,3992.0,3.87329286357321,4.1681319312766,OPTIMAL,471,18,0,0
5,20,100,4.0,4291.0,3.87329286357321,4.1681319312766,OPTIMAL,503,19,0,0
5,20,100,4.0,4623.0,3.8742085187772695,4.1681319312766,OPTIMAL,538,20,0,0
5,20,100,4.0,4773.0,3.8742085187772695,4.1681319312766,OPTIMAL,557,21,0,0
5,20,100,4.0,4898.0,3.884167035561584,4.1681319312766,OPTIMAL,575,22,0,0
5,20,100,4.0,5141.0,3.884167035561584,4.1681319312766,OPTIMAL,605,23,0,0
5,20,100,4.0,5373.0,3.889573625824233,4.1681319312766,OPTIMAL,636,24,0,0
5,20,100,4.0,5584.0,3.889573625824233,4.1681319312766,OPTIMAL,662,25,0,0
5,20,100,4.0,5896.0,3.9041031388957306,4.1681319312766,OPTIMAL,695,26,0,0
5,20,100,4.0,6036.0,3.9041031388957306,4.1681319312766,OPTIMAL,713,27,0,0
5,20,100,4.0,6190.0,3.9100705104374556,4.1681319312766,OPTIMAL,736,28,0,0
5,20,100,4.0,6401.0,3.9100705104374556,4.1681319312766,OPTIMAL,762,29,0,0
5,20,100,4.0,6672.0,3.9179079511817,4.1681319312766,OPTIMAL,798,30,0,0
5,20,100,4.0,6851.0,3.9179079511817,4.1681319312766,OPTIMAL,821,31,0,0
5,20,100,4.0,7018.0,3.919517016763898,4.1681319312766,OPTIMAL,844,32,0,0
5,20,100,4.0,7292.0,3.919517016763898,4.1681319312766,OPTIMAL,870,33,0,0
5,20,100,4.0,7573.0,3.921897118425734,4.1681319312766,OPTIMAL,904,34,0,0
5,20,100,4.0,7788.0,3.921897118425734,4.1681319312766,OPTIMAL,930,35,0,0
5,20,100,4.0,8006.0,3.922285211337809,4.1681319312766,OPTIMAL,959,36,0,0
5,20,100,4.0,8252.0,3.922285211337809,4.1681319312766,OPTIMAL,987,37,0,0
5,20,100,4.0,8488.0,3.924399639296353,4.1681319312766,OPTIMAL,1013,38,0,0
5,20,100,4.0,8697.0,3.924399639296353,4.1681319312766,OPTIMAL,1041,39,0,0
5,20,100,4.0,8870.0,3.9426600827912406,4.1681319312766,OPTIMAL,1065,40,0,0
5,20,100,4.0,9016.0,3.9426600827912406,4.1681319312766,OPTIMAL,1082,41,0,0
5,20,100,4.0,9246.0,3.945139282361179,4.1681319312766,OPTIMAL,1115,42,0,0
5,20,100,4.0,9390.0,3.945139282361179,4.1681319312766,OPTIMAL,1134,43,0,0
5,20,100,4.0,9530.0,3.9462725835854418,4.1681319312766,OPTIMAL,1153,44,0,0
5,20,100,4.0,9795.0,3.9462725835854418,4.1681319312766,OPTIMAL,1181,45,0,0
5,20,100,4.0,10046.0,3.947943765038094,4.1681319312766,OPTIMAL,1214,46,0,0
5,20,100,4.0,10291.0,3.947943765038094,4.1681319312766,OPTIMAL,1241,47,0,0
5,20,100,4.0,10502.0,3.9520049456371913,4.1681319312766,OPTIMAL,1269,48,0,0
5,20,100,4.0,10622.0,3.9520049456371913,4.1681319312766,OPTIMAL,1284,49,0,0
5,20,100,4.0,10799.0,3.955862902724235,4.1681319312766,OPTIMAL,1309,50,0,0
5,20,100,4.0,11048.0,3.955862902724235,4.1681319312766,OPTIMAL,1331,51,0,0
5,20,100,4.0,11292.0,3.9596023868864036,4.1681319312766,OPTIMAL,1363,52,0,0
5,20,100,4.0,11531.0,3.9596023868864036,4.1681319312766,OPTIMAL,1392,53,0,0
5,20,100,4.0,11883.0,3.9616817787559553,4.1681319312766,OPTIMAL,1434,54,0,0
5,20,100,4.0,12181.0,3.9616817787559553,4.1681319312766,OPTIMAL,1462,55,0,0
5,20,100,4.0,12392.0,3.9646838657737775,4.1681319312766,OPTIMAL,1493,56,0,0
5,20,100,4.0,12606.0,3.9646838657737775,4.1681319312766,OPTIMAL,1521,57,0,0
5,20,100,4.0,12818.0,3.969941319210027,4.1681319312766,OPTIMAL,1547,58,0,0
5,20,100,4.0,12965.0,3.969941319210027,4.1681319312766,OPTIMAL,1564,59,0,0
5,20,100,4.0,13119.0,3.9743515908754836,4.1681319312766,OPTIMAL,1586,60,0,0
5,20,100,4.0,13450.0,3.9743515908754836,4.1681319312766,OPTIMAL,1617,61,0,0
5,20,100,4.0,13710.0,3.9769023501982126,4.1681319312766,OPTIMAL,1650,62,0,0
5,20,100,4.0,13903.0,3.9769023501982126,4.1681319312766,OPTIMAL,1674,63,0,0
5,20,100,4.0,14082.0,3.9808611522915633,4.1681319312766,OPTIMAL,1699,64,0,0
5,20,100,4.0,14351.0,3.9808611522915633,4.1681319312766,OPTIMAL,1728,65,0,0
5,20,100,4.0,14658.0,3.9829150311055574,4.1681319312766,OPTIMAL,1760,66,0,0
5,20,100,4.0,14797.0,3.9829150311055574,4.1681319312766,OPTIMAL,1779,67,0,0
5,20,100,4.0,14960.0,3.9834190615556517,4.1681319312766,OPTIMAL,1802,68,0,0
5,20,100,4.0,15111.0,3.9834190615556517,4.1681319312766,OPTIMAL,1821,69,0,0
5,20,100,4.0,15256.0,3.9838246481673174,4.1681319312766,OPTIMAL,1842,70,0,0
5,20,100,4.0,15431.0,3.9838246481673174,4.1681319312766,OPTIMAL,1864,71,0,0
5,20,100,4.0,15580.0,3.987836996713947,4.1681319312766,OPTIMAL,1885,72,0,0
5,20,100,4.0,15779.0,3.987836996713947,4.1681319312766,OPTIMAL,1906,73,0,0
5,20,100,4.0,16039.0,3.988089723598357,4.1681319312766,OPTIMAL,1937,74,0,0
5,20,100,4.0,16261.0,3.988089723598357,4.1681319312766,OPTIMAL,1963,75,0,0
5,20,100,4.0,16604.0,3.990756256169457,4.1681319312766,OPTIMAL,2005,76,0,0
5,20,100,4.0,16756.0,3.990756256169457,4.1681319312766,OPTIMAL,2024,77,0,0
5,20,100,4.0,16926.0,3.99096293697903,4.1681319312766,OPTIMAL,2047,78,0,0
5,20,100,4.0,16997.0,3.99096293697903,4.1681319312766,OPTIMAL,2056,79,0,0
5,20,100,4.0,17010.0,3.9967643926414085,4.1681319312766,OPTIMAL,2058,78,0,0
5,20,100,4.0,17279.0,3.9967643926414085,4.1681319312766,OPTIMAL,2085,79,0,0
5,20,100,4.0,17430.0,3.9970521109239416,4.1681319312766,OPTIMAL,2107,80,0,0
5,20,100,4.0,17618.0,3.9970521109239416,4.1681319312766,OPTIMAL,2131,81,0,0
5,20,100,4.0,17767.0,3.9978926019367536,4.1681319312766,OPTIMAL,2153,82,0,0
5,20,100,4.0,17808.0,3.9978926019367536,4.1681319312766,OPTIMAL,2157,83,0,0
5,20,100,4.0,17889.0,4.0016916699706675,4.1681319312766,OPTIMAL,2159,82,0,0
5,20,100,4.0,18185.0,4.0016916699706675,4.1681319312766,OPTIMAL,2191,83,0,0
5,20,100,4.0,18566.0,4.002236787704763,4.1681319312766,OPTIMAL,2230,84,0,0
5,20,100,4.0,18700.0,4.002236787704763,4.1681319312766,OPTIMAL,2246,85,0,0
5,20,100,4.0,18891.0,4.002668392627646,4.1681319312766,OPTIMAL,2273,86,0,0
5,20,100,4.0,19141.0,4.002668392627646,4.1681319312766,OPTIMAL,2301,87,0,0
5,20,100,4.0,19463.0,4.00293940307201,4.1681319312766,OPTIMAL,2340,88,0,0
5,20,100,4.0,19512.0,4.00293940307201,4.1681319312766,OPTIMAL,2346,89,0,0
5,20,100,4.0,19526.0,4.003698402521353,4.1681319312766,OPTIMAL,2348,88,0,0
5,20,100,4.0,19818.0,4.003698402521353,4.1681319312766,OPTIMAL,2375,89,0,0
5,20,100,4.0,20096.0,4.004184646963757,4.1681319312766,OPTIMAL,2409,90,0,0
5,20,100,4.0,20259.0,4.004184646963757,4.1681319312766,OPTIMAL,2430,91,0,0
5,20,100,4.0,20401.0,4.006171226256202,4.1681319312766,OPTIMAL,2449,92,0,0
5,20,100,4.0,20540.0,4.006171226256202,4.1681319312766,OPTIMAL,2467,93,0,0
5,20,100,4.0,20718.0,4.006650645252452,4.1681319312766,OPTIMAL,2490,94,0,0
5,20,100,4.0,21008.0,4.006650645252452,4.1681319312766,OPTIMAL,2516,95,0,0
5,20,100,4.0,21368.0,4.007918350474876,4.1681319312766,OPTIMAL,2562,96,0,0
5,20,100,4.0,21630.0,4.007918350474876,4.1681319312766,OPTIMAL,2594,97,0,0
