seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,1932.633,-509.54049528040696,3.224616364775443,0.006328479079961826,3,Time limit reached,44
2,4,1975.143,-515.739636574552,3.907814716247458,0.007577107592897932,3,Time limit reached,30
3,4,2103.107,-501.52339097979467,4.652574335239876,0.00927688402758331,3,Time limit reached,18
1,5,1971.228,-533.8402162469384,5.778669253621047,0.01082471698038577,3,Time limit reached,27
2,5,1981.71,-494.5615636709404,4.814957770658964,0.00973581071468511,3,Time limit reached,40
3,5,1955.059,-524.4202367748397,4.260272784267613,0.008123776478322221,3,Time limit reached,35
1,6,2083.284,-456.2683205544086,6.502351564091214,0.014251157205458073,3,Time limit reached,32
2,6,1992.049,-485.6468322050175,7.574907298290896,0.015597563488467525,3,Time limit reached,36
3,6,2205.418,-501.252123478754,6.785487902105729,0.013537075623767082,3,Time limit reached,26
1,7,2041.834,-440.68294323055557,10.842168098691616,0.024603103581023404,3,Time limit reached,30
2,7,1966.381,-482.35453909684384,8.501041534165154,0.017624052113373753,3,Time limit reached,21
3,7,1951.342,-446.3102938566458,6.853047728424883,0.015354895064611868,3,Time limit reached,35
1,8,2001.26,-470.9548981221826,8.409393934320804,0.017856049417579484,3,Time limit reached,35
2,8,2029.388,-423.2829992397216,14.354506187488198,0.03391231448763829,3,Time limit reached,24
3,8,2010.504,-464.0837800490594,10.587329464813195,0.022813401200304787,3,Time limit reached,32
