seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,58.635,-496.9002969752026,0.0,0.0,1,Optimal (tree empty),4
2,4,171.625,-504.33739039654085,1.4398393780994638,0.002854913011639637,3,Optimal (tolerance reached),10
3,4,56.595,-500.99490891263304,0.0,0.0,1,Optimal (tree empty),4
1,5,171.557,-523.3854306110235,1.1977582112651817,0.0022884821418641043,3,Optimal (tolerance reached),10
2,5,203.895,-483.75700641436805,0.5934166489439576,0.0012266833163666043,3,Optimal (tolerance reached),10
3,5,57.799,-523.5145522650987,0.0,0.0,1,Optimal (tree empty),4
1,6,66.353,-454.6798118413621,0.0,0.0,1,Optimal (tree empty),4
2,6,70.275,-483.2098939161635,0.0,0.0,1,Optimal (tree empty),4
3,6,68.488,-499.7414190988706,0.0,0.0,1,Optimal (tree empty),4
1,7,451.26,-429.7361887254783,1.920601705896047,0.004469257549828914,5,Optimal (tolerance reached),22
2,7,247.185,-461.18250120640215,3.2463249721878356,0.007039133019348762,5,Optimal (tolerance reached),17
3,7,444.073,-433.76692161623276,1.2542752322542583,0.002891588015934408,7,Optimal (tolerance reached),29
1,8,171.548,-469.0401713386133,1.5695581064680937,0.0033463191478645985,3,Optimal (tolerance reached),8
2,8,372.391,-415.0576002866769,0.49704729171418194,0.0011975381040387537,5,Optimal (tolerance reached),18
3,8,854.541,-455.72210371027774,0.0,0.0,11,Optimal (tree empty),52
