seed	dimension	var_A	p	k	M	time	vars	solution	termination	ncalls
1	5	1	25	5.0	0.1	31.151	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03902221680378037, 0.0, -0.0417208658538556, 0.0, 0.0, 0.0, 0.0, -0.03481062190013456, 0.0, -0.036800947254788365, 0.04878194806801483, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.653897246423264	OPTIMAL	13108
1	5	5	25	5.0	0.1	19.586	[0.0, 0.0, 0.0, -0.06890923175794689, 0.0, 0.0, -0.07829738783670534, 0.0, -0.08207627648333192, 0.0, 0.0, 0.0, 0.0, -0.062352083359686616, 0.0, 0.0, 0.09637503107981257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.3507216199955216	OPTIMAL	7963
1	5	1	25	5.0	1.0	1789.559	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03902222767062346, 0.0, -0.041720871491510485, 0.0, 0.0, 0.0, 0.0, -0.034810602841807585, 0.0, -0.0368009322031281, 0.04878196073759989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.653897246423261	OPTIMAL	709621
1	5	5	25	5.0	1.0	1800.139	[0.0, 0.0, 0.0, -0.06696251099162352, 0.0, 0.0, -0.10267665962390092, 0.0, -0.08159309935211796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05040605412613942, 0.07838666419051797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.3566578673136861	Time limit reached	657750
2	5	1	25	5.0	0.1	0.047	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.5150083111257999	primal>=tree.incumbent	22
2	5	5	25	5.0	0.1	0.355	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.13744112423431368	primal>=tree.incumbent	168
2	5	1	25	5.0	1.0	143.038	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3829619452569307, -0.3309739229171069, 0.0, 0.0, 0.26139563850096503, 0.275090952828273, 0.3334008602537675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.3660217199680986	OPTIMAL	66137
2	5	5	25	5.0	1.0	362.131	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22326507320258718, -0.18064800302612408, 0.0, 0.0, 0.12558685694642005, 0.1628229940609395, 0.2075438616952733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.06958437127924136	OPTIMAL	114308
3	5	1	25	5.0	0.1	4.163	[0.0, 0.0, 0.0, -0.038115728175849475, -0.03254077563211416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790437130438656, 0.0, 0.0, 0.049024107889810875, 0.0, 0.031109239418461332, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]	0.654847813553246	OPTIMAL	1905
3	5	5	25	5.0	0.1	9.189	[0.0, 0.0, 0.0, -0.070555253626354, -0.06746612950711987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000002, 0.0, 0.0, 0.06909735817329386, 0.0, 0.07020098155101472, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]	0.36138332348683605	OPTIMAL	4078
