seed,dimension,p,k,time,solution,termination,ncalls
1,15,75,3.0,3.431,2.8156085839248965,OPTIMAL,714
2,15,75,3.0,7.276,2.510955015317064,OPTIMAL,1613
3,15,75,3.0,10.467,4.977486303591386,OPTIMAL,2319
4,15,75,3.0,60.612,3.570152937436937,OPTIMAL,13401
5,15,75,3.0,25.153,3.0960683648881093,OPTIMAL,5770
6,15,75,3.0,0.408,3.274959746910336,OPTIMAL,82
7,15,75,3.0,9.357,4.4719289037401655,OPTIMAL,2165
8,15,75,3.0,102.05,2.287455683965412,OPTIMAL,22893
9,15,75,3.0,0.197,4.3133398005811046,OPTIMAL,41
10,15,75,3.0,1.286,2.391722770462672,OPTIMAL,262
1,16,80,4.0,41.701,2.6633825943920137,OPTIMAL,8154
2,16,80,4.0,22.46,2.346449784313559,OPTIMAL,4549
3,16,80,4.0,53.76,5.091732867438444,OPTIMAL,9495
4,16,80,4.0,42.393,3.5972405325105408,OPTIMAL,7809
5,16,80,4.0,244.72,3.63769637900974,OPTIMAL,44867
6,16,80,4.0,0.803,3.452723946379324,OPTIMAL,166
7,16,80,4.0,28.79,4.703793852904876,OPTIMAL,5372
8,16,80,4.0,1800.1,2.133833155360607,Time limit reached,296074
9,16,80,4.0,0.659,4.506263132840163,OPTIMAL,114
10,16,80,4.0,12.623,1.9988265865273447,OPTIMAL,2089
1,17,85,4.0,6.767,2.3474422755205793,OPTIMAL,1039
2,17,85,4.0,73.59,2.510257899045362,OPTIMAL,12777
3,17,85,4.0,27.713,5.014570729546344,OPTIMAL,3403
4,17,85,4.0,74.5,3.9150015695258875,OPTIMAL,12016
5,17,85,4.0,136.516,3.8998167893942313,OPTIMAL,22181
6,17,85,4.0,1.039,3.193775533784988,OPTIMAL,161
7,17,85,4.0,17.797,4.518599214707445,OPTIMAL,2625
8,17,85,4.0,1800.417,1.9114825258867627,Time limit reached,224876
9,17,85,4.0,0.393,4.771345768384261,OPTIMAL,77
10,17,85,4.0,34.336,2.2440767386834564,OPTIMAL,6583
1,18,90,4.0,29.128,2.5444467333794374,OPTIMAL,5390
2,18,90,4.0,127.268,2.6345054709356903,OPTIMAL,23609
3,18,90,4.0,22.362,5.04847551003505,OPTIMAL,3883
4,18,90,4.0,264.176,4.028020637083428,OPTIMAL,46247
5,18,90,4.0,308.605,3.991629504656097,OPTIMAL,58550
6,18,90,4.0,2.427,3.655307345648596,OPTIMAL,392
7,18,90,4.0,17.742,4.62556213200753,OPTIMAL,3022
8,18,90,4.0,1704.23,2.0434252666920547,OPTIMAL,199093
9,18,90,4.0,0.341,4.705116246234705,OPTIMAL,58
