seed,dimension,p,k,time,solution,termination,calls
1,16,80,4.0,0.031649,3.6325891279505873,OPTIMAL,9
2,16,80,4.0,0.023743999999999998,3.326877201499783,OPTIMAL,12
3,16,80,4.0,0.020548,5.6438036904427795,OPTIMAL,4
4,16,80,4.0,0.024158,4.245831206315398,OPTIMAL,8
5,16,80,4.0,0.02223,4.062518125622481,OPTIMAL,6
6,16,80,4.0,0.020745,4.1975528552310895,OPTIMAL,5
7,16,80,4.0,0.022407,5.392987866671327,OPTIMAL,7
8,16,80,4.0,0.037006,2.699199644590052,OPTIMAL,26
9,16,80,4.0,0.022876,5.15050927277463,OPTIMAL,5
10,16,80,4.0,0.033576999999999996,3.3500949866436396,OPTIMAL,19
1,17,85,4.0,0.0254,3.9318285924645666,OPTIMAL,6
2,17,85,4.0,0.026085,3.3626303201506538,OPTIMAL,14
3,17,85,4.0,0.021249,5.954793324743792,OPTIMAL,6
4,17,85,4.0,0.024045999999999998,4.735210053230218,OPTIMAL,10
5,17,85,4.0,0.063416,4.521036093720938,OPTIMAL,44
6,17,85,4.0,0.020930999999999998,3.8713278025591165,OPTIMAL,5
7,17,85,4.0,0.029907,5.002835146122812,OPTIMAL,14
8,17,85,4.0,0.06385099999999999,2.816026492659157,OPTIMAL,81
9,17,85,4.0,0.021523999999999998,5.182479059195712,OPTIMAL,4
10,17,85,4.0,0.026657,2.8388123681366704,OPTIMAL,8
1,18,90,4.0,0.034231,3.6956918471477334,OPTIMAL,17
2,18,90,4.0,0.024977,3.5608454112177244,OPTIMAL,16
3,18,90,4.0,0.019837,5.974410440173242,OPTIMAL,5
4,18,90,4.0,0.03877,4.610415186553024,OPTIMAL,42
5,18,90,4.0,0.028044,4.719926960490595,OPTIMAL,18
6,18,90,4.0,0.022504,4.017813699639336,OPTIMAL,4
7,18,90,4.0,0.028672999999999997,5.4007983357976705,OPTIMAL,10
8,18,90,4.0,0.033579,2.8306059980892146,OPTIMAL,29
9,18,90,4.0,0.030969999999999998,5.944449639703654,OPTIMAL,9
10,18,90,4.0,0.024876,3.1070465543047643,OPTIMAL,6
1,19,95,4.0,0.030910999999999998,4.249004542252306,OPTIMAL,9
2,19,95,4.0,0.027868,4.167851058831061,OPTIMAL,10
3,19,95,4.0,0.021009999999999997,6.273947654706995,OPTIMAL,6
4,19,95,4.0,0.023531999999999997,5.016987780770689,OPTIMAL,7
5,19,95,4.0,0.027887,4.831199849716047,OPTIMAL,8
6,19,95,4.0,0.024883,4.09423257368029,OPTIMAL,6
7,19,95,4.0,0.022005,5.903883740259831,OPTIMAL,6
8,19,95,4.0,0.045723,2.8375319054172095,OPTIMAL,29
9,19,95,4.0,0.017804999999999998,5.917653019825304,OPTIMAL,6
10,19,95,4.0,0.028464999999999997,3.4512082422525046,OPTIMAL,9
1,20,100,4.0,0.07278899999999999,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.060447,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.049568,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.051344999999999995,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.085298,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.063808,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.069095,5.951736611786275,OPTIMAL,7
8,20,100,4.0,0.07668699999999999,2.9555758742749325,OPTIMAL,16
9,20,100,4.0,0.062495999999999996,6.5424719551968025,OPTIMAL,9
10,20,100,4.0,0.070337,3.5806530859932204,OPTIMAL,9
1,21,105,5.0,0.090539,3.640478099832611,OPTIMAL,18
2,21,105,5.0,0.069247,4.332226297079521,OPTIMAL,7
3,21,105,5.0,0.080425,7.253522035988734,OPTIMAL,18
4,21,105,5.0,0.059752,5.065947525000495,OPTIMAL,5
5,21,105,5.0,0.06949,4.784641411250658,OPTIMAL,13
6,21,105,5.0,0.06264499999999999,4.36832137688781,OPTIMAL,6
7,21,105,5.0,0.061779,6.008044061962864,OPTIMAL,6
8,21,105,5.0,0.11504099999999999,3.0434030175223725,OPTIMAL,47
9,21,105,5.0,0.07259199999999999,5.913916994831472,OPTIMAL,5
10,21,105,5.0,0.059352999999999996,2.952179101812403,OPTIMAL,4
1,22,110,5.0,0.082325,4.003665104291843,OPTIMAL,21
2,22,110,5.0,0.09787599999999999,4.3881706223780315,OPTIMAL,41
3,22,110,5.0,0.07861499999999999,7.246909361053823,OPTIMAL,24
4,22,110,5.0,0.14982299999999998,5.264523089463333,OPTIMAL,55
5,22,110,5.0,0.16044899999999998,5.924335692517859,OPTIMAL,63
6,22,110,5.0,0.062365,3.8065751522920994,OPTIMAL,4
7,22,110,5.0,0.078758,6.24629843532106,OPTIMAL,8
8,22,110,5.0,0.093342,3.2460247264488675,OPTIMAL,31
9,22,110,5.0,0.05984,6.249873837237353,OPTIMAL,7
10,22,110,5.0,0.067745,2.8945354777339336,OPTIMAL,7
1,23,115,5.0,0.070475,4.63202989081658,OPTIMAL,6
2,23,115,5.0,0.137309,4.5861886580017055,OPTIMAL,58
3,23,115,5.0,0.0672,7.052056064554606,OPTIMAL,6
4,23,115,5.0,0.168864,5.595730642043194,OPTIMAL,65
5,23,115,5.0,0.088755,5.377583854022187,OPTIMAL,20
6,23,115,5.0,0.068018,4.391069895466217,OPTIMAL,7
7,23,115,5.0,0.081564,6.349970447162822,OPTIMAL,17
8,23,115,5.0,0.198709,3.731415863135455,OPTIMAL,99
9,23,115,5.0,0.06643299999999999,6.656611574734058,OPTIMAL,7
10,23,115,5.0,0.059662,3.0814856643915434,OPTIMAL,6
1,24,120,5.0,0.08564999999999999,4.508241666958391,OPTIMAL,15
2,24,120,5.0,0.21137299999999998,4.8022337282875425,OPTIMAL,57
3,24,120,5.0,0.08501099999999999,7.347816678265415,OPTIMAL,19
4,24,120,5.0,0.059085,5.650886571996171,OPTIMAL,7
5,24,120,5.0,0.196377,5.958664652887787,OPTIMAL,81
6,24,120,5.0,0.074561,4.585402529246637,OPTIMAL,6
7,24,120,5.0,0.07839299999999999,6.31312768126302,OPTIMAL,6
8,24,120,5.0,0.13871899999999998,3.661294346880025,OPTIMAL,41
9,24,120,5.0,0.077966,6.890730069652095,OPTIMAL,8
10,24,120,5.0,0.09399099999999999,3.4135960765468054,OPTIMAL,15
1,25,125,5.0,0.090116,4.663495347036188,OPTIMAL,25
2,25,125,5.0,0.181106,4.957118835006391,OPTIMAL,54
3,25,125,5.0,0.076031,7.129311661531811,OPTIMAL,7
4,25,125,5.0,0.073826,5.9515176752442445,OPTIMAL,7
5,25,125,5.0,0.098828,6.293034789139148,OPTIMAL,30
6,25,125,5.0,0.065657,4.108119140627277,OPTIMAL,6
7,25,125,5.0,0.081997,5.949912466406284,OPTIMAL,6
8,25,125,5.0,0.12270099999999999,3.486303925427676,OPTIMAL,46
9,25,125,5.0,0.066606,7.035292057826351,OPTIMAL,7
10,25,125,5.0,0.07720099999999999,3.5298064195637693,OPTIMAL,8
1,26,130,6.0,0.12561999999999998,4.713767516604743,OPTIMAL,29
2,26,130,6.0,0.173788,5.773597986722731,OPTIMAL,66
3,26,130,6.0,0.087091,7.6516278110599485,OPTIMAL,19
4,26,130,6.0,0.074293,5.726591612726492,OPTIMAL,7
5,26,130,6.0,0.149453,6.561268055421416,OPTIMAL,50
6,26,130,6.0,0.07269199999999999,4.868652710814709,OPTIMAL,6
7,26,130,6.0,0.096922,6.569696184092821,OPTIMAL,7
8,26,130,6.0,0.231542,3.795443672966906,OPTIMAL,87
9,26,130,6.0,0.07205299999999999,6.733474412996077,OPTIMAL,6
10,26,130,6.0,0.13034199999999999,3.3647182587390305,OPTIMAL,42
1,27,135,6.0,0.1682,4.405267445789306,OPTIMAL,61
2,27,135,6.0,0.129991,4.973282689136193,OPTIMAL,18
3,27,135,6.0,0.19111799999999998,7.961353105478947,OPTIMAL,63
4,27,135,6.0,0.090011,5.844086271159474,OPTIMAL,7
5,27,135,6.0,0.169007,6.193241026156895,OPTIMAL,38
6,27,135,6.0,0.095098,4.694355225907363,OPTIMAL,15
7,27,135,6.0,0.075344,6.809368799246123,OPTIMAL,6
8,27,135,6.0,0.231656,3.7039856333514525,OPTIMAL,81
9,27,135,6.0,0.09179699999999999,6.7782210834851275,OPTIMAL,6
10,27,135,6.0,0.158584,3.742971816631809,OPTIMAL,55
1,28,140,6.0,0.114215,4.172322728884468,OPTIMAL,31
2,28,140,6.0,0.127679,4.880181226216714,OPTIMAL,39
3,28,140,6.0,0.084867,7.960120970626139,OPTIMAL,9
4,28,140,6.0,0.237111,6.273184552722633,OPTIMAL,95
5,28,140,6.0,0.285563,7.046966985857807,OPTIMAL,124
6,28,140,6.0,0.085714,4.81983102250231,OPTIMAL,9
7,28,140,6.0,0.14599099999999998,6.805616619240714,OPTIMAL,47
8,28,140,6.0,0.21584699999999998,4.039256770083838,OPTIMAL,69
9,28,140,6.0,0.08372199999999999,7.612874377131874,OPTIMAL,6
10,28,140,6.0,0.11682,3.3401904422781636,OPTIMAL,30
1,29,145,6.0,0.188522,5.001018625201489,OPTIMAL,69
2,29,145,6.0,0.173923,5.755475732370001,OPTIMAL,47
3,29,145,6.0,0.16075399999999998,7.734152366434584,OPTIMAL,45
4,29,145,6.0,0.445986,6.337776952628885,OPTIMAL,133
5,29,145,6.0,0.200317,6.377627812538742,OPTIMAL,72
6,29,145,6.0,0.15037899999999998,5.421095295925636,OPTIMAL,26
7,29,145,6.0,0.12895399999999999,6.6787865476244095,OPTIMAL,27
8,29,145,6.0,0.20821499999999998,4.494017574306597,OPTIMAL,64
9,29,145,6.0,0.091108,7.55908360273058,OPTIMAL,7
10,29,145,6.0,0.212308,3.9021598048612662,OPTIMAL,60
1,30,150,6.0,0.248808,4.944589430750977,OPTIMAL,83
2,30,150,6.0,0.099225,5.45497802395002,OPTIMAL,13
3,30,150,6.0,0.137117,8.335072565202644,OPTIMAL,41
4,30,150,6.0,0.31756,6.2665079922117055,OPTIMAL,94
5,30,150,6.0,0.131076,7.2687603717991465,OPTIMAL,29
6,30,150,6.0,0.10243,5.821936421217403,OPTIMAL,15
7,30,150,6.0,0.133988,6.763155482684152,OPTIMAL,40
8,30,150,6.0,0.182506,3.8861700485791966,OPTIMAL,41
9,30,150,6.0,0.085351,8.140819882240146,OPTIMAL,6
10,30,150,6.0,0.19183599999999998,4.0338811577995415,OPTIMAL,47
