seed,dimension,timeBoscia_Custom,solutionBoscia_Custom,terminationBoscia_Custom,numberNodesBoscia_Custom,dualGapBoscia_Custom,lbBoscia_Custom,relGapBoscia_Custom,timeBoscia_Custom_Lazy,solutionBoscia_Custom_Lazy,terminationBoscia_Custom_Lazy,numberNodesBoscia_Custom_Lazy,dualGapBoscia_Custom_Lazy,lbBoscia_Custom_Lazy,relGapBoscia_Custom_Lazy,timeBoscia_Custom_DICG,solutionBoscia_Custom_DICG,terminationBoscia_Custom_DICG,numberNodesBoscia_Custom_DICG,dualGapBoscia_Custom_DICG,lbBoscia_Custom_DICG,relGapBoscia_Custom_DICG,timeBoscia_MIP,solutionBoscia_MIP,terminationBoscia_MIP,numberNodesBoscia_MIP,dualGapBoscia_MIP,lbBoscia_MIP,relGapBoscia_MIP,timeBoscia_MIP_Lazy,solutionBoscia_MIP_Lazy,terminationBoscia_MIP_Lazy,numberNodesBoscia_MIP_Lazy,dualGapBoscia_MIP_Lazy,lbBoscia_MIP_Lazy,relGapBoscia_MIP_Lazy,timeBoscia_MIP_DICG,solutionBoscia_MIP_DICG,terminationBoscia_MIP_DICG,numberNodesBoscia_MIP_DICG,dualGapBoscia_MIP_DICG,lbBoscia_MIP_DICG,relGapBoscia_MIP_DICG,timeBoscia_Custom_DICG_Lazy,solutionBoscia_Custom_DICG_Lazy,terminationBoscia_Custom_DICG_Lazy,numberNodesBoscia_Custom_DICG_Lazy,dualGapBoscia_Custom_DICG_Lazy,lbBoscia_Custom_DICG_Lazy,relGapBoscia_Custom_DICG_Lazy,timeBoscia_MIP_DICG_Lazy,solutionBoscia_MIP_DICG_Lazy,terminationBoscia_MIP_DICG_Lazy,numberNodesBoscia_MIP_DICG_Lazy,dualGapBoscia_MIP_DICG_Lazy,lbBoscia_MIP_DICG_Lazy,relGapBoscia_MIP_DICG_Lazy,timeBoscia_Custom_DICG_WS,solutionBoscia_Custom_DICG_WS,terminationBoscia_Custom_DICG_WS,numberNodesBoscia_Custom_DICG_WS,dualGapBoscia_Custom_DICG_WS,lbBoscia_Custom_DICG_WS,relGapBoscia_Custom_DICG_WS,timeBoscia_Custom_DICG_Lazy_WS,solutionBoscia_Custom_DICG_Lazy_WS,terminationBoscia_Custom_DICG_Lazy_WS,numberNodesBoscia_Custom_DICG_Lazy_WS,dualGapBoscia_Custom_DICG_Lazy_WS,lbBoscia_Custom_DICG_Lazy_WS,relGapBoscia_Custom_DICG_Lazy_WS,timeBoscia_MIP_DICG_Lazy_WS,solutionBoscia_MIP_DICG_Lazy_WS,terminationBoscia_MIP_DICG_Lazy_WS,numberNodesBoscia_MIP_DICG_Lazy_WS,dualGapBoscia_MIP_DICG_Lazy_WS,lbBoscia_MIP_DICG_Lazy_WS,relGapBoscia_MIP_DICG_Lazy_WS,timeBoscia_MIP_DICG_WS,solutionBoscia_MIP_DICG_WS,terminationBoscia_MIP_DICG_WS,numberNodesBoscia_MIP_DICG_WS,dualGapBoscia_MIP_DICG_WS,lbBoscia_MIP_DICG_WS,relGapBoscia_MIP_DICG_WS,minimumTime
1,3,1.045,0.7820526590556626,1,50,0.0,0.7820526590556626,0.0,1.228,0.7820526590556626,1,35,0.0,0.7820526590556626,0.0,6.241,0.7820526590556626,1,102,0.0,0.7820526590556626,0.0,3.279,0.7820526590556626,1,50,0.0,0.7820526590556626,0.0,3.361,0.7820526590556626,1,35,0.0,0.7820526590556626,0.0,14.48,0.7820526590556626,1,102,0.0,0.7820526590556626,0.0,6.597,0.7820526590556626,1,106,0.0,0.7820526590556626,0.0,8.756,0.7820526590556626,1,106,0.0,0.7820526590556626,0.0,7.965,0.7820526590556626,1,79,0.0,0.7820526590556626,0.0,7.861,0.7820526590556626,1,54,0.0,0.7820526590556626,0.0,8.717,0.7820526590556626,1,54,0.0,0.7820526590556626,0.0,9.547,0.7820526590556626,1,79,0.0,0.7820526590556626,0.0,1.045
2,3,1.069,0.5790167009153805,1,58,0.0,0.5790167009153805,0.0,1.22,0.5790167009153805,1,39,0.0,0.5790167009153805,0.0,6.272,0.5790167009153805,1,92,0.0,0.5790167009153805,0.0,3.182,0.5790167009153805,1,58,0.0,0.5790167009153805,0.0,3.054,0.5790167009153805,1,39,0.0,0.5790167009153805,0.0,12.778,0.5790167009153805,1,92,0.0,0.5790167009153805,0.0,6.68,0.5790167009153805,1,93,0.0,0.5790167009153805,0.0,8.777,0.5790167009153805,1,93,0.0,0.5790167009153805,0.0,6.992,0.5790167009153805,1,75,0.0,0.5790167009153805,0.0,7.315,0.5790167009153805,1,50,0.0,0.5790167009153805,0.0,8.538,0.5790167009153805,1,50,0.0,0.5790167009153805,0.0,8.497,0.5790167009153805,1,75,0.0,0.5790167009153805,0.0,1.069
3,3,1.124,0.5687442356870922,1,51,0.0,0.5687442356870922,0.0,1.22,0.5687442356870922,1,33,0.0,0.5687442356870922,0.0,6.421,0.5687442356870922,1,94,0.0,0.5687442356870922,0.0,3.263,0.5687442356870922,1,51,0.0,0.5687442356870922,0.0,3.412,0.5687442356870922,1,33,0.0,0.5687442356870922,0.0,12.594,0.5687442356870922,1,94,0.0,0.5687442356870922,0.0,6.822,0.5687442356870922,1,94,0.0,0.5687442356870922,0.0,8.781,0.5687442356870922,1,94,0.0,0.5687442356870922,0.0,7.047,0.5687442356870922,1,67,0.0,0.5687442356870922,0.0,7.903,0.5687442356870922,1,49,0.0,0.5687442356870922,0.0,8.903,0.5687442356870922,1,49,0.0,0.5687442356870922,0.0,8.476,0.5687442356870922,1,67,0.0,0.5687442356870922,0.0,1.124
4,3,1.378,0.8088982145668246,1,61,0.0,0.8088982145668246,0.0,1.215,0.8088982145668246,1,40,0.0,0.8088982145668246,0.0,6.481,0.8088982145668246,1,112,0.0,0.8088982145668246,0.0,3.291,0.8088982145668246,1,61,0.0,0.8088982145668246,0.0,3.345,0.8088982145668246,1,40,0.0,0.8088982145668246,0.0,11.901,0.8088982145668246,1,112,0.0,0.8088982145668246,0.0,6.65,0.8088982145668246,1,119,0.0,0.8088982145668246,0.0,8.847,0.8088982145668246,1,119,0.0,0.8088982145668246,0.0,6.056,0.8088982145668246,1,83,0.0,0.8088982145668246,0.0,8.045,0.8088982145668246,1,59,0.0,0.8088982145668246,0.0,8.735,0.8088982145668246,1,59,0.0,0.8088982145668246,0.0,7.642,0.8088982145668246,1,83,0.0,0.8088982145668246,0.0,1.215
5,3,1.337,0.5333361993474728,1,54,0.0,0.5333361993474728,0.0,1.221,0.5333361993474728,1,30,0.0,0.5333361993474728,0.0,6.173,0.5333361993474728,1,84,0.0,0.5333361993474728,0.0,3.294,0.5333361993474728,1,54,0.0,0.5333361993474728,0.0,3.152,0.5333361993474728,1,30,0.0,0.5333361993474728,0.0,11.635,0.5333361993474728,1,84,0.0,0.5333361993474728,0.0,6.565,0.5333361993474728,1,85,0.0,0.5333361993474728,0.0,8.819,0.5333361993474728,1,85,0.0,0.5333361993474728,0.0,6.974,0.5333361993474728,1,75,0.0,0.5333361993474728,0.0,7.912,0.5333361993474728,1,42,0.0,0.5333361993474728,0.0,8.57,0.5333361993474728,1,42,0.0,0.5333361993474728,0.0,8.389,0.5333361993474728,1,75,0.0,0.5333361993474728,0.0,1.221
6,3,1.335,0.5943356238753101,1,48,0.0,0.5943356238753101,0.0,1.166,0.5943356238753101,1,31,0.0,0.5943356238753101,0.0,6.473,0.5943356238753101,1,94,0.0,0.5943356238753101,0.0,3.231,0.5943356238753101,1,48,0.0,0.5943356238753101,0.0,2.926,0.5943356238753101,1,31,0.0,0.5943356238753101,0.0,12.371,0.5943356238753101,1,94,0.0,0.5943356238753101,0.0,6.861,0.5943356238753101,1,102,0.0,0.5943356238753101,0.0,8.831,0.5943356238753101,1,102,0.0,0.5943356238753101,0.0,6.376,0.5943356238753101,1,73,0.0,0.5943356238753101,0.0,8.038,0.5943356238753101,1,44,0.0,0.5943356238753101,0.0,8.638,0.5943356238753101,1,44,0.0,0.5943356238753101,0.0,7.92,0.5943356238753101,1,73,0.0,0.5943356238753101,0.0,1.166
7,3,1.333,0.584161088764483,1,55,0.0,0.584161088764483,0.0,1.008,0.584161088764483,1,37,0.0,0.584161088764483,0.0,6.444,0.584161088764483,1,106,0.0,0.584161088764483,0.0,3.288,0.584161088764483,1,55,0.0,0.584161088764483,0.0,3.268,0.584161088764483,1,37,0.0,0.584161088764483,0.0,11.556,0.584161088764483,1,106,0.0,0.584161088764483,0.0,6.889,0.584161088764483,1,107,0.0,0.584161088764483,0.0,8.781,0.584161088764483,1,107,0.0,0.584161088764483,0.0,6.933,0.584161088764483,1,79,0.0,0.584161088764483,0.0,8.979,0.584161088764483,1,46,0.0,0.584161088764483,0.0,8.632,0.584161088764483,1,46,0.0,0.584161088764483,0.0,8.058,0.584161088764483,1,79,0.0,0.584161088764483,0.0,1.008
8,3,1.439,0.7549276673614204,1,53,0.0,0.7549276673614204,0.0,1.127,0.7549276673614204,1,36,0.0,0.7549276673614204,0.0,6.411,0.7549276673614204,1,102,0.0,0.7549276673614204,0.0,3.296,0.7549276673614204,1,53,0.0,0.7549276673614204,0.0,3.021,0.7549276673614204,1,36,0.0,0.7549276673614204,0.0,12.12,0.7549276673614204,1,102,0.0,0.7549276673614204,0.0,6.654,0.7549276673614204,1,106,0.0,0.7549276673614204,0.0,8.733,0.7549276673614204,1,106,0.0,0.7549276673614204,0.0,7.019,0.7549276673614204,1,71,0.0,0.7549276673614204,0.0,9.556,0.7549276673614204,1,53,0.0,0.7549276673614204,0.0,8.695,0.7549276673614204,1,53,0.0,0.7549276673614204,0.0,7.953,0.7549276673614204,1,71,0.0,0.7549276673614204,0.0,1.127
9,3,1.301,0.5556076797357797,1,42,0.0,0.5556076797357797,0.0,1.097,0.5556076797357797,1,30,0.0,0.5556076797357797,0.0,6.386,0.5556076797357797,1,86,0.0,0.5556076797357797,0.0,3.298,0.5556076797357797,1,42,0.0,0.5556076797357797,0.0,3.323,0.5556076797357797,1,30,0.0,0.5556076797357797,0.0,12.372,0.5556076797357797,1,86,0.0,0.5556076797357797,0.0,6.639,0.5556076797357797,1,81,0.0,0.5556076797357797,0.0,8.709,0.5556076797357797,1,81,0.0,0.5556076797357797,0.0,6.963,0.5556076797357797,1,63,0.0,0.5556076797357797,0.0,9.47,0.5556076797357797,1,43,0.0,0.5556076797357797,0.0,8.735,0.5556076797357797,1,43,0.0,0.5556076797357797,0.0,7.567,0.5556076797357797,1,63,0.0,0.5556076797357797,0.0,1.097
10,3,1.303,0.7984224376799421,1,56,0.0,0.7984224376799421,0.0,1.101,0.7984224376799421,1,41,0.0,0.7984224376799421,0.0,6.449,0.7984224376799421,1,112,0.0,0.7984224376799421,0.0,3.211,0.7984224376799421,1,56,0.0,0.7984224376799421,0.0,3.016,0.7984224376799421,1,41,0.0,0.7984224376799421,0.0,11.273,0.7984224376799421,1,112,0.0,0.7984224376799421,0.0,6.904,0.7984224376799421,1,113,0.0,0.7984224376799421,0.0,8.858,0.7984224376799421,1,113,0.0,0.7984224376799421,0.0,6.444,0.7984224376799421,1,83,0.0,0.7984224376799421,0.0,8.992,0.7984224376799421,1,59,0.0,0.7984224376799421,0.0,8.799,0.7984224376799421,1,59,0.0,0.7984224376799421,0.0,8.448,0.7984224376799421,1,83,0.0,0.7984224376799421,0.0,1.101
