seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-10.52163726099156,0.09772476284527443,0.009287980608073619,21,238,Optimal (tolerance reached),2.157
1,5,-6.753903222760302,0.06259093166394436,0.009267371710778469,415,5030,Optimal (tolerance reached),33.907
1,6,-6.609683524031659,0.06601610962315618,0.009987786765150417,2875,49490,Optimal (tolerance reached),296.374
1,7,-11.690896291367242,0.11570218524911446,0.009896776292041094,445,6005,Optimal (tolerance reached),40.735
1,8,-1.0950438989627638,0.010948688435794551,0.009998401384789465,1137,25068,Optimal (tolerance reached),140.564
2,4,-12.460514291879214,0.09557803144751986,0.007670472438670539,11,103,Optimal (tolerance reached),1.281
2,5,-14.615935365134433,0.1447498384152741,0.009903563117867054,325,4101,Optimal (tolerance reached),28.063
2,6,-9.3975879978104,0.09330339051770231,0.009928440206087097,171,3011,Optimal (tolerance reached),20.728
2,7,-4.4232888423304235,0.04407271704925453,0.009963789076463449,1185,24206,Optimal (tolerance reached),184.742
2,8,-10.365833529843716,0.1035647080478661,0.009990967706523407,1469,30137,Optimal (tolerance reached),157.844
3,4,-9.927340542531098,0.0909853034362893,0.009165123634722364,73,716,Optimal (tolerance reached),4.777
3,5,-10.77493717608612,0.10768573028583717,0.009994093564168033,355,4831,Optimal (tolerance reached),33.034
3,6,-3.432676370603183,0.033263369582512414,0.009690214279264387,345,7255,Optimal (tolerance reached),76.372
3,7,-5.729822203312294,0.05692769936991482,0.009935334352435243,1443,27882,Optimal (tolerance reached),175.487
3,8,-0.9868809399417389,0.22216435180902483,0.22511768422859646,16769,426697,Time limit reached,1800.113
